iteration,metric,n,mean_delta,dz,p,p_holm
0,Q1Q2,96,-0.0664,-0.0688,0.8416,1.0
0,WAI-SR,96,-0.0451,-0.0675,0.6093,1.0
0,CSQ-8,96,0.0221,0.0316,0.799,1.0
0,MI-SAT,96,-0.0191,-0.0213,0.927,1.0
0,MITI,96,-0.0911,-0.1021,0.8387,1.0
0,Q1,96,-0.0979,-0.0976,0.4368,1.0
0,Q2,96,-0.0349,-0.0354,0.556,1.0
1,Q1Q2,96,-0.0055,-0.006,0.55,1.0
1,WAI-SR,96,-0.0807,-0.1129,0.3555,1.0
1,CSQ-8,96,-0.0755,-0.1153,0.3195,1.0
1,MI-SAT,96,-0.1372,-0.1481,0.073,0.511
1,MITI,96,0.0547,0.058,0.9179,1.0
1,Q1,96,-0.0042,-0.0045,0.6465,1.0
1,Q2,96,-0.0067,-0.007,0.5489,1.0
2,Q1Q2,96,0.1069,0.1127,0.3229,1.0
2,WAI-SR,96,0.0087,0.0111,0.8661,1.0
2,CSQ-8,96,0.0117,0.0154,0.6634,1.0
2,MI-SAT,96,-0.0017,-0.0018,0.9707,1.0
2,MITI,96,0.0026,0.0028,0.8168,1.0
2,Q1,96,0.1042,0.1044,0.1923,1.0
2,Q2,96,0.1097,0.116,0.4139,1.0
3,Q1Q2,96,-0.1786,-0.3277,0.0019,0.0097
3,WAI-SR,96,-0.1615,-0.2701,0.0162,0.0647
3,CSQ-8,96,-0.1354,-0.22,0.0428,0.1075
3,MI-SAT,96,-0.2118,-0.2455,0.0358,0.1075
3,MITI,96,-0.2188,-0.3812,0.0004,0.0026
3,Q1,96,-0.2333,-0.3626,0.0008,0.0047
3,Q2,96,-0.1238,-0.242,0.0385,0.1075
