arm,rubric,base,target_iter,target,delta,dz,effect,wilcoxon_p,ci_low,ci_high,traj_rho,traj_slope,p_holm
GRPO_LA0,Q1Q2,3.067,3,3.993,0.927,1.149,large,0.0,0.769,1.087,0.272,0.287,0.0
GRPO_LA0,WAI-SR,2.89,3,3.301,0.411,0.607,medium,0.0,0.279,0.544,0.143,0.1263,0.0
GRPO_LA0,CSQ-8,2.362,3,2.811,0.449,0.683,medium,0.0,0.312,0.581,0.132,0.1385,0.0
GRPO_LA0,MI-SAT,2.71,3,3.29,0.58,0.645,medium,0.0,0.398,0.762,0.142,0.1812,0.0
GRPO_LA0,MITI,3.224,3,3.938,0.714,0.923,large,0.0,0.562,0.87,0.274,0.2352,0.0
GRPO_LA0,Q1,3.021,3,3.935,0.915,1.133,large,0.0,0.76,1.075,0.248,0.2869,0.0
GRPO_LA0,Q2,3.113,3,4.051,0.939,1.074,large,0.0,0.768,1.115,0.288,0.2872,0.0
PTO_LA0,Q1Q2,3.0,10,4.26,1.259,1.429,large,0.0,1.086,1.434,0.353,0.1203,0.0
PTO_LA0,WAI-SR,2.845,10,3.497,0.653,0.968,large,0.0,0.525,0.786,0.226,0.0687,0.0
PTO_LA0,CSQ-8,2.384,10,2.945,0.561,0.805,large,0.0,0.419,0.701,0.171,0.0587,0.0
PTO_LA0,MI-SAT,2.691,10,3.536,0.845,0.954,large,0.0,0.66,1.023,0.2,0.0885,0.0
PTO_LA0,MITI,3.133,10,4.273,1.141,1.347,large,0.0,0.979,1.312,0.424,0.111,0.0
PTO_LA0,Q1,2.923,10,4.14,1.217,1.389,large,0.0,1.042,1.396,0.284,0.115,0.0
PTO_LA0,Q2,3.078,10,4.38,1.302,1.384,large,0.0,1.114,1.488,0.422,0.1257,0.0
PTO_LA5,Q1Q2,3.003,1,3.181,0.178,0.163,negligible,0.1293,-0.038,0.39,,,0.8143
PTO_LA5,WAI-SR,2.819,1,2.924,0.105,0.148,negligible,0.1804,-0.032,0.249,,,0.8431
PTO_LA5,CSQ-8,2.339,1,2.411,0.073,0.108,negligible,0.2775,-0.06,0.212,,,0.8431
PTO_LA5,MI-SAT,2.675,1,2.785,0.109,0.118,negligible,0.2538,-0.075,0.3,,,0.8431
PTO_LA5,MITI,3.148,1,3.211,0.062,0.069,negligible,0.6497,-0.117,0.24,,,0.8431
PTO_LA5,Q1,2.946,1,3.104,0.158,0.145,negligible,0.1686,-0.058,0.369,,,0.8431
PTO_LA5,Q2,3.061,1,3.257,0.197,0.168,negligible,0.1163,-0.037,0.423,,,0.8143
