model,arm,iteration,is_base,Q1Q2,WAI-SR,CSQ-8,MI-SAT,MITI,Q1,Q2,rank_Q1Q2,rank_WAI-SR,rank_CSQ-8,rank_MI-SAT,rank_MITI,rank_Q1,rank_Q2,AvgRank
PTOExp3_LA0_I10,PTO_LA0,10,False,4.26,3.497,2.945,3.536,4.273,4.14,4.38,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.429
PTOExp3_LA0_I9,PTO_LA0,9,False,4.238,3.536,2.98,3.54,4.242,4.121,4.356,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.571
PTOExp3_LA0_I8,PTO_LA0,8,False,4.221,3.424,2.865,3.429,4.172,4.1,4.341,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
PTOExp3_LA0_I6,PTO_LA0,6,False,4.154,3.406,2.816,3.368,4.091,4.044,4.264,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.143
PTOExp3_LA0_I7,PTO_LA0,7,False,4.129,3.326,2.801,3.328,4.068,3.975,4.283,5.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0
GRPOExp3_LA0_I3,GRPO_LA0,3,False,3.993,3.301,2.811,3.29,3.938,3.935,4.051,8.0,6.0,5.0,6.0,7.0,6.0,8.0,6.571
PTOExp3_LA0_I5,PTO_LA0,5,False,4.014,3.264,2.749,3.262,3.961,3.923,4.106,6.0,8.0,8.0,7.0,6.0,7.0,7.0,7.0
PTOExp3_LA0_I4,PTO_LA0,4,False,4.008,3.28,2.751,3.21,3.924,3.9,4.115,7.0,7.0,7.0,8.0,8.0,8.0,6.0,7.286
PTOExp3_LA0_I3,PTO_LA0,3,False,3.815,3.14,2.676,3.078,3.719,3.702,3.928,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
PTOExp3_LA0_I2,PTO_LA0,2,False,3.466,3.013,2.526,2.918,3.497,3.406,3.526,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.143
GRPOExp3_LA0_I2,GRPO_LA0,2,False,3.359,3.004,2.514,2.92,3.495,3.302,3.417,11.0,11.0,11.0,10.0,11.0,11.0,11.0,10.857
GRPOExp3_LA0_I1,GRPO_LA0,1,False,3.269,2.976,2.477,2.847,3.284,3.177,3.361,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.143
PTOExp3_LA0_I1,PTO_LA0,1,False,3.264,2.895,2.401,2.71,3.339,3.173,3.354,13.0,14.0,14.0,15.0,12.0,13.0,13.0,13.429
PTOExp3_LA5_I1,PTO_LA5,1,False,3.181,2.924,2.411,2.785,3.211,3.104,3.257,14.0,13.0,13.0,13.0,15.0,14.0,14.0,13.714
GRPOExp3_LA0_Base,GRPO_LA0,0,True,3.067,2.89,2.362,2.71,3.224,3.021,3.113,15.0,15.0,16.0,14.0,14.0,15.0,15.0,14.857
PTOExp3_LA0_Base,PTO_LA0,0,True,3.0,2.845,2.384,2.691,3.133,2.923,3.078,17.0,17.0,15.0,16.0,17.0,17.0,16.0,16.429
PTOExp3_LA5_Base,PTO_LA5,0,True,3.003,2.819,2.339,2.675,3.148,2.946,3.061,16.0,18.0,18.0,17.0,16.0,16.0,17.0,16.857
GRPOExp3_LA5_Base,GRPO_LA5,0,True,2.963,2.857,2.355,2.674,3.12,2.91,3.016,18.0,16.0,17.0,18.0,18.0,18.0,18.0,17.571
