judge,budget_gpu_h,select_metric,eval_metric,best_iter_a,best_iter_b,model_a,model_b,cum_gpu_h_a,cum_gpu_h_b,mean_a,mean_b,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm,n_unique_pairs,delta_K0_minus_K5,dz_K0_minus_K5
claude-haiku-4-5,7.8,Q1Q2,Q1Q2,1,2,GRPOExp3_LA5_I1,GRPOExp3_LA0_I2,7.8,5.25,2.046262254901961,2.1067401960784315,96,-0.060477941176470595,-0.08248024066858169,-0.20364430147058823,0.09086856617647027,0.4207535791293222,0.6898284995121136,5,0.060477941176470595,0.08248024066858169
claude-haiku-4-5,13.27,Q1Q2,Q1Q2,2,3,GRPOExp3_LA5_I2,GRPOExp3_LA0_I3,13.27,8.21,2.1416666666666666,2.6365808823529413,96,-0.49491421568627453,-0.7804764546444313,-0.6203477328431374,-0.3671185661764708,3.414822637784481e-10,1.7074113188922406e-09,5,0.49491421568627453,0.7804764546444313
claude-haiku-4-5,18.31,Q1Q2,Q1Q2,3,3,GRPOExp3_LA5_I3,GRPOExp3_LA0_I3,18.31,8.21,2.585906862745098,2.6365808823529413,96,-0.05067401960784316,-0.10777213276151798,-0.14393382352941173,0.04258578431372544,0.3449142497560568,0.6898284995121136,5,0.05067401960784316,0.10777213276151798
claude-haiku-4-5,23.21,Q1Q2,Q1Q2,4,3,GRPOExp3_LA5_I4,GRPOExp3_LA0_I3,23.21,8.21,2.783517156862745,2.6365808823529413,96,0.14693627450980395,0.33085715775439795,0.06017156862745101,0.23627604166666671,0.0029682764124526143,0.011873105649810457,5,-0.14693627450980395,-0.33085715775439795
claude-haiku-4-5,27.08,Q1Q2,Q1Q2,5,3,GRPOExp3_LA5_I5,GRPOExp3_LA0_I3,27.08,8.21,2.7976715686274507,2.6365808823529413,96,0.16109068627450981,0.30979655423808977,0.05706954656862747,0.26343596813725484,0.006700593510689605,0.020101780532068812,5,-0.16109068627450981,-0.30979655423808977
claude-haiku-4-5,7.8,MICI,MICI,1,2,GRPOExp3_LA5_I1,GRPOExp3_LA0_I2,7.8,5.25,0.3616561046893927,0.3090360559454019,96,0.052620048743990816,0.12232071716029784,-0.03146236630488617,0.13544211009934098,0.23265314394804748,0.23265314394804748,1,-0.052620048743990816,-0.12232071716029784
claude-haiku-4-5,13.27,MICI,MICI,1,2,GRPOExp3_LA5_I1,GRPOExp3_LA0_I2,7.8,5.25,0.3616561046893927,0.3090360559454019,96,0.052620048743990816,0.12232071716029784,-0.03146236630488617,0.13544211009934098,0.23265314394804748,0.23265314394804748,1,-0.052620048743990816,-0.12232071716029784
claude-haiku-4-5,18.31,MICI,MICI,1,2,GRPOExp3_LA5_I1,GRPOExp3_LA0_I2,7.8,5.25,0.3616561046893927,0.3090360559454019,96,0.052620048743990816,0.12232071716029784,-0.03146236630488617,0.13544211009934098,0.23265314394804748,0.23265314394804748,1,-0.052620048743990816,-0.12232071716029784
claude-haiku-4-5,23.21,MICI,MICI,1,2,GRPOExp3_LA5_I1,GRPOExp3_LA0_I2,7.8,5.25,0.3616561046893927,0.3090360559454019,96,0.052620048743990816,0.12232071716029784,-0.03146236630488617,0.13544211009934098,0.23265314394804748,0.23265314394804748,1,-0.052620048743990816,-0.12232071716029784
claude-haiku-4-5,27.08,MICI,MICI,1,2,GRPOExp3_LA5_I1,GRPOExp3_LA0_I2,7.8,5.25,0.3616561046893927,0.3090360559454019,96,0.052620048743990816,0.12232071716029784,-0.03146236630488617,0.13544211009934098,0.23265314394804748,0.23265314394804748,1,-0.052620048743990816,-0.12232071716029784
claude-haiku-4-5,7.8,Q1Q2,MICI,1,2,GRPOExp3_LA5_I1,GRPOExp3_LA0_I2,7.8,5.25,0.3616561046893927,0.3090360559454019,96,0.052620048743990816,0.12232071716029784,-0.03146236630488617,0.13544211009934098,0.23265314394804748,0.45785695751943,5,-0.052620048743990816,-0.12232071716029784
claude-haiku-4-5,13.27,Q1Q2,MICI,2,3,GRPOExp3_LA5_I2,GRPOExp3_LA0_I3,13.27,8.21,0.3701326663557449,0.40745341198569257,96,-0.037320745629947735,-0.10636493220528238,-0.10860549078557082,0.03366903766297841,0.228928478759715,0.45785695751943,5,0.037320745629947735,0.10636493220528238
claude-haiku-4-5,18.31,Q1Q2,MICI,3,3,GRPOExp3_LA5_I3,GRPOExp3_LA0_I3,18.31,8.21,0.51805910492443,0.40745341198569257,96,0.11060569293873741,0.3542902838037176,0.051138258911695364,0.17172253010502603,0.00037417700397368684,0.0011225310119210605,5,-0.11060569293873741,-0.3542902838037176
claude-haiku-4-5,23.21,Q1Q2,MICI,4,3,GRPOExp3_LA5_I4,GRPOExp3_LA0_I3,23.21,8.21,0.5619382153113771,0.40745341198569257,96,0.1544848033256845,0.49955475456524284,0.09242710161146728,0.21721701354743372,2.8078279577303513e-06,1.1231311830921405e-05,5,-0.1544848033256845,-0.49955475456524284
claude-haiku-4-5,27.08,Q1Q2,MICI,5,3,GRPOExp3_LA5_I5,GRPOExp3_LA0_I3,27.08,8.21,0.6466568265183594,0.40745341198569257,96,0.2392034145326669,0.7629254531435382,0.17737503192244033,0.30159816743419643,5.334966088981375e-10,2.6674830444906873e-09,5,-0.2392034145326669,-0.7629254531435382
