judge,budget_gpu_h,select_metric,eval_metric,best_iter_a,best_iter_b,model_a,model_b,cum_gpu_h_a,cum_gpu_h_b,mean_a,mean_b,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm,n_unique_pairs,delta_K0_minus_K5,dz_K0_minus_K5
gpt-4o-mini,7.8,Q1Q2,Q1Q2,1,2,GRPOExp3_LA5_I1,GRPOExp3_LA0_I2,7.8,5.25,3.2715073529411764,3.359375,96,-0.08786764705882348,-0.09305519245413292,-0.2739154411764705,0.09932904411764708,0.4067952043804848,0.8135904087609696,4,0.08786764705882348,0.09305519245413292
gpt-4o-mini,13.27,Q1Q2,Q1Q2,2,4,GRPOExp3_LA5_I2,GRPOExp3_LA0_I4,13.27,10.75,3.435110294117647,4.004411764705883,96,-0.5693014705882353,-0.7418153514090889,-0.7267800245098041,-0.42160845588235313,2.3341446465130523e-10,9.33657858605221e-10,4,0.5693014705882353,0.7418153514090889
gpt-4o-mini,18.31,Q1Q2,Q1Q2,3,4,GRPOExp3_LA5_I3,GRPOExp3_LA0_I4,18.31,10.75,3.861764705882353,4.004411764705883,96,-0.14264705882352943,-0.2761826630490736,-0.2474908088235294,-0.044356617647058845,0.013349525258841513,0.04004857577652454,4,0.14264705882352943,0.2761826630490736
gpt-4o-mini,23.21,Q1Q2,Q1Q2,4,8,GRPOExp3_LA5_I4,GRPOExp3_LA0_I8,23.21,22.28,4.119852941176471,4.082291666666667,96,0.03756127450980384,0.07438590093856932,-0.05318627450980404,0.13683823529411754,0.7885186861102786,0.8135904087609696,4,-0.03756127450980384,-0.07438590093856932
gpt-4o-mini,27.08,Q1Q2,Q1Q2,4,8,GRPOExp3_LA5_I4,GRPOExp3_LA0_I8,23.21,22.28,4.119852941176471,4.082291666666667,96,0.03756127450980384,0.07438590093856932,-0.05318627450980404,0.13683823529411754,0.7885186861102786,0.8135904087609696,4,-0.03756127450980384,-0.07438590093856932
gpt-4o-mini,7.8,MICI,MICI,1,2,GRPOExp3_LA5_I1,GRPOExp3_LA0_I2,7.8,5.25,0.22799043862969862,0.16924769264229697,96,0.05874274598740165,0.21265604724945458,0.005695868075548329,0.11307737827734393,0.08656359393237603,0.15326848920246283,2,-0.05874274598740165,-0.21265604724945458
gpt-4o-mini,13.27,MICI,MICI,2,2,GRPOExp3_LA5_I2,GRPOExp3_LA0_I2,13.27,5.25,0.22758187168720423,0.16924769264229697,96,0.05833417904490728,0.22249380249380488,0.007180637168712313,0.11002296904469425,0.07663424460123142,0.15326848920246283,2,-0.05833417904490728,-0.22249380249380488
gpt-4o-mini,18.31,MICI,MICI,2,2,GRPOExp3_LA5_I2,GRPOExp3_LA0_I2,13.27,5.25,0.22758187168720423,0.16924769264229697,96,0.05833417904490728,0.22249380249380488,0.007180637168712313,0.11002296904469425,0.07663424460123142,0.15326848920246283,2,-0.05833417904490728,-0.22249380249380488
gpt-4o-mini,23.21,MICI,MICI,2,2,GRPOExp3_LA5_I2,GRPOExp3_LA0_I2,13.27,5.25,0.22758187168720423,0.16924769264229697,96,0.05833417904490728,0.22249380249380488,0.007180637168712313,0.11002296904469425,0.07663424460123142,0.15326848920246283,2,-0.05833417904490728,-0.22249380249380488
gpt-4o-mini,27.08,MICI,MICI,2,2,GRPOExp3_LA5_I2,GRPOExp3_LA0_I2,13.27,5.25,0.22758187168720423,0.16924769264229697,96,0.05833417904490728,0.22249380249380488,0.007180637168712313,0.11002296904469425,0.07663424460123142,0.15326848920246283,2,-0.05833417904490728,-0.22249380249380488
gpt-4o-mini,7.8,Q1Q2,MICI,1,2,GRPOExp3_LA5_I1,GRPOExp3_LA0_I2,7.8,5.25,0.22799043862969862,0.16924769264229697,96,0.05874274598740165,0.21265604724945458,0.005695868075548329,0.11307737827734393,0.08656359393237603,0.17312718786475206,4,-0.05874274598740165,-0.21265604724945458
gpt-4o-mini,13.27,Q1Q2,MICI,2,4,GRPOExp3_LA5_I2,GRPOExp3_LA0_I4,13.27,10.75,0.22758187168720423,0.25070171270006797,96,-0.02311984101286371,-0.10364333308694387,-0.06727462576665001,0.019151545072159683,0.1285432532737734,0.17312718786475206,4,0.02311984101286371,0.10364333308694387
gpt-4o-mini,18.31,Q1Q2,MICI,3,4,GRPOExp3_LA5_I3,GRPOExp3_LA0_I4,18.31,10.75,0.3078285534375898,0.25070171270006797,96,0.05712684073752186,0.2300095809020176,0.004599740153315043,0.10890362001143492,0.04364989996720394,0.13094969990161182,4,-0.05712684073752186,-0.2300095809020176
gpt-4o-mini,23.21,Q1Q2,MICI,4,8,GRPOExp3_LA5_I4,GRPOExp3_LA0_I8,23.21,22.28,0.30497848760716406,0.5352578404557452,96,-0.23027935284858114,-0.7735577826269293,-0.28468933005272384,-0.17369134086822086,7.901583623686477e-10,3.160633449474591e-09,4,0.23027935284858114,0.7735577826269293
gpt-4o-mini,27.08,Q1Q2,MICI,4,8,GRPOExp3_LA5_I4,GRPOExp3_LA0_I8,23.21,22.28,0.30497848760716406,0.5352578404557452,96,-0.23027935284858114,-0.7735577826269293,-0.28468933005272384,-0.17369134086822086,7.901583623686477e-10,3.160633449474591e-09,4,0.23027935284858114,0.7735577826269293
