contrast,arm_a,arm_b,select_judge,eval_judge,honest_selection,budget_gpu_h,best_iter_a,best_iter_b,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm,verdict
GRPO_K,GRPO_LA5,GRPO_LA0,claude-haiku-4-5,claude-haiku-4-5,False,27.08,5,3,96,0.16109068627450981,0.30979655423808977,0.05706954656862747,0.26343596813725484,0.006700593510689605,0.020101780532068812,arm_a > arm_b
GRPO_K,GRPO_LA5,GRPO_LA0,claude-haiku-4-5,gpt-4o-mini,True,27.08,5,3,96,0.04810049019607845,0.1020878570718608,-0.04628370098039216,0.1429672181372549,0.06270948654605146,0.12541897309210293,no sig. difference
GRPO_K,GRPO_LA5,GRPO_LA0,gpt-4o-mini,claude-haiku-4-5,True,27.08,4,8,96,0.16636029411764702,0.2663045720251579,0.04098958333333335,0.29126991421568604,0.011623705266156872,0.03487111579847062,arm_a > arm_b
GRPO_K,GRPO_LA5,GRPO_LA0,gpt-4o-mini,gpt-4o-mini,False,27.08,4,8,96,0.03756127450980384,0.07438590093856932,-0.05318627450980404,0.13683823529411754,0.7885186861102786,0.8135904087609696,no sig. difference
PTO_K,PTO_LA5,PTO_LA0,claude-haiku-4-5,claude-haiku-4-5,False,19.68,7,9,96,-0.18578431372549023,-0.32275340175977657,-0.3005897671568628,-0.07195925245098062,0.005419597270861172,0.010839194541722344,arm_a < arm_b
PTO_K,PTO_LA5,PTO_LA0,claude-haiku-4-5,gpt-4o-mini,True,19.68,7,9,96,-0.15300245098039222,-0.26687884118977034,-0.2642371323529412,-0.045579044117647106,0.016529803417905057,0.02278881607041804,arm_a < arm_b
PTO_K,PTO_LA5,PTO_LA0,gpt-4o-mini,claude-haiku-4-5,True,19.68,10,10,96,-0.1990808823529412,-0.30781875524334984,-0.3315732230392157,-0.06844209558823533,0.032362563631031745,0.06472512726206349,no sig. difference
PTO_K,PTO_LA5,PTO_LA0,gpt-4o-mini,gpt-4o-mini,False,19.68,10,10,96,0.04699754901960781,0.09566621301885612,-0.05424479166666666,0.1423560049019606,0.08690946083826036,0.18987583209320813,no sig. difference
method_K0,PTO_LA0,GRPO_LA0,claude-haiku-4-5,claude-haiku-4-5,False,8.12,9,2,96,0.8143382352941178,1.3936943053304007,0.6973391544117646,0.9293933823529409,4.1976699321930927e-16,2.5186019593158556e-15,arm_a > arm_b
method_K0,PTO_LA0,GRPO_LA0,claude-haiku-4-5,gpt-4o-mini,True,8.12,9,2,96,0.879044117647059,1.0682338281851698,0.7181341911764708,1.0501838235294116,1.4337716235327104e-15,8.602629741196263e-15,arm_a > arm_b
method_K0,PTO_LA0,GRPO_LA0,gpt-4o-mini,claude-haiku-4-5,True,8.12,10,2,96,0.7593137254901962,1.3411915321996277,0.649483762254902,0.877642463235294,1.214033936991947e-15,7.284203621951682e-15,arm_a > arm_b
method_K0,PTO_LA0,GRPO_LA0,gpt-4o-mini,gpt-4o-mini,False,8.12,10,2,96,0.9003676470588236,1.0864149409474553,0.744231004901961,1.0743949142156863,1.8241490488610758e-16,1.276904334202753e-15,arm_a > arm_b
method_K5,PTO_LA5,GRPO_LA5,claude-haiku-4-5,claude-haiku-4-5,False,19.68,7,3,96,0.1493872549019608,0.29482348037825995,0.05096660539215691,0.24836090686274506,0.006662826051931544,0.006662826051931544,arm_a > arm_b
method_K5,PTO_LA5,GRPO_LA5,claude-haiku-4-5,gpt-4o-mini,True,19.68,7,3,96,0.2236519607843137,0.4066060978239796,0.11951286764705879,0.33170036764705874,1.0271189800141258e-05,1.0271189800141258e-05,arm_a > arm_b
method_K5,PTO_LA5,GRPO_LA5,gpt-4o-mini,claude-haiku-4-5,True,19.68,10,3,96,0.08106617647058828,0.13226520440428924,-0.039612438725490154,0.19890165441176472,0.07478446696417565,0.07478446696417565,no sig. difference
method_K5,PTO_LA5,GRPO_LA5,gpt-4o-mini,gpt-4o-mini,False,19.68,10,3,96,0.44497549019607846,0.6728725658342178,0.31346047794117654,0.5829718137254902,2.6716662621197483e-10,5.343332524239497e-10,arm_a > arm_b
