contrast,judge,metric,channel,direction,iter_a,iter_b,cum_gpu_h_a,cum_gpu_h_b,budget_ratio,iso_ok,model_a,model_b,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm,delta_K0_minus_K5,dz_K0_minus_K5
PTO_K,gpt-4o-mini,MICI_OverPraise,Over-praise / session (MICI),lower=better,1,2,2.17,1.93,0.89,False,PTOExp3_LA5_I1,PTOExp3_LA0_I2,96,0.3125,0.12071742964683266,-0.0625,0.90625,0.3634765686922665,1.0,-0.3125,-0.12071742964683266
PTO_K,gpt-4o-mini,MICI_OverPraise_rate,Over-praise / turn (MICI),lower=better,1,2,2.17,1.93,0.89,False,PTOExp3_LA5_I1,PTOExp3_LA0_I2,96,0.014671421584879404,0.12000668948689365,-0.005802758497871452,0.04108430572780296,0.3741384039403156,1.0,-0.014671421584879404,-0.12000668948689365
PTO_K,gpt-4o-mini,MICI_AdviseNoPermission,Advise w/o permission / session (MICI),lower=better,1,2,2.17,1.93,0.89,False,PTOExp3_LA5_I1,PTOExp3_LA0_I2,96,-0.34375,-0.13591754605754536,-0.8645833333333334,0.13541666666666666,0.22143769363161858,1.0,0.34375,0.13591754605754536
PTO_K,gpt-4o-mini,MICI_AdviseNoPermission_rate,Advise w/o permission / turn (MICI),lower=better,1,2,2.17,1.93,0.89,False,PTOExp3_LA5_I1,PTOExp3_LA0_I2,96,-0.01982498021342835,-0.10658692904759853,-0.05681587273047944,0.01668685601218127,0.20497502972995507,1.0,0.01982498021342835,0.10658692904759853
PTO_K,gpt-4o-mini,MICI_BehaviorTotal,MI-Incon. acts / session (MICI),lower=better,1,2,2.17,1.93,0.89,False,PTOExp3_LA5_I1,PTOExp3_LA0_I2,96,0.010416666666666666,0.0025550590238469346,-0.7916666666666666,0.8333333333333334,0.5673674175080112,1.0,-0.010416666666666666,-0.0025550590238469346
PTO_K,gpt-4o-mini,B6_AF,Affirmations (MITI),higher=more MI-consistent,1,2,2.17,1.93,0.89,False,PTOExp3_LA5_I1,PTOExp3_LA0_I2,96,-0.125,-0.11192127281270918,-0.34401041666666665,0.09375,0.24094592283550353,1.0,0.125,0.11192127281270918
PTO_K,gpt-4o-mini,B6_AF_per_turn,Affirmations / turn (MITI),higher=more MI-consistent,1,2,2.17,1.93,0.89,False,PTOExp3_LA5_I1,PTOExp3_LA0_I2,96,-0.00731631239274428,-0.09210303152956321,-0.022988469417122907,0.007993665194347268,0.28710797127845267,1.0,0.00731631239274428,0.09210303152956321
PTO_K,text (grader-independent),conv_len,Conversation length,count (no valence),1,2,2.17,1.93,0.89,False,PTOExp3_LA5_I1,PTOExp3_LA0_I2,96,-1.3645833333333333,-0.07021960909478704,-5.125260416666666,2.344010416666665,0.4205636617524412,1.0,1.3645833333333333,0.07021960909478704
PTO_K,text (grader-independent),mean_turn_len,Turn length (chars),count (no valence),1,2,2.17,1.93,0.89,False,PTOExp3_LA5_I1,PTOExp3_LA0_I2,96,-21.466296591736057,-0.1108237614048852,-59.49802645602688,14.92699471639166,0.35679037393343205,1.0,21.466296591736057,0.1108237614048852
PTO_K,gpt-4o-mini,MICI_OverPraise,Over-praise / session (MICI),lower=better,2,5,4.64,4.66,1.004,True,PTOExp3_LA5_I2,PTOExp3_LA0_I5,96,-0.16666666666666666,-0.1801259425825631,-0.3645833333333333,0.010416666666666666,0.08546393181531266,0.4273196590765633,0.16666666666666666,0.1801259425825631
PTO_K,gpt-4o-mini,MICI_OverPraise_rate,Over-praise / turn (MICI),lower=better,2,5,4.64,4.66,1.004,True,PTOExp3_LA5_I2,PTOExp3_LA0_I5,96,-0.020291464444424968,-0.24909945299643288,-0.037742370248538014,-0.004423878220342045,0.0059886368745015435,0.04790909499601235,0.020291464444424968,0.24909945299643288
PTO_K,gpt-4o-mini,MICI_AdviseNoPermission,Advise w/o permission / session (MICI),lower=better,2,5,4.64,4.66,1.004,True,PTOExp3_LA5_I2,PTOExp3_LA0_I5,96,-0.3020833333333333,-0.13606753124118418,-0.71875,0.16666666666666666,0.13599424728740453,0.5439769891496181,0.3020833333333333,0.13606753124118418
PTO_K,gpt-4o-mini,MICI_AdviseNoPermission_rate,Advise w/o permission / turn (MICI),lower=better,2,5,4.64,4.66,1.004,True,PTOExp3_LA5_I2,PTOExp3_LA0_I5,96,-0.04692108313262531,-0.28795617051412153,-0.07775633752624368,-0.013460665248717937,0.012248972248675431,0.08574280574072801,0.04692108313262531,0.28795617051412153
PTO_K,gpt-4o-mini,MICI_BehaviorTotal,MI-Incon. acts / session (MICI),lower=better,2,5,4.64,4.66,1.004,True,PTOExp3_LA5_I2,PTOExp3_LA0_I5,96,-0.3333333333333333,-0.09600074375601164,-1.0104166666666667,0.3854166666666667,0.16181428933992636,0.5439769891496181,0.3333333333333333,0.09600074375601164
PTO_K,gpt-4o-mini,B6_AF,Affirmations (MITI),higher=more MI-consistent,2,5,4.64,4.66,1.004,True,PTOExp3_LA5_I2,PTOExp3_LA0_I5,96,-0.03125,-0.029458476069470642,-0.23958333333333334,0.17708333333333334,0.7128828623802461,1.0,0.03125,0.029458476069470642
PTO_K,gpt-4o-mini,B6_AF_per_turn,Affirmations / turn (MITI),higher=more MI-consistent,2,5,4.64,4.66,1.004,True,PTOExp3_LA5_I2,PTOExp3_LA0_I5,96,-0.0054645589206831465,-0.07273261964673941,-0.020509349030258958,0.009042014478782804,0.5388834996154337,1.0,0.0054645589206831465,0.07273261964673941
PTO_K,text (grader-independent),conv_len,Conversation length,count (no valence),2,5,4.64,4.66,1.004,True,PTOExp3_LA5_I2,PTOExp3_LA0_I5,96,3.4270833333333335,0.19166968153135303,-0.125,6.958854166666663,0.07100180545399107,0.4260108327239464,-3.4270833333333335,-0.19166968153135303
PTO_K,text (grader-independent),mean_turn_len,Turn length (chars),count (no valence),2,5,4.64,4.66,1.004,True,PTOExp3_LA5_I2,PTOExp3_LA0_I5,96,-116.74143311790299,-0.4490012693067123,-165.67526571507483,-63.74690658856975,2.1732071418339434e-05,0.0001955886427650549,116.74143311790299,0.4490012693067123
