pair,metric,primary_n,primary_delta,primary_dz,primary_ci_lo,primary_ci_hi,primary_p,primary_p_holm,judge_delta,judge_dz,judge_ci_lo,judge_ci_hi,judge_p,judge_p_holm,same_sign,judge_ci_excl0,favours_primary,favours_judge
PTO_LA0_I10 − GRPO_LA0_I10 (K=0 headline),Q1Q2,96,0.5071691176470589,0.7287306369635,0.3751148897058824,0.6448697916666666,5.941827490474056e-11,4.753461992379244e-10,0.6088848039215687,1.2652053280246487,0.5098544730392157,0.7019071691176472,4.1954871138082496e-16,3.775938402427424e-15,True,True,A,A
PTO_LA0_I10 − GRPO_LA0_I10 (K=0 headline),Q1,96,0.5333333333333333,0.7075724426009867,0.3916666666666668,0.6854687499999998,5.211078034966375e-10,3.6477546244764627e-09,0.7729166666666667,1.2086520478936804,0.6479166666666667,0.8937500000000002,5.414686702130524e-15,4.3317493617044194e-14,True,True,A,A
PTO_LA0_I10 − GRPO_LA0_I10 (K=0 headline),Q2,96,0.4810049019607843,0.699718656981454,0.34741115196078426,0.617080269607843,2.205276282415854e-09,1.3231657694495124e-08,0.44485294117647056,0.9309072390825961,0.349249387254902,0.5386182598039215,3.375554225241858e-12,2.3628879576693006e-11,True,True,A,A
PTO_LA0_I10 − GRPO_LA0_I10 (K=0 headline),WAI-SR,96,0.05902777777777779,0.11737399671739958,-0.038216145833333375,0.1614583333333334,0.24183947646783976,0.24183947646783976,0.28559027777777785,0.47575733301081025,0.17011718750000004,0.40277777777777785,2.229219517862334e-06,6.687658553587002e-06,True,True,A,A
PTO_LA0_I10 − GRPO_LA0_I10 (K=0 headline),CSQ-8,96,0.171875,0.3095435638561718,0.06640625,0.28125,0.0036550190504200716,0.014620076201680286,0.32421875,0.6030936085059069,0.22262369791666667,0.43359375,1.8264172005158036e-08,1.0958503203094822e-07,True,True,A,A
PTO_LA0_I10 − GRPO_LA0_I10 (K=0 headline),MI-SAT,96,0.17361111111111116,0.26682792815006834,0.05203993055555564,0.3020833333333334,0.0037066361370733125,0.014620076201680286,0.24826388888888887,0.5095084348808456,0.1579861111111111,0.3506944444444444,3.0518753580686937e-06,6.687658553587002e-06,True,True,A,A
PTO_LA0_I10 − GRPO_LA0_I10 (K=0 headline),MITI,96,0.3515625,0.45862805458566125,0.2056640625,0.5104166666666666,2.190380044771878e-05,0.00010951900223859389,0.2526041666666667,0.6479867210677973,0.17708333333333334,0.3307291666666667,2.747370082886503e-08,1.0989480331546012e-07,True,True,A,A
PTO_LA0_I10 − GRPO_LA0_I10 (K=0 headline),PCT,96,0.055979541265193354,0.287488712130187,0.019124329052825337,0.09433927941374608,0.0047827435623417945,0.014620076201680286,0.020709053829941988,0.12187815009658794,-0.011854901350172732,0.05553944323372776,0.20362211881626846,0.20362211881626846,True,False,A,A
PTO_LA0_I10 − GRPO_LA0_I10 (K=0 headline),MICI,96,-0.346263353300871,-0.989290073227094,-0.41359337437275956,-0.27532156321877466,3.7359003378202126e-13,3.3623103040381914e-12,-0.2244634610861244,-0.6672306196893123,-0.2906269259066684,-0.15667661515932788,1.8763290866188872e-08,1.0958503203094822e-07,True,True,A,A
PTO_LA5_I10 − GRPO_LA5_I5 (K=5 endpoints),Q1Q2,96,0.26519607843137255,0.3781774278118709,0.1313082107843138,0.4180009191176468,7.299941025644287e-05,0.0005109958717951001,-0.1306985294117647,-0.18675665444782436,-0.2710186887254902,0.011029411764705883,0.1455006890358069,0.8184646448635087,False,False,A,B
PTO_LA5_I10 − GRPO_LA5_I5 (K=5 endpoints),Q1,96,0.23750000000000004,0.2903920513256678,0.07703125000000001,0.41463541666666653,0.00306868153577262,0.015343407678863101,-0.20624999999999996,-0.22698509954204077,-0.37927083333333333,-0.01666666666666664,0.048004977079625616,0.3840398166370049,False,True,A,B
PTO_LA5_I10 − GRPO_LA5_I5 (K=5 endpoints),Q2,96,0.29289215686274506,0.4660414514064747,0.1709558823529412,0.42709865196078417,1.0073584295417387e-06,9.066225865875649e-06,-0.05514705882352938,-0.09392007517897485,-0.17403492647058819,0.06747855392156829,0.3893846795176168,0.8184646448635087,False,False,A,B
PTO_LA5_I10 − GRPO_LA5_I5 (K=5 endpoints),WAI-SR,96,0.07204861111111113,0.1162887615637671,-0.054709201388888865,0.19707031249999996,0.03149536751780181,0.09448610255340543,0.04079861111111111,0.0638810040343855,-0.08684895833333334,0.17102864583333327,0.37546769893331644,0.8184646448635087,True,False,A,A
PTO_LA5_I10 − GRPO_LA5_I5 (K=5 endpoints),CSQ-8,96,0.045572916666666664,0.06749059140897279,-0.08463541666666667,0.18619791666666666,0.45414123674756957,0.45414123674756957,0.07161458333333333,0.11961230518727668,-0.04296875,0.18880208333333334,0.1364107741439181,0.8184646448635087,True,False,A,A
PTO_LA5_I10 − GRPO_LA5_I5 (K=5 endpoints),MI-SAT,96,0.15104166666666663,0.17969968430174862,-0.013975694444444457,0.3229166666666666,0.041569552522486085,0.09448610255340543,0.08680555555555552,0.13962130422360894,-0.03993055555555559,0.21180555555555555,0.20374309754019837,0.8184646448635087,True,False,A,A
PTO_LA5_I10 − GRPO_LA5_I5 (K=5 endpoints),MITI,96,0.24739583333333334,0.3768746952338266,0.11458333333333333,0.377669270833333,5.000969406098645e-05,0.0004000775524878916,-0.036458333333333336,-0.09100406174560942,-0.11458333333333333,0.046875,0.24209149264409013,0.8184646448635087,False,False,A,B
PTO_LA5_I10 − GRPO_LA5_I5 (K=5 endpoints),PCT,96,0.05957643633643095,0.2721404882125898,0.01843087585586103,0.10322482510154973,0.0006254165662586301,0.003752499397551781,0.06224071294666681,0.2617130991400007,0.017294146421705018,0.10863716435595064,0.0016138696051514942,0.014524826446363447,True,True,A,A
PTO_LA5_I10 − GRPO_LA5_I5 (K=5 endpoints),MICI,96,-0.07659937190969505,-0.28791745138082525,-0.13002704875872925,-0.022076774370713335,0.00360061078695904,0.015343407678863101,-0.06594144026160868,-0.17438517432002384,-0.14115961220534884,0.008505776405069141,0.09595571489560437,0.6716900042692305,True,False,A,A
"PTO_LA5_I10 − PTO_LA0_I10 (K lever, PTO endpoint)",Q1Q2,96,0.04699754901960781,0.09566621301885612,-0.05424479166666666,0.1423560049019606,0.08690946083826036,0.6952756867060829,-0.1990808823529412,-0.30781875524334984,-0.3315732230392157,-0.06844209558823533,0.032362563631031745,0.12945025452412698,False,True,A,B
"PTO_LA5_I10 − PTO_LA0_I10 (K lever, PTO endpoint)",Q1,96,0.0854166666666667,0.1387958104599394,-0.04374999999999998,0.2083333333333334,0.09367262609390796,0.6952756867060829,-0.03541666666666666,-0.041306525594239474,-0.2104166666666667,0.13541666666666666,0.8538891470268303,1.0,False,False,A,B
"PTO_LA5_I10 − PTO_LA0_I10 (K lever, PTO endpoint)",Q2,96,0.008578431372548878,0.019791544652842847,-0.07967218137254908,0.0931372549019606,0.3044223710359546,1.0,-0.36274509803921573,-0.6532662844103057,-0.4779718137254902,-0.2512101715686275,3.19889810287384e-08,2.559118482299072e-07,False,True,A,B
"PTO_LA5_I10 − PTO_LA0_I10 (K lever, PTO endpoint)",WAI-SR,96,0.038194444444444406,0.07302995387505037,-0.07552083333333337,0.14498697916666653,0.2866300197281798,1.0,-0.10416666666666663,-0.17366048555206204,-0.22569444444444442,0.013888888888888918,0.11868601208292755,0.35605803624878263,False,False,A,B
"PTO_LA5_I10 − PTO_LA0_I10 (K lever, PTO endpoint)",CSQ-8,96,0.0078125,0.01555543750044148,-0.09375,0.10810546874999982,0.6258656291612832,1.0,-0.0013020833333333333,-0.0023080821053041525,-0.12763671875,0.11328125,0.9964484697235714,1.0,False,False,A,B
"PTO_LA5_I10 − PTO_LA0_I10 (K lever, PTO endpoint)",MI-SAT,96,0.05729166666666664,0.0850563519442379,-0.08506944444444449,0.1892795138888886,0.09944464997436775,0.6952756867060829,0.11111111111111112,0.19741924671712985,-0.0017795138888889069,0.22569444444444442,0.01692802610188992,0.0846401305094496,True,False,A,A
"PTO_LA5_I10 − PTO_LA0_I10 (K lever, PTO endpoint)",MITI,96,-0.015625,-0.026420383797185743,-0.14322916666666666,0.10416666666666667,0.9445827964956923,1.0,-0.203125,-0.4868214849847903,-0.2864583333333333,-0.125,9.717025439168501e-06,6.801917807417951e-05,True,True,B,B
"PTO_LA5_I10 − PTO_LA0_I10 (K lever, PTO endpoint)",PCT,96,0.007653542203058877,0.04353172037239663,-0.028929440652177615,0.04328374537470119,0.2679143352247111,1.0,0.05134661039960375,0.2528897685169886,0.009623347759529128,0.0920738970678818,0.0027654866763637377,0.016592920058182428,True,True,A,A
"PTO_LA5_I10 − PTO_LA0_I10 (K lever, PTO endpoint)",MICI,96,-0.2277253368587162,-0.7078745170547895,-0.29100962044348655,-0.16379159612426658,2.9349094122165854e-09,2.6414184709949267e-08,-0.24457241001667826,-0.6552098137093415,-0.31592183688642533,-0.16772739652870391,6.849761233738526e-09,6.164785110364674e-08,True,True,A,A
"GRPO_LA5_I5 − GRPO_LA0_I5 (K lever, GRPO matched iter)",Q1Q2,96,0.06979166666666664,0.1346954978083373,-0.03617647058823536,0.17696537990196076,0.12179673723969116,0.3653902117190735,0.3110906862745098,0.42905279981954053,0.16753982843137255,0.4547794117647059,0.001079858264385145,0.00647914958631087,True,True,A,A
"GRPO_LA5_I5 − GRPO_LA0_I5 (K lever, GRPO matched iter)",Q1,96,0.11875000000000002,0.21003895038785372,0.004114583333333304,0.2395833333333334,0.04095511570231295,0.20477557851156475,0.45,0.49893131132065577,0.26666666666666666,0.6291666666666665,1.8270666437513163e-05,0.00016443599793761847,True,True,A,A
"GRPO_LA5_I5 − GRPO_LA0_I5 (K lever, GRPO matched iter)",Q2,96,0.020833333333333287,0.03935451563837282,-0.08887867647058831,0.12440257352941164,0.35872816827002707,0.3653902117190735,0.17218137254901955,0.25686272840020397,0.03797487745098034,0.30822610294117636,0.06086612268784277,0.1825983680635283,True,True,A,A
"GRPO_LA5_I5 − GRPO_LA0_I5 (K lever, GRPO matched iter)",WAI-SR,96,0.2552083333333333,0.4458822078713585,0.14409722222222224,0.3776258680555555,7.22221186057721e-05,0.0006499990674519488,0.109375,0.19448516829426166,-0.0017361111111111212,0.21961805555555555,0.13764823548601435,0.2752964709720287,True,False,A,A
