method,train_iter,n_groups_K0,n_groups_K5,margin_K0,margin_K5,margin_ratio,margin_ratio_lo,margin_ratio_hi,sd_K0,sd_K5,sd_ratio,sd_ratio_lo,sd_ratio_hi,ratio_of_ratios,ror_lo,ror_hi,ror_ci_covers_1,margin_over_sd_K0,margin_over_sd_K5,winner_z_K0,winner_z_K5,winner_z_diff,winner_z_diff_lo,winner_z_diff_hi
PTO,1,949,890,0.27350771710159294,0.4241705221414408,1.5508539453162302,1.4549436359650372,1.657742540345622,0.09188491041553828,0.14061224115267715,1.5303083010776792,1.4382083102865608,1.6318946667378404,1.0134258202899915,0.9998480938272077,1.026721930313577,True,2.9766336590489963,3.0165974076245274,1.4176005913213534,1.4862085806233516,0.06860798930199818,0.019665910387060375,0.11953525650338563
PTO,2,772,837,0.25020572996037793,0.431745027760208,1.7255601133858056,1.616006426761366,1.8462597455575398,0.08571919091139747,0.1421388583200313,1.6581917865621398,1.5554001749482258,1.7727038468666918,1.0406275844384307,1.0249907209854094,1.055875666302673,False,2.9188998087837743,3.037487657232457,1.4754479497404116,1.4537299208037582,-0.021718028936653422,-0.07653192697072222,0.03286851435844969
PTO,3,787,816,0.24403916585694,0.4447303921568627,1.8223730219499743,1.708754727931769,1.9544024979034644,0.08266260955437874,0.14717583917638835,1.7804402736592808,1.6725480564895874,1.904519506228975,1.0235518983203578,1.0085122199476075,1.038740109702805,False,2.95223157328951,3.0217622311217744,1.4861989751552667,1.486191476283151,-7.4988721157076554e-06,-0.057493896831430566,0.056707611458638195
PTO,4,647,613,0.23178470770070003,0.39649745705786404,1.7106281988622607,1.5932161463391132,1.8384824860114284,0.07768184512491634,0.13098618237067947,1.6861878365536638,1.5741214638786023,1.807561753710882,1.0144944482333296,0.997670307627601,1.031264000613788,True,2.983769339257821,3.027017429485889,1.4723568348869855,1.4355906217009289,-0.03676621318605666,-0.10124277196699501,0.024677102011063948
PTO,5,600,467,0.2366862745098039,0.3817987152034263,1.613100362469948,1.487724376775852,1.743159462386538,0.08033563244099362,0.12942342049265015,1.611033816005761,1.491361492352244,1.735578045536133,1.001282745553604,0.9824531703230179,1.020164528930931,True,2.9462178527523206,2.9499971006028876,1.4391858926994001,1.3884402848405435,-0.05074560785885662,-0.11728909610557081,0.01440245658757619
PTO,6,591,663,0.22531103812083209,0.33240173897613345,1.4753016174816507,1.3620901428767573,1.5936716928596102,0.07796897409104747,0.11080615966388252,1.4211570814628105,1.3143931380997713,1.5299236993523515,1.0380989101944373,1.0186514467481496,1.056528486211545,False,2.8897525040887087,2.999848925226135,1.419835784990381,1.42126604079228,0.0014302558018988165,-0.06123647508345222,0.06573145240135983
PTO,7,521,807,0.22016484136840916,0.33175158539252136,1.5068327137546471,1.392580317407154,1.6240639103875023,0.07460250114469197,0.11071431455106973,1.484056336614488,1.375225872899546,1.5947118773249844,1.0153473804047883,0.996248315314486,1.0332685227238374,True,2.951172386853334,2.9964651521144785,1.444463376046959,1.434700985400572,-0.009762390646387065,-0.07608358471132189,0.05770706565968013
PTO,8,517,767,0.195312322220958,0.2731497814249559,1.3985281538762304,1.2814806909527918,1.5279021281560388,0.0668937154763976,0.09074094500960156,1.3564943188365444,1.2441909971208072,1.4766315944163342,1.0309871073221584,1.0118172811782398,1.0499184342285872,False,2.919740977609039,3.010215304635114,1.3897527449439904,1.381406561794725,-0.008346183149265274,-0.07725487636958318,0.06107431044236049
PTO,9,446,761,0.22533632286995517,0.30204838834351083,1.3404336437930928,1.2311146306729073,1.4558181271840815,0.07614968183751403,0.10117129389363692,1.3285845909312304,1.224255138979347,1.4372035273188735,1.0089185535815655,0.9903732474950955,1.027468549620062,True,2.959123629049052,2.985514731689202,1.4120771756679058,1.445978623742629,0.033901448074723284,-0.03190224910136663,0.09921991475394125
PTO,10,410,926,0.1957532281205165,0.2335662558760005,1.193166815784025,1.0845061909939646,1.3239168991919859,0.06665625220971129,0.07952366126721593,1.1930412921659876,1.0867200856802153,1.3187559220108651,1.000105213137937,0.9804110578772497,1.019780809516722,True,2.936757192778336,2.9370661782179472,1.3306420631862763,1.3707336320925911,0.04009156890631482,-0.03388402586793942,0.11577633791520035
PTO,pooled,6240,7547,0.23499245852187028,0.3533706420159159,1.503753117179411,1.4657906610693625,1.5409335455756068,0.07976192973375991,0.11766070974953058,1.4751487350202572,1.439857517247868,1.5108875261801418,1.019390846143227,1.013732662095347,1.0250841124476653,False,2.946173184453532,3.0033019753845713,1.4358355797831603,1.4333701291718548,-0.002465450611305542,-0.021731378046080618,0.017636108730382613
GRPO,1,1728,864,0.3792109204793028,0.5458946078431371,1.439554027487275,1.3236889175680029,1.5601278909844563,0.12727397254587774,0.17816757216535278,1.399874370238029,1.2878499314430871,1.514716040069872,1.028345155888881,1.0154362122929936,1.0425759559177554,False,2.9794852230499114,3.0639391961658786,1.394420218773059,1.5551609621550517,0.16074074338199273,0.11337132047407159,0.20584791844983552
GRPO,2,752,1184,0.34704317897371717,0.5228984499205087,1.5067244700409734,1.409096469421797,1.6145357173108021,0.11537920537697806,0.17276910175892607,1.497402423551438,1.400451697892718,1.6032683950714866,1.0062254784304583,0.9939041718106947,1.0184983946354587,True,3.00784857929836,3.0265738757508664,1.382039187481164,1.5133120762821874,0.1312728888010235,0.0802366610344715,0.18209460415803788
GRPO,3,1888,1792,0.3072376620139581,0.5159073004201681,1.6791798799612332,1.5999428066279715,1.762022106591984,0.10271093344994305,0.16921678393953307,1.6475050732744256,1.5707188381315702,1.7247248695745823,1.0192259236105743,1.009443450371528,1.0287740444054423,False,2.9912848778041012,3.048795092362229,1.419374368538028,1.569601569345933,0.15022720080790508,0.11566358714476233,0.18598568197421464
GRPO,4,1600,1696,0.24829779411764705,0.4251422031076582,1.7122270643541029,1.6380616131790453,1.7882906442153899,0.08330446945577366,0.14122083417443562,1.6952371835152225,1.624492047437711,1.7677529506303167,1.0100221261096045,0.999971341185335,1.0203852873908799,True,2.980605911540777,3.010477919869271,1.4354279145373607,1.5238253797837935,0.08839746524643277,0.05021881119363967,0.12504465122209493
GRPO,5,1888,1408,0.24646996510468594,0.3720671791443852,1.5095842569959912,1.4410948339064005,1.5814427199409695,0.08313406362877274,0.12370668490970034,1.4880384707537069,1.4201232767462975,1.5573076894960582,1.0144793207069245,1.0041444353704125,1.0256347332670317,False,2.9647289491979385,3.0076562104624784,1.4519844371554875,1.448408082480228,-0.00357635467525963,-0.0447174136391804,0.035666693977285335
GRPO,pooled,7856,6944,0.3002710554690308,0.46949630658715097,1.563574970134188,1.5205759536508094,1.6060204344836868,0.1006691818503841,0.1548705965964541,1.5384111974469492,1.4956009459743336,1.5800826646936204,1.0163569874744796,1.0113540860534533,1.0214851986310858,False,2.9827505295046275,3.0315393425552317,1.4212759638448673,1.5223897696719855,0.10111380582711815,0.0835337479979569,0.11949198349027339
