judge,method,metric,target,iter_K0,iter_K5,cooperation,n,mean_K0,mean_K5,mean_delta,dz,ci_lo,ci_hi,p,p_holm,share_K0_ge_4.5,share_K5_ge_4.5
gpt-4o-mini,PTO,Q1Q2,matched_final,10,10,Cooperative,32,4.904411764705882,4.861397058823529,0.043014705882352955,0.2897473893847717,-0.003869485294117576,0.09853400735294118,0.23043047757805613,0.46086095515611225,1.0,0.9375
gpt-4o-mini,PTO,Q1Q2,matched_final,10,10,Warms up,32,4.2102941176470585,4.352389705882353,-0.1420955882352941,-0.33374675945414184,-0.2882444852941176,0.004425551470588156,0.014288757392362425,0.04286627217708727,0.21875,0.21875
gpt-4o-mini,PTO,Q1Q2,matched_final,10,10,Resistant,32,3.6645220588235294,3.706433823529412,-0.04191176470588227,-0.05820170327460003,-0.2829181985294117,0.1976194852941176,0.5811930827307271,0.5811930827307271,0.0,0.0
gpt-4o-mini,PTO,Q1Q2,matched_final,10,10,All,96,4.259742647058824,4.306740196078432,-0.04699754901960781,-0.09566621301885612,-0.14235600490196068,0.05424479166666657,0.08690946083826036,,0.40625,0.3854166666666667
gpt-4o-mini,PTO,Q1Q2,own_best,10,10,Cooperative,32,4.904411764705882,4.861397058823529,0.043014705882352955,0.2897473893847717,-0.003869485294117576,0.09853400735294118,0.23043047757805613,0.46086095515611225,1.0,0.9375
gpt-4o-mini,PTO,Q1Q2,own_best,10,10,Warms up,32,4.2102941176470585,4.352389705882353,-0.1420955882352941,-0.33374675945414184,-0.2882444852941176,0.004425551470588156,0.014288757392362425,0.04286627217708727,0.21875,0.21875
gpt-4o-mini,PTO,Q1Q2,own_best,10,10,Resistant,32,3.6645220588235294,3.706433823529412,-0.04191176470588227,-0.05820170327460003,-0.2829181985294117,0.1976194852941176,0.5811930827307271,0.5811930827307271,0.0,0.0
gpt-4o-mini,PTO,Q1Q2,own_best,10,10,All,96,4.259742647058824,4.306740196078432,-0.04699754901960781,-0.09566621301885612,-0.14235600490196068,0.05424479166666657,0.08690946083826036,,0.40625,0.3854166666666667
gpt-4o-mini,PTO,MICI,matched_final,10,10,Cooperative,32,0.5024925595238096,0.2567154806998557,0.2457770788239538,0.8609745066205949,0.14536622643849204,0.3369089950847763,0.0001416224580268281,0.0004248673740804843,,
gpt-4o-mini,PTO,MICI,matched_final,10,10,Warms up,32,0.5506136224886224,0.3032871158178337,0.24732650667078881,0.5921955425090131,0.10107571403377327,0.3858112410935189,0.002672824087287922,0.002672824087287922,,
gpt-4o-mini,PTO,MICI,matched_final,10,10,Resistant,32,0.4211269907799029,0.23105456569849697,0.19007242508140593,0.7822282744474814,0.11182221952373608,0.2752473274467348,0.0006984106608704661,0.0013968213217409322,,
gpt-4o-mini,PTO,MICI,matched_final,10,10,All,96,0.4914110575974449,0.2636857207387288,0.2277253368587162,0.7078745170547895,0.16379159612426653,0.2910096204434865,2.9349094122165854e-09,,,
gpt-4o-mini,PTO,MICI,own_best,10,10,Cooperative,32,0.5024925595238096,0.2567154806998557,0.2457770788239538,0.8609745066205949,0.14536622643849204,0.3369089950847763,0.0001416224580268281,0.0004248673740804843,,
gpt-4o-mini,PTO,MICI,own_best,10,10,Warms up,32,0.5506136224886224,0.3032871158178337,0.24732650667078881,0.5921955425090131,0.10107571403377327,0.3858112410935189,0.002672824087287922,0.002672824087287922,,
gpt-4o-mini,PTO,MICI,own_best,10,10,Resistant,32,0.4211269907799029,0.23105456569849697,0.19007242508140593,0.7822282744474814,0.11182221952373608,0.2752473274467348,0.0006984106608704661,0.0013968213217409322,,
gpt-4o-mini,PTO,MICI,own_best,10,10,All,96,0.4914110575974449,0.2636857207387288,0.2277253368587162,0.7078745170547895,0.16379159612426653,0.2910096204434865,2.9349094122165854e-09,,,
gpt-4o-mini,PTO,PCT,matched_final,10,10,Cooperative,32,0.8760258838383839,0.8704223426030492,0.005603541235334714,0.045966718520074834,-0.03882650382905139,0.048325569358178055,0.8288168409775579,1.0,,
gpt-4o-mini,PTO,PCT,matched_final,10,10,Warms up,32,0.567335049550123,0.6142219630770622,-0.046886913526939106,-0.2517527652355014,-0.10827298822878066,0.018224508795011068,0.005336310452279759,0.016008931356839277,,
gpt-4o-mini,PTO,PCT,matched_final,10,10,Resistant,32,0.44705034293729146,0.4287275972548637,0.018322745682427755,0.08865571863950335,-0.052870709097271075,0.09000734332050997,0.8541472562407086,1.0,,
gpt-4o-mini,PTO,PCT,matched_final,10,10,All,96,0.6301370921085995,0.6377906343116583,-0.007653542203058877,-0.04353172037239663,-0.04328374537470121,0.028929440652177597,0.2679143352247111,,,
gpt-4o-mini,PTO,PCT,own_best,10,10,Cooperative,32,0.8760258838383839,0.8704223426030492,0.005603541235334714,0.045966718520074834,-0.03882650382905139,0.048325569358178055,0.8288168409775579,1.0,,
gpt-4o-mini,PTO,PCT,own_best,10,10,Warms up,32,0.567335049550123,0.6142219630770622,-0.046886913526939106,-0.2517527652355014,-0.10827298822878066,0.018224508795011068,0.005336310452279759,0.016008931356839277,,
gpt-4o-mini,PTO,PCT,own_best,10,10,Resistant,32,0.44705034293729146,0.4287275972548637,0.018322745682427755,0.08865571863950335,-0.052870709097271075,0.09000734332050997,0.8541472562407086,1.0,,
gpt-4o-mini,PTO,PCT,own_best,10,10,All,96,0.6301370921085995,0.6377906343116583,-0.007653542203058877,-0.04353172037239663,-0.04328374537470121,0.028929440652177597,0.2679143352247111,,,
gpt-4o-mini,GRPO,Q1Q2,matched_final,5,5,Cooperative,32,4.766727941176471,4.796875,-0.03014705882352922,-0.1290975455805919,-0.11746783088235282,0.040992647058823724,0.9182397985384877,1.0,0.875,1.0
gpt-4o-mini,GRPO,Q1Q2,matched_final,5,5,Warms up,32,4.085845588235294,4.289889705882353,-0.20404411764705888,-0.557103858711423,-0.32522977941176473,-0.08253216911764695,0.006636035030257161,0.019908105090771483,0.03125,0.0
gpt-4o-mini,GRPO,Q1Q2,matched_final,5,5,Resistant,32,3.0626838235294116,3.0378676470588237,0.024816176470588168,0.03191554530668346,-0.2456112132352943,0.291737132352941,0.7838093504504756,1.0,0.0,0.0
gpt-4o-mini,GRPO,Q1Q2,matched_final,5,5,All,96,3.9717524509803925,4.041544117647059,-0.06979166666666664,-0.1346954978083373,-0.1769653799019608,0.03617647058823523,0.12179673723969116,,0.3020833333333333,0.3333333333333333
gpt-4o-mini,GRPO,Q1Q2,own_best,8,4,Cooperative,32,4.920036764705883,4.7523897058823525,0.1676470588235297,1.5842800200148281,0.1347426470588239,0.20459558823529442,1.1299427639558544e-06,3.3898282918675633e-06,1.0,1.0
gpt-4o-mini,GRPO,Q1Q2,own_best,8,4,Warms up,32,4.03125,4.247426470588236,-0.2161764705882354,-0.39136199681115624,-0.42596507352941193,-0.04556525735294139,0.03967080681310069,0.07934161362620137,0.0625,0.0
gpt-4o-mini,GRPO,Q1Q2,own_best,8,4,Resistant,32,3.295588235294118,3.359742647058823,-0.06415441176470582,-0.10300206948041594,-0.27877757352941174,0.14302849264705883,0.45447587785321797,0.45447587785321797,0.0,0.0
gpt-4o-mini,GRPO,Q1Q2,own_best,8,4,All,96,4.082291666666666,4.119852941176471,-0.03756127450980384,-0.07438590093856932,-0.1368382352941176,0.053186274509803705,0.7885186861102786,,0.3541666666666667,0.3333333333333333
gpt-4o-mini,GRPO,MICI,matched_final,5,5,Cooperative,32,0.2619733738483738,0.3339020788239538,-0.07192870497557997,-0.272888700938481,-0.16122685907842157,0.019514749139749116,0.2168756282933465,0.6506268848800395,,
gpt-4o-mini,GRPO,MICI,matched_final,5,5,Warms up,32,0.3047563632286298,0.3656164148351648,-0.06086005160653497,-0.21118154936504047,-0.1576540844144045,0.03450752384382097,0.275646717088081,0.6506268848800395,,
gpt-4o-mini,GRPO,MICI,matched_final,5,5,Resistant,32,0.265158329211638,0.32133678428615287,-0.05617845507451485,-0.24318625405115896,-0.13643314888458552,0.021867379044389058,0.317589436651994,0.6506268848800395,,
gpt-4o-mini,GRPO,MICI,matched_final,5,5,All,96,0.2772960220962139,0.3402850926484238,-0.06298907055220994,-0.2429304993301655,-0.11673686140684822,-0.012561273117903764,0.043888484640511365,,,
gpt-4o-mini,GRPO,MICI,own_best,8,4,Cooperative,32,0.6944967532467532,0.31805351307189544,0.37644324017485786,1.1956015396452753,0.2693135165998218,0.4757432717405143,4.217188847137205e-05,0.00012651566541411615,,
gpt-4o-mini,GRPO,MICI,own_best,8,4,Warms up,32,0.5229661986405407,0.29191013337153043,0.23105606526901035,0.8034762679091217,0.1369065793382744,0.33176327415435874,0.0001890387459292444,0.0003780774918584888,,
gpt-4o-mini,GRPO,MICI,own_best,8,4,Resistant,32,0.38831056947994164,0.30497181637806636,0.08333875310187525,0.3911298741402788,0.015214387301655903,0.15885143329010054,0.10986631777815738,0.10986631777815738,,
gpt-4o-mini,GRPO,MICI,own_best,8,4,All,96,0.5352578404557452,0.30497848760716406,0.23027935284858114,0.7735577826269293,0.1736913408682208,0.2846893300527238,7.901583623686477e-10,,,
gpt-4o-mini,GRPO,PCT,matched_final,5,5,Cooperative,32,0.84341751998002,0.8295882936507937,0.013829226329226344,0.11910615249070361,-0.02646232890373514,0.05091951884920631,0.29870087177224336,0.3416403569920179,,
gpt-4o-mini,GRPO,PCT,matched_final,5,5,Warms up,32,0.5095489966474873,0.628109803799142,-0.11856080715165468,-0.8963034793812961,-0.16428291078385407,-0.07442568626736826,2.835120043791006e-05,8.505360131373019e-05,,
gpt-4o-mini,GRPO,PCT,matched_final,5,5,Resistant,32,0.2138826655370773,0.2769444964757465,-0.06306183093866918,-0.25732301548302644,-0.14887052974598933,0.01987227526864458,0.17082017849600895,0.3416403569920179,,
gpt-4o-mini,GRPO,PCT,matched_final,5,5,All,96,0.5222830607215282,0.5782141979752274,-0.05593113725369917,-0.3093732097154723,-0.09390778998872071,-0.019493301347077004,0.0033783495791212675,,,
gpt-4o-mini,GRPO,PCT,own_best,8,4,Cooperative,32,0.865759154040404,0.849494136422685,0.016265017617719032,0.1844484804418769,-0.012519421975394223,0.046910174385548016,0.4532567322946601,0.4903806186419277,,
gpt-4o-mini,GRPO,PCT,own_best,8,4,Warms up,32,0.5345894097732333,0.6074824481074481,-0.0728930383342148,-0.4135104564674464,-0.137871371887916,-0.015122789919435133,0.002552445142093466,0.007657335426280398,,
gpt-4o-mini,GRPO,PCT,own_best,8,4,Resistant,32,0.3146724457686986,0.38429222781002964,-0.06961978204133103,-0.21703512145257786,-0.17696023256673188,0.044318983705945905,0.24519030932096386,0.4903806186419277,,
gpt-4o-mini,GRPO,PCT,own_best,8,4,All,96,0.5716736698607786,0.6137562707800542,-0.0420826009192756,-0.19212697423677527,-0.08378110080554678,0.0015876023823473359,0.04028926519838965,,,
claude-haiku-4-5,PTO,Q1Q2,matched_final,10,10,Cooperative,32,3.666360294117647,3.0954044117647057,0.5709558823529413,0.7732036016752541,0.3126562500000001,0.8183823529411764,0.0005605247002418441,0.0016815741007255322,0.0,0.0
claude-haiku-4-5,PTO,Q1Q2,matched_final,10,10,Warms up,32,2.719669117647059,2.792095588235294,-0.07242647058823534,-0.12318404812054398,-0.26251378676470594,0.142863051470588,0.12156487494172646,0.24312974988345293,0.0,0.0
claude-haiku-4-5,PTO,Q1Q2,matched_final,10,10,Resistant,32,2.2121323529411763,2.1134191176470587,0.09871323529411774,0.2455430627722585,-0.03898437499999997,0.23070772058823533,0.1396090300904405,0.24312974988345293,0.0,0.0
claude-haiku-4-5,PTO,Q1Q2,matched_final,10,10,All,96,2.866053921568627,2.666973039215686,0.1990808823529412,0.30781875524334984,0.06844209558823532,0.33157322303921566,0.032362563631031745,,0.0,0.0
claude-haiku-4-5,PTO,Q1Q2,own_best,10,10,Cooperative,32,3.666360294117647,3.0954044117647057,0.5709558823529413,0.7732036016752541,0.3126562500000001,0.8183823529411764,0.0005605247002418441,0.0016815741007255322,0.0,0.0
