metric,iteration,n,mean_K0,mean_K5,se_K0,se_K5,mean_delta,dz,ci_lo,ci_hi,p,p_holm,sig,lower_better
MICI_Severity,0,96,3.2604166666666665,3.4270833333333335,0.1258695994561493,0.12630441476867893,-0.16666666666666666,-0.14627507100116682,-0.3854166666666667,0.0625,0.15164586046321388,0.45493758138964163,,True
MICI_Severity,1,96,3.1354166666666665,3.2395833333333335,0.12267110469422123,0.12802890955282933,-0.10416666666666667,-0.11015078018937617,-0.2916666666666667,0.09375,0.30232265761480304,0.6046453152296061,,True
MICI_Severity,2,96,2.9791666666666665,3.1041666666666665,0.11468795064605443,0.1082953712164125,-0.125,-0.1035254028017798,-0.375,0.11458333333333333,0.3439661070927067,0.6046453152296061,,True
MICI_Severity,3,96,2.5416666666666665,3.0,0.0724215647506713,0.09248043889897674,-0.4583333333333333,-0.5270844892216385,-0.6354166666666666,-0.2914062500000014,5.618884513853729e-06,3.371330708312238e-05,***,True
MICI_Severity,4,96,2.6041666666666665,2.7604166666666665,0.07175611512951027,0.07513845650663069,-0.15625,-0.19239759072739382,-0.3229166666666667,0.0,0.06922149009587941,0.27688596038351765,,True
MICI_Severity,5,96,2.6979166666666665,2.9166666666666665,0.07991194669851436,0.08463889584616804,-0.21875,-0.2656720443113621,-0.3854166666666667,-0.0625,0.011336855744701274,0.05668427872350637,,True
MICI_Rate,0,96,0.21132584867781182,0.20902164964664963,0.022887843749167795,0.021368951813594488,0.0023041990311622085,0.00727129241829498,-0.05523267485101965,0.06861942581369984,0.778333379130508,1.0,,True
MICI_Rate,1,96,0.22755203635839275,0.22799043862969862,0.022289815787977212,0.023883611161390855,-0.00043840227130583696,-0.0014407693063622805,-0.06327808101936122,0.059405286845520204,0.8257136946275876,1.0,,True
MICI_Rate,2,96,0.169247692642297,0.22758187168720423,0.014816407127016557,0.019818155583543818,-0.05833417904490728,-0.22249380249380488,-0.11002296904469425,-0.00718063716871235,0.07663424460123142,0.22990273380369425,,True
MICI_Rate,3,96,0.23038935956295292,0.3078285534375898,0.014476567380779888,0.020423839572468277,-0.07743919387463692,-0.31939157951725244,-0.1261975739730319,-0.028878425386959106,0.0014578713268923124,0.008747227961353875,**,True
MICI_Rate,4,96,0.25070171270006797,0.30497848760716406,0.014002696755631651,0.018247062307259684,-0.05427677490709612,-0.24536413498386483,-0.09901428245414073,-0.010974298644359655,0.018259069863518718,0.09129534931759359,,True
MICI_Rate,5,96,0.2772960220962139,0.3402850926484238,0.01498355123713922,0.021293472516075038,-0.06298907055220994,-0.2429304993301655,-0.11673686140684822,-0.012561273117903764,0.043888484640511365,0.17555393856204546,,True
MICI_Confront_rate,0,96,0.008359823631362952,0.005599747474747475,0.0034877712257294947,0.0029225870757402855,0.002760076156615478,0.06849234575656697,-0.005429280819706012,0.010582611407334663,0.5060956790543683,1.0,,True
MICI_Confront_rate,1,96,0.005567129629629629,0.005421757518796993,0.0032675065649751104,0.0022745079168723934,0.00014537211083263715,0.0043803508509578344,-0.006308186916945141,0.007187266125382888,0.9643650017422594,1.0,,True
MICI_Confront_rate,2,96,0.0020833333333333333,0.0056386502989763864,0.002083333333333334,0.0021407764398528126,-0.0035553169656430523,-0.1198245884929531,-0.00890740028138126,0.002351641414141414,0.16142946236708333,0.8071473118354167,,True
MICI_Confront_rate,3,96,0.0,0.0057700892857142855,0.0,0.0019292703498323396,-0.0057700892857142855,-0.30524870282195316,-0.010129433283730158,-0.002271825396825397,0.007264382942252025,0.04358629765351215,*,True
MICI_Confront_rate,4,96,0.0,0.000946969696969697,0.0,0.0009469696969696969,-0.000946969696969697,-0.10206207261596577,-0.0028409090909090906,0.0,0.31731050786291415,1.0,,True
