metric,iteration,n,mean_K0,mean_K5,se_K0,se_K5,mean_delta,dz,ci_lo,ci_hi,p,p_holm,sig,lower_better
conv_len,0,96,28.385416666666668,30.489583333333332,1.5041149545224692,1.6117710368924916,-2.1041666666666665,-0.09910220638061258,-6.136979166666666,2.0625,0.277534655053815,1.0,,False
conv_len,1,96,25.895833333333332,26.322916666666668,1.5804090608787342,1.564020824197489,-0.4270833333333333,-0.021305028457306155,-4.3234375,3.5731770833333316,0.968068070443497,1.0,,False
conv_len,2,96,27.6875,26.614583333333332,1.4106667967324917,1.3310042534619935,1.0729166666666667,0.060131863717780246,-2.39609375,4.614843749999999,0.5046686056983936,1.0,,False
conv_len,3,96,23.927083333333332,25.489583333333332,1.4645103360810752,1.4081525466595384,-1.5625,-0.08212123657646042,-5.1671875,2.062760416666665,0.5013794164040075,1.0,,False
conv_len,4,96,23.854166666666668,22.84375,1.2929446846645603,1.319001493438496,1.0104166666666667,0.06078634191677974,-2.1255208333333333,4.208593749999999,0.40966849371135694,1.0,,False
conv_len,5,96,23.1875,23.71875,1.2447532430023682,1.1850404468817148,-0.53125,-0.03430264372040588,-3.6669270833333334,2.6354166666666665,0.7993811927551457,1.0,,False
conv_len,6,96,21.71875,25.260416666666668,1.1046853093417324,1.2168629490493192,-3.5416666666666665,-0.2753774762077061,-5.96875,-1.1666666666666667,0.006892812819460329,0.055142502555682635,,False
conv_len,7,96,22.71875,23.302083333333332,1.220772613153783,1.158977145800686,-0.5833333333333334,-0.03962392146941141,-3.5223958333333334,2.324218749999993,0.5742903255461118,1.0,,False
conv_len,8,96,20.770833333333332,25.645833333333332,1.0483361050642521,1.194649912628252,-4.875,-0.3533712432913848,-7.615104166666667,-2.1351562500000014,6.02354589033899e-05,0.0005421191301305091,***,False
conv_len,9,96,19.197916666666668,27.489583333333332,0.8321421036269316,1.3465350914693905,-8.291666666666666,-0.6140187580787227,-11.063020833333333,-5.634895833333337,9.697245318818059e-08,1.0666969850699866e-06,***,False
