judge,arm,metric,iteration,n,mean,sd,se
gpt-4o-mini,GRPO_LA0,CSQ-8,0,96,2.3619791666666665,1.241216398107044,0.1266811181557286
gpt-4o-mini,GRPO_LA0,CSQ-8,1,96,2.4765625,1.2225018162724641,0.12477106914555026
gpt-4o-mini,GRPO_LA0,CSQ-8,2,96,2.5143229166666665,1.201954246390713,0.12267394157619735
gpt-4o-mini,GRPO_LA0,CSQ-8,3,96,2.8111979166666665,1.042831859281474,0.1064335809482284
gpt-4o-mini,GRPO_LA0,CSQ-8,4,96,2.7513020833333335,1.0462173078063222,0.10677910684140905
gpt-4o-mini,GRPO_LA0,CSQ-8,5,96,2.71484375,1.0810422488274916,0.11033341250075837
gpt-4o-mini,GRPO_LA0,CSQ-8,6,96,2.7096354166666665,1.0759779504666214,0.10981653971370232
gpt-4o-mini,GRPO_LA0,CSQ-8,7,96,2.7565104166666665,1.033703388127945,0.10550191026248416
gpt-4o-mini,GRPO_LA0,CSQ-8,8,96,2.7486979166666665,1.0250954370952534,0.10462336493911092
gpt-4o-mini,GRPO_LA0,CSQ-8,9,96,2.4856770833333335,1.1678069008980412,0.11918879272088181
gpt-4o-mini,GRPO_LA0,CSQ-8,10,96,2.7734375,0.992125658557635,0.1012584010078722
gpt-4o-mini,GRPO_LA0,MI-SAT,0,96,2.857638888888889,1.4331046669224046,0.14626563258171388
gpt-4o-mini,GRPO_LA0,MI-SAT,1,96,2.986111111111111,1.3985511857287576,0.14273903267499347
gpt-4o-mini,GRPO_LA0,MI-SAT,2,96,3.0538194444444446,1.390337329522425,0.14190070948640568
gpt-4o-mini,GRPO_LA0,MI-SAT,3,96,3.425347222222222,1.1905745312347948,0.12151250426160504
gpt-4o-mini,GRPO_LA0,MI-SAT,4,96,3.409722222222222,1.1264799665372425,0.11497088014515472
gpt-4o-mini,GRPO_LA0,MI-SAT,5,96,3.3211805555555554,1.2077345259555947,0.1232638888888889
gpt-4o-mini,GRPO_LA0,MI-SAT,6,96,3.3055555555555554,1.1998212992347927,0.1224562485686838
gpt-4o-mini,GRPO_LA0,MI-SAT,7,96,3.418402777777778,1.1262406522686934,0.11494645523490003
gpt-4o-mini,GRPO_LA0,MI-SAT,8,96,3.440972222222222,1.1231167906927857,0.11462762744789752
gpt-4o-mini,GRPO_LA0,MI-SAT,9,96,3.050347222222222,1.2896619511884035,0.13162557171223893
gpt-4o-mini,GRPO_LA0,MI-SAT,10,96,3.4791666666666665,1.0320167050644888,0.10532976389318158
gpt-4o-mini,GRPO_LA0,MICI,0,96,0.21132584867781182,0.22425415399204235,0.022887843749167795
gpt-4o-mini,GRPO_LA0,MICI,1,96,0.22755203635839275,0.2183947005647069,0.022289815787977212
gpt-4o-mini,GRPO_LA0,MICI,2,96,0.16924769264229697,0.14517054913010652,0.014816407127016557
gpt-4o-mini,GRPO_LA0,MICI,3,96,0.2303893595629529,0.14184081323971948,0.014476567380779888
gpt-4o-mini,GRPO_LA0,MICI,4,96,0.25070171270006797,0.13719784829689202,0.014002696755631648
gpt-4o-mini,GRPO_LA0,MICI,5,96,0.2772960220962139,0.14680822026335485,0.01498355123713922
gpt-4o-mini,GRPO_LA0,MICI,6,96,0.2547238972743541,0.1549045205783927,0.01580987642781328
gpt-4o-mini,GRPO_LA0,MICI,7,96,0.26992594614179993,0.18176384573980983,0.01855119482285367
gpt-4o-mini,GRPO_LA0,MICI,8,96,0.5352578404557452,0.25237203224325516,0.025757612681049962
gpt-4o-mini,GRPO_LA0,MICI,9,96,0.35011232333842623,0.22771586728395665,0.023241153382542807
gpt-4o-mini,GRPO_LA0,MICI,10,96,0.837674410898316,0.28922361145298087,0.029518761234366
gpt-4o-mini,GRPO_LA0,MITI,0,96,3.2239583333333335,0.9963612525655718,0.101690694511082
gpt-4o-mini,GRPO_LA0,MITI,1,96,3.2838541666666665,1.0108749412908724,0.10317199166368915
gpt-4o-mini,GRPO_LA0,MITI,2,96,3.4947916666666665,0.9820622546100753,0.10023130914341256
gpt-4o-mini,GRPO_LA0,MITI,3,96,3.9375,0.570087712549569,0.05818433351570393
gpt-4o-mini,GRPO_LA0,MITI,4,96,4.0390625,0.4911427665203501,0.05012704870140629
gpt-4o-mini,GRPO_LA0,MITI,5,96,3.9401041666666665,0.5868569175418031,0.05989583333333334
gpt-4o-mini,GRPO_LA0,MITI,6,96,4.010416666666667,0.5391473124864887,0.055026492157698795
gpt-4o-mini,GRPO_LA0,MITI,7,96,4.1015625,0.5276289129083452,0.05385090042353461
gpt-4o-mini,GRPO_LA0,MITI,8,96,4.234375,0.6647244185612403,0.06784315187680293
gpt-4o-mini,GRPO_LA0,MITI,9,96,3.9375,0.5513142193169451,0.05626827188614053
gpt-4o-mini,GRPO_LA0,MITI,10,96,3.921875,0.9221774147150462,0.09411933826545062
gpt-4o-mini,GRPO_LA0,PCT,0,96,0.48716028577614084,0.3196002446799509,0.03261906338060557
gpt-4o-mini,GRPO_LA0,PCT,1,96,0.4806012272855682,0.3041493486322369,0.03104211290620205
gpt-4o-mini,GRPO_LA0,PCT,2,96,0.5032057789563216,0.27672028815819166,0.02824264614431233
gpt-4o-mini,GRPO_LA0,PCT,3,96,0.5436435314277849,0.27380674141393535,0.02794528352493003
gpt-4o-mini,GRPO_LA0,PCT,4,96,0.5517699485506181,0.2870966856453327,0.02930168277813704
gpt-4o-mini,GRPO_LA0,PCT,5,96,0.5222830607215282,0.29104657802596157,0.029704816981114036
gpt-4o-mini,GRPO_LA0,PCT,6,96,0.5295836855603689,0.31790276073045237,0.03244581465048742
gpt-4o-mini,GRPO_LA0,PCT,7,96,0.55050476987407,0.2805690838611657,0.028635462210833282
gpt-4o-mini,GRPO_LA0,PCT,8,96,0.5716736698607786,0.28500932556417213,0.029088642481957964
gpt-4o-mini,GRPO_LA0,PCT,9,96,0.4499486458924346,0.3458238421811681,0.03529549809302666
gpt-4o-mini,GRPO_LA0,PCT,10,96,0.5741575508434061,0.27127049055423663,0.027686428505515153
gpt-4o-mini,GRPO_LA0,Q1,0,96,3.0208333333333335,1.2963037872242487,0.1323034512640327
gpt-4o-mini,GRPO_LA0,Q1,1,96,3.1770833333333335,1.2711767583138047,0.1297389346147515
gpt-4o-mini,GRPO_LA0,Q1,2,96,3.3020833333333335,1.278154851558059,0.13045113327416755
gpt-4o-mini,GRPO_LA0,Q1,3,96,3.935416666666667,0.9744071521933807,0.09945001352467722
gpt-4o-mini,GRPO_LA0,Q1,4,96,3.8979166666666667,0.9434515764961032,0.09629062330999266
gpt-4o-mini,GRPO_LA0,Q1,5,96,3.8687500000000004,1.0114411292283585,0.10322977797807914
gpt-4o-mini,GRPO_LA0,Q1,6,96,3.810416666666667,0.9214952570534098,0.09404971584065315
gpt-4o-mini,GRPO_LA0,Q1,7,96,3.9458333333333333,0.9319946540016844,0.0951213060544118
gpt-4o-mini,GRPO_LA0,Q1,8,96,3.935416666666667,0.9769963816844777,0.09971427565301696
gpt-4o-mini,GRPO_LA0,Q1,9,96,3.529166666666667,0.9823619942359835,0.10026190119087788
gpt-4o-mini,GRPO_LA0,Q1,10,96,3.6062499999999997,1.1415421240815564,0.1165081551621956
gpt-4o-mini,GRPO_LA0,Q1Q2,0,96,3.0667892156862746,1.2118551708594192,0.12368445044828764
gpt-4o-mini,GRPO_LA0,Q1Q2,1,96,3.2689950980392157,1.146551599901977,0.11701943264714731
