iteration,PTO · gpt-4o-mini,PTO · claude-haiku-4-5,GRPO · gpt-4o-mini,GRPO · claude-haiku-4-5
0,+0.036 (+0.12),-0.006 (-0.01),+0.002 (+0.01),+0.057 (+0.15)
1,-0.013 (-0.04),-0.037 (-0.09),-0.000 (-0.00),+0.012 (+0.03)
2,-0.010 (-0.04),-0.062 (-0.16),-0.058 (-0.22),-0.061 (-0.16)
3,+0.004 (+0.01),-0.080 (-0.17),-0.077 (-0.32)**,-0.111 (-0.35)**
4,-0.111 (-0.40)**,-0.177 (-0.47)***,-0.054 (-0.25),-0.054 (-0.17)
5,-0.036 (-0.14),-0.118 (-0.28),-0.063 (-0.24),-0.018 (-0.05)
6,-0.002 (-0.01),-0.052 (-0.13),—,—
7,+0.078 (+0.29)*,+0.037 (+0.10),—,—
8,+0.059 (+0.23),+0.071 (+0.22),—,—
9,+0.202 (+0.83)***,+0.136 (+0.34)**,—,—
10,+0.228 (+0.71)***,+0.245 (+0.66)***,—,—
