coop,arm,method,K,n_convs_mean,agreement,ci_lo,ci_hi,n_pairs,agr_12-20,lo_12-20,hi_12-20,pairs_12-20,agr_22-34,lo_22-34,hi_22-34,pairs_22-34,agr_36-50,lo_36-50,hi_36-50,pairs_36-50,agr_iter1,lo_iter1,hi_iter1,pairs_iter1
Cooperative,PTO_LA0,PTO,0,7.245283018867925,0.6896943852167733,0.6389174150815542,0.7344129461601956,7035,0.6976817536666141,0.648215514188939,0.7422900425587462,6341,0.6331658291457286,0.45046622943778036,0.789919121032795,597,0.5154639175257731,0.1571031746031746,0.8594184027777777,97,0.7409061901723037,0.6145886204819689,0.8435327753315418,1567
Cooperative,PTO_LA5,PTO,5,10.20125786163522,0.7197080291970803,0.6729813566416168,0.7694176874021824,7535,0.724222837796245,0.6768921505577286,0.772871002362875,6498,0.6914893617021277,0.5670987545735998,0.81623310070585,846,0.6910994764397905,0.3579238104731526,0.9125221456692914,191,0.7798657718120805,0.6662398062840929,0.8681371467937022,1490
Cooperative,GRPO_LA0,GRPO,0,11.725888324873097,0.7895582329317269,0.7533304236063855,0.8214618982009724,16185,0.7687328190121486,0.7354336975215673,0.8033936286162151,11277,0.8161533626649906,0.7574592086173659,0.8657059237502753,3182,0.8765932792584009,0.8079066736333206,0.9331234973091245,1726,0.7448518332496233,0.5765894409937887,0.8525510902618646,1991
Cooperative,GRPO_LA5,GRPO,5,10.61,0.7450954575378539,0.6905485837498775,0.7922058933160232,7595,0.7323420074349443,0.6813185891445913,0.7787760336722162,6187,0.7780925401322002,0.6584226770630279,0.8679021097736181,1059,0.8710601719197708,0.68,0.966688790560472,349,0.7056424201223658,0.5905908018841637,0.8123763034133412,1471
Warms up,PTO_LA0,PTO,0,9.905263157894737,0.7213061330900085,0.6817219048981628,0.7577030066990736,15343,0.7316087308003234,0.6934715141212281,0.7666884984613418,12370,0.6764382557713449,0.6000829511531197,0.7508505589833975,2729,0.7008196721311475,0.44950746420229515,0.8867432946189839,244,0.6846019247594051,0.5406773033937576,0.8021446218565893,2286
Warms up,PTO_LA5,PTO,5,14.044444444444444,0.7151350124801452,0.674331677132214,0.7551533944767922,22035,0.7315281668222845,0.6918626059638893,0.7658133897023586,16065,0.6695515342250197,0.6054664947410512,0.7327066834296243,5084,0.6794582392776524,0.5153477016869601,0.8257505141273247,886,0.5878048780487805,0.44408361450294614,0.7400936437870693,3280
Warms up,GRPO_LA0,GRPO,0,16.954545454545453,0.7760166840458811,0.7452665637033259,0.8036608035998847,33565,0.7488345883919881,0.7171223348490755,0.7787349323529478,19521,0.8132420579741149,0.7728821076880752,0.8493737074977157,9349,0.8149094781682641,0.7496712547892102,0.8678255989401243,4695,0.8244298656669791,0.7432614705810829,0.8891947412749381,3201
Warms up,GRPO_LA5,GRPO,5,16.67,0.8166616541353383,0.7784505264077838,0.8504084133490731,16625,0.7658959537572254,0.7221485775746568,0.8096999793370547,9688,0.8737733307677507,0.8341222211717406,0.9074443580025525,5197,0.9287356321839081,0.8676284779390662,0.969092402698065,1740,0.8387482083134257,0.7540989430367206,0.9025285961411578,4186
Resistant,PTO_LA0,PTO,0,16.873684210526317,0.6881142748791201,0.6494379667269251,0.7249231020036322,31643,0.7044320853162089,0.6691894086833864,0.7381623981123412,17441,0.6717726308018824,0.6191713971416511,0.7189314142754493,10837,0.6561664190193165,0.5640187422257071,0.7367272461225475,3365,0.6677683075317447,0.5231129913008428,0.7871743690518008,5749
Resistant,PTO_LA5,PTO,5,18.67032967032967,0.6811253016302748,0.6417867028008357,0.7175278897130001,33982,0.6890359168241966,0.6548892528222795,0.7239843419722106,17986,0.6764165268121154,0.6307623947614593,0.7203246304650042,12513,0.657192075796727,0.5765511654878538,0.7328510907208549,3483,0.6292601828761429,0.47164655694751495,0.7621819015927186,3609
Resistant,GRPO_LA0,GRPO,0,19.165,0.790546708591135,0.7638856820481296,0.815312117825027,39436,0.7624090006618134,0.7360085057021626,0.7885606422167424,19643,0.8041905898143316,0.7716942853068705,0.8346418307673077,13411,0.8484801002820432,0.8064699210160957,0.8848922239125155,6382,0.853397341211226,0.78158009086589,0.9132067728270457,2708
Resistant,GRPO_LA5,GRPO,5,16.96,0.7598445746099867,0.7217424965772038,0.7949380275782835,17243,0.7265752864157119,0.6863049510662281,0.7669324829273529,9776,0.7869409964291787,0.7339516605458211,0.8307433826438454,5881,0.8644388398486759,0.7995870863843327,0.9198451031891053,1586,0.7377398720682303,0.627247025045209,0.8078919829500498,2345
