judge,method,cut,n_turns,agr_K0,K0_lo,K0_hi,pairs_K0,agr_K5,K5_lo,K5_hi,pairs_K5,delta_K0_minus_K5,d_lo,d_hi
gpt-4o-mini,PTO,train_iter_1,12,0.838074398249453,0.7929227202517982,0.8757629149429926,3656,0.8313183649971215,0.7872951921937458,0.8757990736930488,3474,0.006756033252331428,-0.05299997685753131,0.06855357499094059
gpt-4o-mini,PTO,train_iter_1,14,0.8330901663262329,0.7891417128487596,0.8692106395690301,3427,0.8287565566183277,0.7794999220448037,0.8714198173663087,3241,0.004333609707905195,-0.056044736311816286,0.06685986689404776
gpt-4o-mini,PTO,train_iter_1,16,0.8342470170912609,0.7819302101213762,0.876081049749984,3101,0.812478093235191,0.7549286727316507,0.8632427661929665,2853,0.021768923856069877,-0.051614305693646084,0.09018458706011266
gpt-4o-mini,PTO,train_iter_1,18,0.8353658536585366,0.7822309650585999,0.8808212845762172,2952,0.797040971168437,0.7376228234892455,0.8496169338661607,2636,0.03832488249009958,-0.03412761785270459,0.11191039500955788
gpt-4o-mini,PTO,train_iter_1,20,0.813069306930693,0.7537930768617629,0.8609898375717198,2525,0.8012544100352803,0.7408718375950658,0.8593230580096517,2551,0.011814896895412708,-0.06801149901737541,0.08892688335359286
gpt-4o-mini,PTO,train_iter_1,22,0.7908666320705761,0.719298980679318,0.8500634364589714,1927,0.804287045666356,0.7430080664627514,0.8646715281362932,2146,-0.013420413595779945,-0.10274838914483968,0.06861272019206861
gpt-4o-mini,PTO,train_iter_1,24,0.7732634338138925,0.6997925842650795,0.8384251776049663,1526,0.7904411764705882,0.7259928614620408,0.8500530535182461,1904,-0.017177742656695694,-0.10769867226258162,0.07517138750953907
gpt-4o-mini,PTO,train_iter_1,26,0.7817083692838654,0.6851037549407115,0.86330448581182,1159,0.7903536977491962,0.7215419094832288,0.8494565551976601,1555,-0.008645328465330726,-0.1193069070334571,0.10394450447660288
gpt-4o-mini,PTO,train_iter_1,28,0.783427495291902,0.6931704545454546,0.8653924294268606,1062,0.793026706231454,0.7214826307812051,0.8536965525417584,1348,-0.009599210939551961,-0.11847418229784808,0.09884327785427106
gpt-4o-mini,PTO,train_iter_1,30,0.7816901408450704,0.6864710119228251,0.868037614516122,852,0.7745614035087719,0.6947638647721952,0.8449779584510202,1140,0.007128737336298485,-0.11409583351608617,0.12321512663752361
gpt-4o-mini,PTO,train_iter_1,32,0.7641975308641975,0.6649348401984752,0.851933393429098,810,0.8118195956454122,0.7245779434980325,0.8834413501257993,643,-0.04762206478121467,-0.17668819331266195,0.07457508861769727
gpt-4o-mini,PTO,train_iter_1,34,0.7691197691197691,0.6606799450549451,0.8584020761444124,693,0.7616926503340757,0.6520643580378196,0.8543007260966138,449,0.007427118785693354,-0.14061514969519148,0.14171861642604797
gpt-4o-mini,PTO,train_iter_1,36,0.7747336377473364,0.6625105081753604,0.8663797467028787,657,0.7508650519031141,0.5985681668133802,0.8708446484945178,289,0.023868585844222245,-0.14201582437572352,0.19689016138538987
gpt-4o-mini,PTO,train_iter_1,38,0.7992766726943942,0.6897473104215035,0.8902185634202618,553,0.7990867579908676,0.647656405163853,0.9155063971615955,219,0.00018991470352658357,-0.1586750940054834,0.17592629637212268
gpt-4o-mini,PTO,train_iter_1,40,0.7725409836065574,0.650588339780532,0.8782321162444113,488,0.7828282828282829,0.6310570279016882,0.9037524002560272,198,-0.010287299221725443,-0.17819041529150767,0.17295461447508634
gpt-4o-mini,PTO,train_iter_1,42,0.735981308411215,0.5927201819954501,0.8549973102296214,428,0.7752808988764045,0.5811904761904763,0.9150008169934641,178,-0.03929959046518949,-0.23674696944112264,0.18372139179611766
gpt-4o-mini,PTO,train_iter_1,44,0.7488262910798122,0.6127186875542532,0.8698402312842362,426,0.7547169811320755,0.5438224799286352,0.9047806524184476,159,-0.005890690052263281,-0.20495763066785797,0.22931585776420343
gpt-4o-mini,PTO,train_iter_1,46,0.784375,0.6368512851897185,0.9028000764525994,320,0.7862068965517242,0.5866496815286624,0.921376622245449,145,-0.0018318965517241104,-0.19456565349544075,0.21248266563944523
gpt-4o-mini,PTO,train_iter_1,48,0.7804878048780488,0.6211120401337792,0.9059895833333333,246,0.78125,0.5999647887323943,0.9239284249384742,128,-0.0007621951219511924,-0.21551778152277237,0.21941796097679783
gpt-4o-mini,PTO,train_iter_1,12-20,0.8316838005235936,0.784596218318991,0.8697152640761284,15661,0.8157912572009488,0.7654125387199953,0.8607453566821328,14755,0.01589254332264478,-0.04625090238626658,0.07710724323572159
gpt-4o-mini,PTO,train_iter_1,22-34,0.7796736828994894,0.7004217170850017,0.8464002655144355,8029,0.7921611322808928,0.728040290959945,0.8479538138357746,9185,-0.012487449381403448,-0.10753362456770349,0.08378677862898581
gpt-4o-mini,PTO,train_iter_1,36-50,0.7713277742142399,0.6541050100992359,0.8688269626257424,3118,0.7743161094224924,0.6107203972498091,0.8914589783281733,1316,-0.0029883352082524794,-0.17273649644346625,0.176483968619637
gpt-4o-mini,PTO,train_iter_1,all,0.8090868397493286,0.7561452549976007,0.8550585604847456,26808,0.8050364269876465,0.7525538899475183,0.8538984078211428,25256,0.004050412761682054,-0.06692139359777957,0.0736359898386937
gpt-4o-mini,PTO,iters_1-5,12,0.8446409238542043,0.8256798415808624,0.8633935711499355,16626,0.8724477958236659,0.8561437992531387,0.8879939809987154,17240,-0.027806871969461633,-0.052830525669705655,-0.0038758963582054664
gpt-4o-mini,PTO,iters_1-5,14,0.8432816369086407,0.8217595080378263,0.8614454916814717,15346,0.8703435234793571,0.8526743467457084,0.885844583040297,15865,-0.027061886570716398,-0.05353058979039804,8.095171611351669e-05
gpt-4o-mini,PTO,iters_1-5,16,0.8401197604790419,0.8182190438640967,0.8602632239617839,13360,0.8550580901105129,0.8351437354386054,0.8742506278392981,14116,-0.014938329631471015,-0.044004713797360435,0.014192905020332255
gpt-4o-mini,PTO,iters_1-5,18,0.8294015848437927,0.8059392382045197,0.8512461228302334,10979,0.837800568818409,0.8134123624678248,0.8588034423137678,11603,-0.008398983974616359,-0.03893907902883465,0.023740892606953303
gpt-4o-mini,PTO,iters_1-5,20,0.8171210720887245,0.7896612201125138,0.842262139477242,8656,0.8315964985410588,0.8031493580130686,0.8571270483777831,9596,-0.014475426452334239,-0.05044196029840582,0.022725359280918272
gpt-4o-mini,PTO,iters_1-5,22,0.7964574744235762,0.763290866058241,0.8289606799095262,6549,0.8275625171750481,0.7984275304215778,0.8547057971569121,7278,-0.031105042751471967,-0.0717834500959515,0.010419763079673882
gpt-4o-mini,PTO,iters_1-5,24,0.7767369242779079,0.7411143868000282,0.8139780551034602,5124,0.8131268696111209,0.7805580456718992,0.8416503420360292,5683,-0.03638994533321305,-0.08309940782309788,0.012824269608268237
gpt-4o-mini,PTO,iters_1-5,26,0.7737730061349694,0.7302757348624035,0.8168746826788884,3912,0.79738245273873,0.7591233187708178,0.8320911182785514,4126,-0.02360944660376063,-0.07982559565628773,0.03276463673749062
gpt-4o-mini,PTO,iters_1-5,28,0.7759229534510433,0.7313691037361101,0.8201798696778684,3115,0.7989627821842586,0.759874201978294,0.8350701346938552,3278,-0.023039828733215306,-0.07892812617607602,0.0350634364092764
gpt-4o-mini,PTO,iters_1-5,30,0.7519904458598726,0.7002676074281245,0.7994018038405937,2512,0.7845242502776749,0.7353928855379656,0.8267431958446322,2701,-0.03253380441780229,-0.10300442668857152,0.033237861201428284
gpt-4o-mini,PTO,iters_1-5,32,0.7564338235294118,0.7049956708150343,0.8063774134919071,2176,0.7949579831932773,0.742629825696194,0.8402390186266333,1785,-0.038524159663865465,-0.10882437404879285,0.03367497590951023
gpt-4o-mini,PTO,iters_1-5,34,0.7560975609756098,0.6954053663023746,0.8131245599350643,1804,0.7794336810730254,0.7192158367536153,0.8317318301184561,1342,-0.02333612009741559,-0.10909677796654038,0.05640831505053877
gpt-4o-mini,PTO,iters_1-5,36,0.7583444592790387,0.6917706121935494,0.8163567118120535,1498,0.7695939565627951,0.6957657331106502,0.8312811707955196,1059,-0.011249497283756349,-0.10354144791046699,0.07810448583343403
gpt-4o-mini,PTO,iters_1-5,38,0.7625418060200669,0.6950032778729627,0.8249367134337271,1196,0.7902097902097902,0.7165631845821021,0.855382775784363,858,-0.02766798418972327,-0.127275776851301,0.07343073446122533
gpt-4o-mini,PTO,iters_1-5,40,0.7526096033402923,0.6740952936839518,0.8230785189065091,958,0.7767584097859327,0.6942153923038481,0.8480395890999872,654,-0.024148806445640436,-0.13234355301682357,0.08867085561434208
gpt-4o-mini,PTO,iters_1-5,42,0.7290930506478209,0.6378106431596289,0.8095900418550653,849,0.802158273381295,0.7179347826086957,0.8765202550351402,556,-0.07306522273347404,-0.19474675864559504,0.04640926180716596
gpt-4o-mini,PTO,iters_1-5,44,0.7291139240506329,0.6397619739957628,0.8119736324281779,790,0.79957805907173,0.7056967749384236,0.876316095970184,474,-0.07046413502109705,-0.1918097611513265,0.05525704372947539
gpt-4o-mini,PTO,iters_1-5,46,0.7435008665511266,0.6399879839786382,0.8329183863666622,577,0.8225419664268585,0.7310102885771274,0.8941412490922295,417,-0.07904109987573193,-0.20586025622819284,0.05006918774298181
gpt-4o-mini,PTO,iters_1-5,48,0.7439293598233996,0.6332608695652173,0.8383919843597263,453,0.8252688172043011,0.7268472222222222,0.9019801537636332,372,-0.08133945738090154,-0.21386035880411614,0.050354430524819194
gpt-4o-mini,PTO,iters_1-5,12-20,0.8371480905690581,0.8178120795840769,0.8555204936251077,64967,0.8567670271850336,0.8386797682145977,0.8728606256009227,68420,-0.01961893661597547,-0.045005721182357995,0.006674168402201909
gpt-4o-mini,PTO,iters_1-5,22-34,0.7756033661479835,0.7386737212658471,0.8128255609352452,25192,0.8069713282174626,0.7736710737608913,0.8369565544616877,26193,-0.031367962069479116,-0.0803400894802751,0.018282856721626363
gpt-4o-mini,PTO,iters_1-5,36-50,0.7482993197278912,0.6764051001440518,0.8140012065661786,6321,0.7917995444191344,0.7173174235773007,0.8528452685421994,4390,-0.04350022469124315,-0.14186669581013167,0.058453319255354505
gpt-4o-mini,PTO,iters_1-5,all,0.815257048092869,0.7923141122221858,0.8384700302430056,96480,0.840711897619264,0.8190402620241777,0.8596466780748544,99003,-0.025454849526394985,-0.05655337965825365,0.00536804143525065
gpt-4o-mini,PTO,matched_iters,12,0.8647480719022897,0.8511441621216904,0.876570703272442,33323,0.892465830791822,0.881928180027999,0.901924773615785,35412,-0.027717758889532207,-0.04341254121080246,-0.010388806034075217
gpt-4o-mini,PTO,matched_iters,14,0.8633808906182447,0.8488515533442982,0.8754316598853547,27756,0.8878919531545145,0.8768169523208001,0.898226875542216,31764,-0.02451106253626978,-0.042057722501539024,-0.006288957013192296
gpt-4o-mini,PTO,matched_iters,16,0.857659160411454,0.842442186573283,0.8726244534223646,21582,0.8790640034990523,0.8663615930307417,0.8908066678349064,27436,-0.02140484308759838,-0.041020795498605746,-0.0009673880980304073
gpt-4o-mini,PTO,matched_iters,18,0.8412864991666152,0.8239437505399522,0.8595023259247372,16199,0.8639978554195336,0.8493870096998193,0.8782402557927815,22382,-0.022711356252918313,-0.0446963045384834,0.0015103351011733737
gpt-4o-mini,PTO,matched_iters,20,0.8246774727092292,0.803904333201861,0.8458596772223387,12092,0.8517527885272024,0.8334827106039463,0.8690319338836591,17572,-0.027075315817973178,-0.05661534280499533,-0.0004261122577762323
gpt-4o-mini,PTO,matched_iters,22,0.8083878841673139,0.7817041447002182,0.8350691093736982,9013,0.851197799811826,0.8330339254828486,0.8691094011411661,13817,-0.042809915644512087,-0.07598814598565158,-0.011817154481228538
gpt-4o-mini,PTO,matched_iters,24,0.788765359859567,0.7591768729915185,0.8179843916869622,6836,0.8357572231917781,0.8129998906175575,0.8561749725804015,10314,-0.04699186333221117,-0.08219289096602979,-0.010882477101054304
gpt-4o-mini,PTO,matched_iters,26,0.7868039664378337,0.7512422044736322,0.8197179263367632,5244,0.827908815390697,0.8018545561296253,0.8527702194527098,7589,-0.04110484895286337,-0.08363850372845591,0.0008345144313385361
