grader,iteration,metric,n,k0,k5,delta,dz,p,p_holm
GPT-3.5 (original),1,Q1Q2,96,3.6570465686274507,3.7102941176470594,-0.05324754901960785,-0.05098357622922191,0.669206020233952,1.0
gpt-4o-mini (re-graded),1,Q1Q2,96,3.9243872549019607,3.962745098039216,-0.03835784313725485,-0.047656307796861926,0.9404388201934227,1.0
GPT-3.5 (original),1,Q1,96,3.8625000000000003,3.8979166666666667,-0.03541666666666666,-0.025979084290741142,0.6383872666359138,1.0
gpt-4o-mini (re-graded),1,Q1,96,3.975,4.075,-0.09999999999999998,-0.11064478316322512,0.35478258011323605,1.0
GPT-3.5 (original),1,Q2,96,3.451593137254902,3.5226715686274503,-0.07107843137254903,-0.08404304398989859,0.8278091524396863,1.0
gpt-4o-mini (re-graded),1,Q2,96,3.8737745098039214,3.850490196078432,0.02328431372549018,0.030316862129431653,0.7566387242873587,1.0
GPT-3.5 (original),2,Q1Q2,96,3.5925245098039214,3.793504901960784,-0.2009803921568627,-0.20699299715953057,0.07540223873842582,0.22620671621527744
gpt-4o-mini (re-graded),2,Q1Q2,96,3.8892769607843136,4.027696078431373,-0.13841911764705886,-0.18046215185973635,0.2884223963892921,0.603490529372852
GPT-3.5 (original),2,Q1,96,3.75,3.96875,-0.21875,-0.1802953191854563,0.0965484496358961,0.22620671621527744
gpt-4o-mini (re-graded),2,Q1,96,3.977083333333333,4.10625,-0.12916666666666674,-0.1587675503101885,0.20116350979095066,0.603490529372852
GPT-3.5 (original),2,Q2,96,3.435049019607843,3.618259803921569,-0.18321078431372542,-0.21379510498853424,0.11834727257984744,0.22620671621527744
gpt-4o-mini (re-graded),2,Q2,96,3.801470588235295,3.949142156862745,-0.1476715686274509,-0.1862245911772682,0.2319400679324919,0.603490529372852
GPT-3.5 (original),3,Q1Q2,96,3.681617647058823,3.8662990196078435,-0.18468137254901962,-0.22454127464815182,0.011444084954010598,0.03433225486203179
gpt-4o-mini (re-graded),3,Q1Q2,96,3.8699142156862743,4.075183823529412,-0.20526960784313722,-0.2894949090014351,0.008041608245788166,0.017397599385575554
GPT-3.5 (original),3,Q1,96,3.795833333333333,4.05,-0.25416666666666665,-0.24030235577104853,0.01644736272186675,0.03433225486203179
gpt-4o-mini (re-graded),3,Q1,96,3.929166666666666,4.127083333333333,-0.19791666666666666,-0.2433478548346576,0.03390692032728014,0.03390692032728014
GPT-3.5 (original),3,Q2,96,3.567401960784314,3.682598039215686,-0.11519607843137249,-0.15073102483315035,0.1225988166211615,0.1225988166211615
gpt-4o-mini (re-graded),3,Q2,96,3.8106617647058822,4.02328431372549,-0.21262254901960786,-0.30436034747834634,0.005799199795191851,0.017397599385575554
GPT-3.5 (original),4,Q1Q2,96,3.776654411764706,3.7933210784313727,-0.016666666666666757,-0.01876493901994792,0.3234642483393969,0.9703927450181907
gpt-4o-mini (re-graded),4,Q1Q2,96,4.041911764705882,4.11593137254902,-0.07401960784313726,-0.11143107242153512,0.6824260939412234,1.0
GPT-3.5 (original),4,Q1,96,3.96875,3.9812499999999997,-0.01250000000000003,-0.010466323531609851,0.4397294870357549,0.9703927450181907
gpt-4o-mini (re-graded),4,Q1,96,4.108333333333333,4.168749999999999,-0.060416666666666625,-0.08280830125262241,0.9327376448881926,1.0
GPT-3.5 (original),4,Q2,96,3.5845588235294117,3.605392156862745,-0.02083333333333336,-0.029220635344494848,0.6437738249402938,0.9703927450181907
gpt-4o-mini (re-graded),4,Q2,96,3.975490196078431,4.063112745098039,-0.08762254901960786,-0.13274705564521097,0.37127090015568154,1.0
GPT-3.5 (original),5,Q1Q2,96,3.6108455882352946,3.942463235294118,-0.33161764705882363,-0.3243069310685835,0.0012760966296440342,0.0025521932592880684
gpt-4o-mini (re-graded),5,Q1Q2,96,4.0423406862745095,4.132414215686275,-0.09007352941176472,-0.12504830282515958,0.5382276402392474,1.0
GPT-3.5 (original),5,Q1,96,3.74375,4.2250000000000005,-0.48124999999999996,-0.34352292006153157,0.0005266782880907789,0.0015800348642723368
gpt-4o-mini (re-graded),5,Q1,96,4.089583333333334,4.214583333333334,-0.12500000000000003,-0.16638279318475127,0.13682123747587335,0.41046371242762003
GPT-3.5 (original),5,Q2,96,3.4779411764705883,3.659926470588235,-0.1819852941176471,-0.22966859439347373,0.05098918234465223,0.05098918234465223
gpt-4o-mini (re-graded),5,Q2,96,3.995098039215686,4.050245098039216,-0.055147058823529375,-0.07372975193382016,0.802766307686538,1.0
GPT-3.5 (original),6,Q1Q2,96,3.644117647058824,3.884375,-0.24025735294117637,-0.23791237443650584,0.1243752755040339,0.27253622332811295
gpt-4o-mini (re-graded),6,Q1Q2,96,4.013909313725491,4.107904411764706,-0.09399509803921562,-0.132419929387126,0.7657676758829368,1.0
GPT-3.5 (original),6,Q1,96,3.7937499999999993,4.1125,-0.3187499999999999,-0.23081995321034274,0.09084540777603765,0.27253622332811295
gpt-4o-mini (re-graded),6,Q1,96,4.085416666666666,4.1937500000000005,-0.10833333333333328,-0.14688947208209993,0.7853233108366288,1.0
GPT-3.5 (original),6,Q2,96,3.494485294117647,3.65625,-0.16176470588235295,-0.20898328200613248,0.09257666147139336,0.27253622332811295
gpt-4o-mini (re-graded),6,Q2,96,3.942401960784314,4.022058823529412,-0.07965686274509806,-0.10603585194073134,0.7372007619469605,1.0
GPT-3.5 (original),7,Q1Q2,96,3.5646446078431375,3.98235294117647,-0.41770833333333335,-0.4742302700560515,0.0001507261374987609,0.0003477816513000934
gpt-4o-mini (re-graded),7,Q1Q2,96,3.887316176470588,4.171384803921569,-0.2840686274509805,-0.3710539883518483,0.00043376748286335753,0.0008675349657267151
GPT-3.5 (original),7,Q1,96,3.6770833333333335,4.189583333333332,-0.5125000000000001,-0.43612761106773346,0.0006001335881345281,0.0006001335881345281
gpt-4o-mini (re-graded),7,Q1,96,3.922916666666666,4.252083333333332,-0.3291666666666668,-0.4023044022625237,0.0001242786261494589,0.0003728358784483767
GPT-3.5 (original),7,Q2,96,3.4522058823529416,3.7751225490196085,-0.32291666666666674,-0.44756368333007024,0.00011592721710003114,0.0003477816513000934
gpt-4o-mini (re-graded),7,Q2,96,3.8517156862745097,4.090686274509804,-0.23897058823529407,-0.3078132720205719,0.009160526848800867,0.009160526848800867
