oracle,iteration,metric,n,k0,k5,delta,dz,p,p_holm
Q1Q2,1,Q1Q2,96,2.4991421568627445,2.5147671568627454,-0.015625000000000017,-0.01586286401096721,0.6898715760166207,1.0
Q1Q2,1,Q1,96,2.50625,2.5166666666666666,-0.010416666666666704,-0.010188142006960938,0.7643471069621276,1.0
Q1Q2,1,Q2,96,2.49203431372549,2.5128676470588234,-0.020833333333333325,-0.02072605204836236,0.6797655218184744,1.0
Q1Q2,2,Q1Q2,96,2.696997549019608,2.5843137254901962,0.11268382352941181,0.11104650365197478,0.733091862283991,1.0
Q1Q2,2,Q1,96,2.6770833333333335,2.558333333333333,0.11875000000000001,0.1167004050328786,0.6235663996346681,1.0
Q1Q2,2,Q2,96,2.7169117647058822,2.6102941176470584,0.1066176470588235,0.0987707736244867,0.5370965824665076,1.0
Q1Q2,3,Q1Q2,96,2.544117647058823,2.7450980392156867,-0.20098039215686278,-0.19231833520597735,0.03764835929473235,0.09080928157107052
Q1Q2,3,Q1,96,2.5520833333333335,2.7083333333333335,-0.15625000000000003,-0.14202923856159372,0.10279519309226866,0.10279519309226866
Q1Q2,3,Q2,96,2.5361519607843133,2.7818627450980387,-0.24571078431372548,-0.23638513480421444,0.03026976052369017,0.09080928157107052
Q1Q2,4,Q1Q2,96,2.7023897058823523,2.766727941176471,-0.06433823529411763,-0.06341098044365953,0.6836708600086073,1.0
Q1Q2,4,Q1,96,2.6749999999999994,2.7791666666666663,-0.10416666666666662,-0.1001766691848669,0.41844138041266643,1.0
Q1Q2,4,Q2,96,2.729779411764705,2.754289215686274,-0.024509803921568662,-0.023448966957436642,0.880825733656579,1.0
Q1Q2,5,Q1Q2,96,2.7704656862745103,2.9001225490196076,-0.12965686274509808,-0.1371665664130896,0.29482657688030567,0.8234495117595019
Q1Q2,5,Q1,96,2.733333333333333,2.84375,-0.11041666666666668,-0.11143623141424235,0.3020459402349368,0.8234495117595019
Q1Q2,5,Q2,96,2.8075980392156867,2.9564950980392157,-0.1488970588235294,-0.15674713019918335,0.2744831705865006,0.8234495117595019
WAI,1,Q1Q2,96,2.507107843137255,2.475980392156863,0.031127450980392154,0.031420116231981064,0.46236489760244004,1.0
WAI,1,Q1,96,2.50625,2.466666666666667,0.03958333333333331,0.03888366788086369,0.584447969540232,1.0
WAI,1,Q2,96,2.5079656862745097,2.4852941176470584,0.02267156862745098,0.02227442907008785,0.5226554247475486,1.0
WAI,2,Q1Q2,96,2.614399509803922,2.540563725490196,0.07383578431372549,0.07009048782126401,0.47851367510194964,1.0
WAI,2,Q1,96,2.5958333333333328,2.5437499999999997,0.052083333333333336,0.048345093050162026,0.5650326147872751,1.0
WAI,2,Q2,96,2.6329656862745097,2.537377450980392,0.09558823529411763,0.08906423337680891,0.36632069957660207,1.0
WAI,3,Q1Q2,96,2.342647058823529,2.349387254901961,-0.006740196078431358,-0.0066396657078088344,0.6776002012381306,1.0
WAI,3,Q1,96,2.3249999999999997,2.3041666666666667,0.020833333333333297,0.020367185274575234,0.8587946095120238,1.0
WAI,3,Q2,96,2.3602941176470584,2.3946078431372544,-0.034313725490196095,-0.03223334122536727,0.5384980026183911,1.0
WAI,4,Q1Q2,96,2.5275122549019606,2.5316176470588236,-0.004105392156862724,-0.003956844572243485,0.9609014021221173,1.0
WAI,4,Q1,96,2.49375,2.50625,-0.012500000000000016,-0.012097602416379744,0.9524697597022457,1.0
WAI,4,Q2,96,2.5612745098039214,2.5569852941176467,0.004289215686274568,0.003962659677841943,0.8349605477513435,1.0
WAI,5,Q1Q2,96,2.5964460784313723,2.5894607843137254,0.006985294117647006,0.006905646641540632,0.813675258417403,1.0
WAI,5,Q1,96,2.61875,2.59375,0.024999999999999967,0.023909894078699104,0.9483267218140553,1.0
WAI,5,Q2,96,2.574142156862745,2.585171568627451,-0.011029411764705918,-0.010680770164272832,0.7490359694862023,1.0
CSQ8,1,Q1Q2,96,2.3303921568627453,2.363541666666667,-0.0331495098039216,-0.025479232851084464,0.9069375623319229,1.0
CSQ8,1,Q1,96,2.3354166666666667,2.3208333333333333,0.0145833333333333,0.010997219876233748,0.9011378149195388,1.0
CSQ8,1,Q2,96,2.3253676470588234,2.40625,-0.08088235294117643,-0.06060367631205781,0.654956280049986,1.0
CSQ8,2,Q1Q2,96,2.447487745098039,2.538296568627451,-0.09080882352941176,-0.09014174396505177,0.4142589141959446,0.8285178283918893
CSQ8,2,Q1,96,2.4562500000000003,2.5104166666666665,-0.05416666666666669,-0.05323390591550797,0.7434201874831906,0.8285178283918893
CSQ8,2,Q2,96,2.4387254901960786,2.566176470588235,-0.12745098039215685,-0.12266058649910848,0.26480314566827934,0.794409437004838
CSQ8,3,Q1Q2,96,2.498835784313725,2.5643382352941173,-0.06550245098039216,-0.061205578700996785,0.49967139716920506,1.0
CSQ8,3,Q1,96,2.475,2.5729166666666665,-0.0979166666666667,-0.08935409490240726,0.4162089671779745,1.0
CSQ8,3,Q2,96,2.5226715686274512,2.5557598039215685,-0.03308823529411765,-0.03014239693958762,0.6022794224395827,1.0
CSQ8,4,Q1Q2,96,2.5734068627450974,2.502389705882353,0.07101715686274504,0.0670044350170471,0.26866270878766507,0.8059881263629952
CSQ8,4,Q1,96,2.5395833333333333,2.4729166666666664,0.06666666666666662,0.06202992523080551,0.49844951144406024,0.8059881263629952
CSQ8,4,Q2,96,2.607230392156863,2.531862745098039,0.07536764705882355,0.06806993856741828,0.324334181622818,0.8059881263629952
CSQ8,5,Q1Q2,96,2.6287377450980394,2.5986519607843133,0.03008578431372549,0.028010440442412663,0.8093442270351843,1.0
CSQ8,5,Q1,96,2.6,2.5729166666666665,0.027083333333333303,0.02495566167716699,0.9570780114063445,1.0
CSQ8,5,Q2,96,2.6574754901960786,2.624387254901961,0.033088235294117654,0.02955419390840736,0.8945100604433089,1.0
