method,iteration,metric,n,k0,k5,delta,dz,p,p_holm
PTO,1,Q1Q2,96,3.263541666666667,3.180759803921569,0.08278186274509804,0.09312357425878957,0.34801212031071116,0.6960242406214223
PTO,1,Q1,96,3.172916666666667,3.1041666666666665,0.06874999999999996,0.07603583804082187,0.5270487471922681,0.6960242406214223
PTO,1,Q2,96,3.3541666666666665,3.2573529411764706,0.09681372549019611,0.10320899345558199,0.22372935674072036,0.6711880702221611
PTO,2,Q1Q2,96,3.4662990196078436,3.3080269607843142,0.15827205882352946,0.18299573147378673,0.06187746549109181,0.18563239647327545
PTO,2,Q1,96,3.40625,3.2624999999999997,0.14375000000000002,0.1551271406018505,0.08170182684037146,0.18563239647327545
PTO,2,Q2,96,3.526348039215686,3.3535539215686274,0.17279411764705885,0.20037201535977514,0.06638472239640236,0.18563239647327545
PTO,3,Q1Q2,96,3.814889705882353,3.674203431372549,0.1406862745098039,0.20225705845035602,0.16475111799075615,0.3295022359815123
PTO,3,Q1,96,3.702083333333334,3.6020833333333333,0.10000000000000002,0.13224581031028718,0.273362858942782,0.3295022359815123
PTO,3,Q2,96,3.9276960784313726,3.7463235294117645,0.18137254901960778,0.25904219186542515,0.03856621494020468,0.11569864482061404
PTO,4,Q1Q2,96,4.0075980392156865,3.8879901960784315,0.11960784313725492,0.2007298130619794,0.28137692050063545,0.5627538410012709
PTO,4,Q1,96,3.9000000000000004,3.835416666666667,0.06458333333333333,0.10100548957266689,0.6247220013456081,0.6247220013456081
PTO,4,Q2,96,4.115196078431373,3.9405637254901964,0.1746323529411765,0.2916579072809403,0.015614646132308393,0.046843938396925175
PTO,5,Q1Q2,96,4.014460784313726,4.016544117647059,-0.002083333333333303,-0.004299810144596832,0.9611750085424187,1.0
PTO,5,Q1,96,3.922916666666667,3.9791666666666665,-0.05625,-0.10675243849216072,0.4149437164552562,1.0
PTO,5,Q2,96,4.106004901960785,4.053921568627451,0.05208333333333337,0.09795575618444709,0.42002082630390936,1.0
PTO,6,Q1Q2,96,4.15392156862745,3.8971200980392156,0.25680147058823527,0.4166114232272185,5.599129426814168e-05,0.00011198258853628336
PTO,6,Q1,96,4.04375,3.8708333333333336,0.1729166666666666,0.2709577836977036,0.03801613138465255,0.03801613138465255
PTO,6,Q2,96,4.2640931372549025,3.923406862745098,0.3406862745098039,0.5205085295102837,5.003722134596942e-07,1.5011166403790825e-06
PTO,7,Q1Q2,96,4.129044117647059,4.085416666666667,0.04362745098039217,0.07238152908473497,0.7095127127857475,0.889358255539922
PTO,7,Q1,96,3.975,4.0249999999999995,-0.050000000000000044,-0.0674264388458745,0.444679127769961,0.889358255539922
PTO,7,Q2,96,4.283088235294118,4.145833333333333,0.1372549019607844,0.25705832506074716,0.021508202770367073,0.06452460831110121
PTO,8,Q1Q2,96,4.220649509803922,4.1438725490196076,0.07677696078431374,0.16562575709306843,0.06953132637984479,0.13906265275968957
PTO,8,Q1,96,4.1000000000000005,4.091666666666667,0.008333333333333331,0.01499173315488763,0.7342000710488102,0.7342000710488102
PTO,8,Q2,96,4.341299019607844,4.196078431372549,0.14522058823529418,0.3300275983512289,0.002054915151949509,0.006164745455848527
