oracle,iteration,k0,k5
Q1Q2,1,2.4991421568627445,2.5147671568627454
Q1Q2,2,2.696997549019608,2.5843137254901962
Q1Q2,3,2.544117647058823,2.7450980392156867
Q1Q2,4,2.7023897058823523,2.766727941176471
Q1Q2,5,2.7704656862745103,2.9001225490196076
WAI,1,2.507107843137255,2.475980392156863
WAI,2,2.614399509803922,2.540563725490196
WAI,3,2.342647058823529,2.349387254901961
WAI,4,2.5275122549019606,2.5316176470588236
WAI,5,2.5964460784313723,2.5894607843137254
CSQ8,1,2.3303921568627453,2.363541666666667
CSQ8,2,2.447487745098039,2.538296568627451
CSQ8,3,2.498835784313725,2.5643382352941173
CSQ8,4,2.5734068627450974,2.502389705882353
CSQ8,5,2.6287377450980394,2.5986519607843133
