judge,budget_gpu_h,select_metric,eval_metric,best_iter_a,best_iter_b,model_a,model_b,cum_gpu_h_a,cum_gpu_h_b,mean_a,mean_b,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm,n_unique_pairs,delta_K0_minus_K5,dz_K0_minus_K5
gpt-4o-mini,2.17,Q1Q2,Q1Q2,1,2,PTOExp3_LA5_I1,PTOExp3_LA0_I2,2.17,1.93,3.180759803921569,3.466299019607843,96,-0.28553921568627455,-0.2989998423160683,-0.48513633578431375,-0.08662530637254913,0.01139440803520902,0.04557763214083608,9,0.28553921568627455,0.2989998423160683
gpt-4o-mini,4.64,Q1Q2,Q1Q2,2,4,PTOExp3_LA5_I2,PTOExp3_LA0_I4,4.64,3.9,3.308026960784314,4.0075980392156865,96,-0.6995710784313726,-0.805295735402994,-0.8706495098039214,-0.5281311274509808,5.1180905848014924e-11,4.094472467841194e-10,9,0.6995710784313726,0.805295735402994
gpt-4o-mini,7.25,Q1Q2,Q1Q2,3,8,PTOExp3_LA5_I3,PTOExp3_LA0_I8,7.25,6.88,3.674203431372549,4.220649509803922,96,-0.5464460784313726,-0.7322910070382648,-0.7025168504901961,-0.40477481617647065,1.5835790193254404e-11,1.4252211173928962e-10,9,0.5464460784313726,0.7322910070382648
gpt-4o-mini,8.94,Q1Q2,Q1Q2,4,10,PTOExp3_LA5_I4,PTOExp3_LA0_I10,8.94,8.12,3.8879901960784315,4.2597426470588236,96,-0.37175245098039217,-0.5597869321183707,-0.5053324142156863,-0.24632352941176472,1.2497389460672419e-08,8.748172622470694e-08,9,0.37175245098039217,0.5597869321183707
gpt-4o-mini,10.0,Q1Q2,Q1Q2,5,10,PTOExp3_LA5_I5,PTOExp3_LA0_I10,10.0,8.12,4.016544117647059,4.2597426470588236,96,-0.24319852941176476,-0.4275125832086084,-0.355828737745098,-0.13547028186274515,6.707988673082517e-07,4.0247932038495105e-06,9,0.24319852941176476,0.4275125832086084
gpt-4o-mini,12.7,Q1Q2,Q1Q2,5,10,PTOExp3_LA5_I5,PTOExp3_LA0_I10,10.0,8.12,4.016544117647059,4.2597426470588236,96,-0.24319852941176476,-0.4275125832086084,-0.355828737745098,-0.13547028186274515,6.707988673082517e-07,4.0247932038495105e-06,9,0.24319852941176476,0.4275125832086084
gpt-4o-mini,14.6,Q1Q2,Q1Q2,7,10,PTOExp3_LA5_I7,PTOExp3_LA0_I10,14.6,8.12,4.085416666666666,4.2597426470588236,96,-0.17432598039215694,-0.3478462808009909,-0.27696078431372556,-0.0789047181372551,0.0024337506639961204,0.012168753319980602,9,0.17432598039215694,0.3478462808009909
gpt-4o-mini,16.17,Q1Q2,Q1Q2,8,10,PTOExp3_LA5_I8,PTOExp3_LA0_I10,16.17,8.12,4.1438725490196076,4.2597426470588236,96,-0.11587009803921573,-0.22530304521802638,-0.2268382352941177,-0.017141544117647144,0.06329194403106937,0.18987583209320813,9,0.11587009803921573,0.22530304521802638
gpt-4o-mini,18.03,Q1Q2,Q1Q2,9,10,PTOExp3_LA5_I9,PTOExp3_LA0_I10,18.03,8.12,4.19718137254902,4.2597426470588236,96,-0.06256127450980394,-0.11464632793482987,-0.17636335784313728,0.04626531862745093,0.8666526492292874,0.8666526492292874,9,0.06256127450980394,0.11464632793482987
gpt-4o-mini,19.68,Q1Q2,Q1Q2,10,10,PTOExp3_LA5_I10,PTOExp3_LA0_I10,19.68,8.12,4.306740196078431,4.2597426470588236,96,0.04699754901960781,0.09566621301885612,-0.05424479166666666,0.1423560049019606,0.08690946083826036,0.18987583209320813,9,-0.04699754901960781,-0.09566621301885612
gpt-4o-mini,2.17,MICI,MICI,1,1,PTOExp3_LA5_I1,PTOExp3_LA0_I1,2.17,0.92,0.22243718478553035,0.2092093991588477,96,0.013227785626682684,0.04277949159169396,-0.04911401665124092,0.07272224426325972,0.9737827809486687,0.9737827809486687,1,-0.013227785626682684,-0.04277949159169396
gpt-4o-mini,4.64,MICI,MICI,1,1,PTOExp3_LA5_I1,PTOExp3_LA0_I1,2.17,0.92,0.22243718478553035,0.2092093991588477,96,0.013227785626682684,0.04277949159169396,-0.04911401665124092,0.07272224426325972,0.9737827809486687,0.9737827809486687,1,-0.013227785626682684,-0.04277949159169396
gpt-4o-mini,7.25,MICI,MICI,1,1,PTOExp3_LA5_I1,PTOExp3_LA0_I1,2.17,0.92,0.22243718478553035,0.2092093991588477,96,0.013227785626682684,0.04277949159169396,-0.04911401665124092,0.07272224426325972,0.9737827809486687,0.9737827809486687,1,-0.013227785626682684,-0.04277949159169396
gpt-4o-mini,8.94,MICI,MICI,1,1,PTOExp3_LA5_I1,PTOExp3_LA0_I1,2.17,0.92,0.22243718478553035,0.2092093991588477,96,0.013227785626682684,0.04277949159169396,-0.04911401665124092,0.07272224426325972,0.9737827809486687,0.9737827809486687,1,-0.013227785626682684,-0.04277949159169396
gpt-4o-mini,10.0,MICI,MICI,1,1,PTOExp3_LA5_I1,PTOExp3_LA0_I1,2.17,0.92,0.22243718478553035,0.2092093991588477,96,0.013227785626682684,0.04277949159169396,-0.04911401665124092,0.07272224426325972,0.9737827809486687,0.9737827809486687,1,-0.013227785626682684,-0.04277949159169396
gpt-4o-mini,12.7,MICI,MICI,1,1,PTOExp3_LA5_I1,PTOExp3_LA0_I1,2.17,0.92,0.22243718478553035,0.2092093991588477,96,0.013227785626682684,0.04277949159169396,-0.04911401665124092,0.07272224426325972,0.9737827809486687,0.9737827809486687,1,-0.013227785626682684,-0.04277949159169396
gpt-4o-mini,14.6,MICI,MICI,1,1,PTOExp3_LA5_I1,PTOExp3_LA0_I1,2.17,0.92,0.22243718478553035,0.2092093991588477,96,0.013227785626682684,0.04277949159169396,-0.04911401665124092,0.07272224426325972,0.9737827809486687,0.9737827809486687,1,-0.013227785626682684,-0.04277949159169396
gpt-4o-mini,16.17,MICI,MICI,1,1,PTOExp3_LA5_I1,PTOExp3_LA0_I1,2.17,0.92,0.22243718478553035,0.2092093991588477,96,0.013227785626682684,0.04277949159169396,-0.04911401665124092,0.07272224426325972,0.9737827809486687,0.9737827809486687,1,-0.013227785626682684,-0.04277949159169396
