judge,budget_gpu_h,select_metric,eval_metric,best_iter_a,best_iter_b,model_a,model_b,cum_gpu_h_a,cum_gpu_h_b,mean_a,mean_b,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm,n_unique_pairs
gpt-4o-mini,2.8,Q1Q2,Q1Q2,3,1,PTOExp3_LA0_I3,GRPOExp3_LA0_I1,2.8,2.61,3.814889705882353,3.2689950980392157,96,0.5458946078431371,0.5436706868225053,0.35299325980392143,0.7593428308823528,2.9788168005133694e-06,2.9788168005133694e-06,7
gpt-4o-mini,3.9,Q1Q2,Q1Q2,4,1,PTOExp3_LA0_I4,GRPOExp3_LA0_I1,3.9,2.61,4.0075980392156865,3.2689950980392157,96,0.7386029411764706,0.8102470471163408,0.560608149509804,0.9251225490196079,1.9308670281206696e-11,5.792601084362009e-11,7
gpt-4o-mini,4.66,Q1Q2,Q1Q2,5,1,PTOExp3_LA0_I5,GRPOExp3_LA0_I1,4.66,2.61,4.014460784313726,3.2689950980392157,96,0.7454656862745098,0.7824045072879456,0.5618995098039216,0.9440732230392157,4.4381905461957464e-11,8.876381092391493e-11,7
gpt-4o-mini,5.37,Q1Q2,Q1Q2,6,2,PTOExp3_LA0_I6,GRPOExp3_LA0_I2,5.37,5.25,4.15392156862745,3.359375,96,0.794546568627451,0.909399037153338,0.6205713848039216,0.9717754289215685,1.089748295587078e-13,4.358993182348312e-13,7
gpt-4o-mini,6.07,Q1Q2,Q1Q2,6,2,PTOExp3_LA0_I6,GRPOExp3_LA0_I2,5.37,5.25,4.15392156862745,3.359375,96,0.794546568627451,0.909399037153338,0.6205713848039216,0.9717754289215685,1.089748295587078e-13,4.358993182348312e-13,7
gpt-4o-mini,6.88,Q1Q2,Q1Q2,8,2,PTOExp3_LA0_I8,GRPOExp3_LA0_I2,6.88,5.25,4.220649509803922,3.359375,96,0.8612745098039216,0.9932683865312609,0.6886351102941178,1.0440625000000001,2.427468609663829e-15,1.2137343048319145e-14,7
gpt-4o-mini,7.49,Q1Q2,Q1Q2,9,2,PTOExp3_LA0_I9,GRPOExp3_LA0_I2,7.49,5.25,4.238419117647059,3.359375,96,0.879044117647059,1.0682338281851698,0.7181341911764708,1.0501838235294116,1.4337716235327104e-15,8.602629741196263e-15,7
gpt-4o-mini,8.12,Q1Q2,Q1Q2,10,2,PTOExp3_LA0_I10,GRPOExp3_LA0_I2,8.12,5.25,4.2597426470588236,3.359375,96,0.9003676470588236,1.0864149409474553,0.744231004901961,1.0743949142156863,1.8241490488610758e-16,1.276904334202753e-15,7
gpt-4o-mini,2.8,MICI,MICI,1,1,PTOExp3_LA0_I1,GRPOExp3_LA0_I1,0.92,2.61,0.2092093991588477,0.22755203635839275,96,-0.018342637199545094,-0.066846411798699,-0.06971918397878028,0.035025718251270925,0.5635657083334089,0.6068853780771408,2
gpt-4o-mini,3.9,MICI,MICI,1,1,PTOExp3_LA0_I1,GRPOExp3_LA0_I1,0.92,2.61,0.2092093991588477,0.22755203635839275,96,-0.018342637199545094,-0.066846411798699,-0.06971918397878028,0.035025718251270925,0.5635657083334089,0.6068853780771408,2
gpt-4o-mini,4.66,MICI,MICI,1,1,PTOExp3_LA0_I1,GRPOExp3_LA0_I1,0.92,2.61,0.2092093991588477,0.22755203635839275,96,-0.018342637199545094,-0.066846411798699,-0.06971918397878028,0.035025718251270925,0.5635657083334089,0.6068853780771408,2
gpt-4o-mini,5.37,MICI,MICI,1,2,PTOExp3_LA0_I1,GRPOExp3_LA0_I2,0.92,5.25,0.2092093991588477,0.16924769264229697,96,0.039961706516550725,0.14726681973507802,-0.013994222545273792,0.09672646271126649,0.3034426890385704,0.6068853780771408,2
gpt-4o-mini,6.07,MICI,MICI,1,2,PTOExp3_LA0_I1,GRPOExp3_LA0_I2,0.92,5.25,0.2092093991588477,0.16924769264229697,96,0.039961706516550725,0.14726681973507802,-0.013994222545273792,0.09672646271126649,0.3034426890385704,0.6068853780771408,2
gpt-4o-mini,6.88,MICI,MICI,1,2,PTOExp3_LA0_I1,GRPOExp3_LA0_I2,0.92,5.25,0.2092093991588477,0.16924769264229697,96,0.039961706516550725,0.14726681973507802,-0.013994222545273792,0.09672646271126649,0.3034426890385704,0.6068853780771408,2
gpt-4o-mini,7.49,MICI,MICI,1,2,PTOExp3_LA0_I1,GRPOExp3_LA0_I2,0.92,5.25,0.2092093991588477,0.16924769264229697,96,0.039961706516550725,0.14726681973507802,-0.013994222545273792,0.09672646271126649,0.3034426890385704,0.6068853780771408,2
