iteration,GRPO_median_step_s_K0,GRPO_median_step_s_K5,GRPO_step_ratio_K5_over_K0,PTO_dpo_median_step_s_K0,PTO_dpo_median_step_s_K5,PTO_dpo_step_ratio,PTO_build_h_K0,PTO_build_h_K5,PTO_build_ratio_K5_over_K0,PTO_iter_gpu_h_K0,PTO_iter_gpu_h_K5,PTO_iter_ratio_K5_over_K0
1,74.60500001907349,179.53550004959106,2.4064807989235453,6.4592602252960205,6.478924512863159,1.0030443559914382,0.6818747222423553,1.9891655555036334,2.9172009030665227,0.9188710214694341,2.171692871782515,2.3634360220758746
2,80.0200001001358,169.58550000190735,2.1192889251398483,6.534990906715393,6.637898087501526,1.015747103898857,0.7039925000402663,2.290311111079322,3.2533174869736867,1.0129912695619796,2.4697997931639355,2.438125448239928
3,79.1859998703003,155.63499999046326,1.9654358124590168,6.522508263587952,6.753322720527649,1.0353873766980448,0.5826247221893734,2.428636944492658,4.168441283037876,0.869528786142667,2.60897972855303,3.0004523945972785
4,79.40900015830994,155.78800010681152,1.9618431134535415,6.5919554233551025,6.811744213104248,1.0333419714839758,0.8570238888925976,1.5549061110946867,1.8143089489650712,1.1031012126472262,1.6875815365049573,1.529851945729525
5,78.61800003051758,150.2170000076294,1.9107201906601394,6.685548543930054,6.82597553730011,1.0210045581820737,0.5555058332946565,0.9637738889455796,1.7349482780937167,0.7576399888594945,1.0662824844651753,1.4073735549126605
6,78.04899990558624,,,6.828368663787842,6.962206721305847,1.0196002975392606,0.48881888892915515,1.595690555539396,3.2643798995473365,0.7044651317596435,2.69876565910048,3.830942849306659
7,79.32299995422363,,,6.958035588264465,7.039412975311279,1.0116954542721894,0.4569683333237966,1.6364749999841055,3.581156243543334,0.7057693022489548,1.8958078634738924,2.6861580086195933
8,77.67750000953674,,,6.933818459510803,7.087853312492371,1.0222150109468593,0.463537777794732,1.3296588889095518,2.8685016682682623,0.8074442362785339,1.5717163369390699,1.9465323626347548
9,79.39300012588501,,,7.015772342681885,7.062833666801453,1.0067079320452377,0.41929111109839545,1.595690555539396,3.80568658219166,0.6074218930800755,1.8552628710865973,3.0543233495899376
10,77.95499992370605,,,7.053824424743652,7.09172785282135,1.0053734578287403,0.4596730555428399,1.4131836111015743,3.0743233567012296,0.6317791223526,1.6552058525880178,2.619912235188165
