judge,K,iteration,metric,contrast,n,delta,dz,ci_lo,ci_hi,p,p_holm,p_holm_rubrics,favours
claude-haiku-4-5,0,0,Q1Q2,PTO_LA0_Base − GRPO_LA0_Base,96,-0.031250000000000014,-0.04452160544699622,-0.17155790441176474,0.10901348039215682,0.9368789979319332,1.0,1.0,GRPO
claude-haiku-4-5,0,1,Q1Q2,PTO_LA0_I1 − GRPO_LA0_I1,96,-0.0023897058823529604,-0.003801229280056704,-0.12428002450980394,0.11820465686274503,0.7935592969489128,1.0,1.0,GRPO
claude-haiku-4-5,0,2,Q1Q2,PTO_LA0_I2 − GRPO_LA0_I2,96,0.09246323529411767,0.11947650018048356,-0.058950674019607824,0.24810202205882348,0.2659500702759072,0.8395923040556594,1.0,PTO
claude-haiku-4-5,0,3,Q1Q2,PTO_LA0_I3 − GRPO_LA0_I3,96,-0.15637254901960781,-0.27808753696177446,-0.2645266544117647,-0.048278186274509804,0.007653304977166195,0.038266524885830974,0.06122643981732956,GRPO
claude-haiku-4-5,0,4,Q1Q2,PTO_LA0_I4 − GRPO_LA0_I4,96,0.13002450980392155,0.17087413095348003,-0.02445465686274507,0.2725490196078431,0.20989807601391486,0.8395923040556594,1.0,PTO
claude-haiku-4-5,0,5,Q1Q2,PTO_LA0_I5 − GRPO_LA0_I5,96,0.26537990196078437,0.35485024714102964,0.12050245098039218,0.41899509803921564,0.0020131486929259304,0.012078892157555582,0.014092040850481512,PTO
claude-haiku-4-5,0,6,Q1Q2,PTO_LA0_I6 − GRPO_LA0_I6,96,0.4790441176470588,0.5214840879352182,0.2897610294117647,0.6575995710784314,1.3212630343873216e-05,0.00010570104275098573,0.00010570104275098573,PTO
claude-haiku-4-5,0,7,Q1Q2,PTO_LA0_I7 − GRPO_LA0_I7,96,0.24803921568627452,0.3255839848425831,0.08722579656862746,0.3939950980392153,0.0005002970816111259,0.003502079571277881,0.004002376652889007,PTO
claude-haiku-4-5,0,8,Q1Q2,PTO_LA0_I8 − GRPO_LA0_I8,96,0.2783088235294118,0.46316002273372725,0.15862745098039216,0.3872717524509803,7.020441719709346e-07,6.318397547738412e-06,4.914309203796542e-06,PTO
claude-haiku-4-5,0,9,Q1Q2,PTO_LA0_I9 − GRPO_LA0_I9,96,0.9188725490196079,1.0829050166621275,0.7505499387254903,1.0799019607843137,2.0447212255944687e-13,2.0447212255944687e-12,1.840249103035022e-12,PTO
claude-haiku-4-5,0,10,Q1Q2,PTO_LA0_I10 − GRPO_LA0_I10,96,0.6088848039215687,1.2652053280246487,0.5098544730392157,0.7019071691176472,4.1954871138082496e-16,4.615035825189074e-15,3.775938402427424e-15,PTO
claude-haiku-4-5,0,0,Q1,PTO_LA0_Base − GRPO_LA0_Base,96,-0.020833333333333356,-0.02486727501344248,-0.1854166666666667,0.14583333333333334,0.9300495121377039,1.0,1.0,GRPO
claude-haiku-4-5,0,1,Q1,PTO_LA0_I1 − GRPO_LA0_I1,96,-0.045833333333333344,-0.061879669648633666,-0.19166666666666665,0.08750000000000001,0.5106533905761144,1.0,1.0,GRPO
claude-haiku-4-5,0,2,Q1,PTO_LA0_I2 − GRPO_LA0_I2,96,0.10833333333333334,0.11266635041068833,-0.07713541666666668,0.3083854166666664,0.24025688309631077,0.8756296348618147,1.0,PTO
claude-haiku-4-5,0,3,Q1,PTO_LA0_I3 − GRPO_LA0_I3,96,-0.2104166666666667,-0.2802617897441079,-0.3541666666666667,-0.06250000000000001,0.009365285186078504,0.04682642593039252,0.06555699630254953,GRPO
claude-haiku-4-5,0,4,Q1,PTO_LA0_I4 − GRPO_LA0_I4,96,0.14791666666666667,0.158344411442692,-0.037499999999999985,0.3291666666666666,0.21890740871545367,0.8756296348618147,1.0,PTO
claude-haiku-4-5,0,5,Q1,PTO_LA0_I5 − GRPO_LA0_I5,96,0.28750000000000003,0.3169925488482932,0.10619791666666668,0.47291666666666665,0.005477549525576439,0.032865297153458636,0.027387747627882195,PTO
claude-haiku-4-5,0,6,Q1,PTO_LA0_I6 − GRPO_LA0_I6,96,0.5812499999999999,0.5050154085661543,0.35203124999999996,0.8041666666666667,2.3388388475402725e-05,0.0001871071078032218,0.00016371871932781908,PTO
claude-haiku-4-5,0,7,Q1,PTO_LA0_I7 − GRPO_LA0_I7,96,0.26875,0.29971099854532696,0.08333333333333336,0.4437499999999999,0.0025636307263206316,0.01794541508424442,0.01538178435792379,PTO
claude-haiku-4-5,0,8,Q1,PTO_LA0_I8 − GRPO_LA0_I8,96,0.3979166666666667,0.5500348312434354,0.25208333333333327,0.5333333333333333,2.161337652538e-07,1.9452038872841997e-06,1.7290701220304e-06,PTO
claude-haiku-4-5,0,9,Q1,PTO_LA0_I9 − GRPO_LA0_I9,96,1.0270833333333333,1.024876381725504,0.8229166666666666,1.2208333333333332,1.1568746092689392e-12,1.1568746092689392e-11,6.941247655613635e-12,PTO
claude-haiku-4-5,0,10,Q1,PTO_LA0_I10 − GRPO_LA0_I10,96,0.7729166666666667,1.2086520478936804,0.6479166666666667,0.8937500000000002,5.414686702130524e-15,5.956155372343577e-14,4.3317493617044194e-14,PTO
claude-haiku-4-5,0,0,Q2,PTO_LA0_Base − GRPO_LA0_Base,96,-0.041666666666666644,-0.06261399144107005,-0.1697303921568627,0.09068627450980397,0.6612952349295441,1.0,1.0,GRPO
claude-haiku-4-5,0,1,Q2,PTO_LA0_I1 − GRPO_LA0_I1,96,0.04105392156862739,0.06502383448176456,-0.09008884803921574,0.16852022058823515,0.6093159053208774,1.0,1.0,PTO
claude-haiku-4-5,0,2,Q2,PTO_LA0_I2 − GRPO_LA0_I2,96,0.07659313725490197,0.10911386503362057,-0.0637254901960784,0.21629901960784315,0.3535882321096324,1.0,1.0,PTO
claude-haiku-4-5,0,3,Q2,PTO_LA0_I3 − GRPO_LA0_I3,96,-0.10232843137254899,-0.19808841295045937,-0.2089460784313725,-0.007965686274509748,0.09859569392298058,0.4929784696149029,0.29578708176894175,GRPO
claude-haiku-4-5,0,4,Q2,PTO_LA0_I4 − GRPO_LA0_I4,96,0.1121323529411765,0.1608407538862998,-0.03371629901960792,0.2475643382352941,0.26432275394712734,1.0,1.0,PTO
claude-haiku-4-5,0,5,Q2,PTO_LA0_I5 − GRPO_LA0_I5,96,0.24325980392156862,0.33474065631327166,0.10291053921568623,0.38604473039215675,0.0037896289702041793,0.023437097672824026,0.022737773821225077,PTO
claude-haiku-4-5,0,6,Q2,PTO_LA0_I6 − GRPO_LA0_I6,96,0.3768382352941176,0.4741619056735821,0.21315870098039208,0.5294270833333332,3.0265560651115783e-05,0.00027239004586004207,0.0001815933639066947,PTO
claude-haiku-4-5,0,7,Q2,PTO_LA0_I7 − GRPO_LA0_I7,96,0.22732843137254907,0.3190856396405299,0.07412683823529415,0.3670496323529411,0.0014125481879018905,0.011300385503215124,0.009887837315313234,PTO
claude-haiku-4-5,0,8,Q2,PTO_LA0_I8 − GRPO_LA0_I8,96,0.15870098039215688,0.2637761970530379,0.0422640931372549,0.27392769607843126,0.0033481568104034324,0.023437097672824026,0.016740784052017163,PTO
