method,iteration,metric,contrast,primary_n,primary_delta,primary_dz,primary_ci_lo,primary_ci_hi,primary_p,primary_p_holm,judge_delta,judge_dz,judge_ci_lo,judge_ci_hi,judge_p,judge_p_holm,same_sign,judge_ci_excl0,favours_primary,favours_judge
GRPO,0,Q1Q2,GRPO_LA0_Base − GRPO_LA5_Base,96,0.10361519607843139,0.11480487619330243,-0.07568014705882344,0.28505821078431376,0.4035347906645512,1.0,0.02647058823529413,0.042676550713212816,-0.0983501838235294,0.14550091911764687,0.848964240131046,1.0,True,False,K0,K0
GRPO,1,Q1Q2,GRPO_LA0_I1 − GRPO_LA5_I1,96,-0.0025122549019607984,-0.0028036128767903725,-0.17924938725490194,0.17654105392156855,0.8773177929162426,1.0,0.02769607843137256,0.0417831338825315,-0.11238664215686275,0.16311887254901958,0.6470313878292033,1.0,False,False,K5,K0
GRPO,2,Q1Q2,GRPO_LA0_I2 − GRPO_LA5_I2,96,-0.07573529411764708,-0.07605871532356946,-0.2734405637254902,0.11926317401960772,0.4840868482033489,1.0,-0.03492647058823529,-0.04768098718111185,-0.176922487745098,0.10626072303921563,0.5884159493222747,1.0,True,False,K5,K5
GRPO,3,Q1Q2,GRPO_LA0_I3 − GRPO_LA5_I3,96,0.1316789215686274,0.28097058816314013,0.03994791666666662,0.22470741421568616,0.013930033497494762,0.06965016748747381,0.05067401960784316,0.10777213276151798,-0.04258578431372544,0.14393382352941173,0.3449142497560568,1.0,True,False,K0,K0
GRPO,4,Q1Q2,GRPO_LA0_I4 − GRPO_LA5_I4,96,-0.11544117647058817,-0.24800864666276698,-0.20833486519607833,-0.020701593137254868,0.007364025307814908,0.044184151846889445,-0.23308823529411768,-0.37369185672276384,-0.35552083333333334,-0.10930300245098044,0.0009945916546488616,0.005967549927893169,True,True,K5,K5
GRPO,5,Q1Q2,GRPO_LA0_I5 − GRPO_LA5_I5,96,-0.06979166666666664,-0.1346954978083373,-0.1769653799019608,0.03617647058823523,0.12179673723969116,0.48718694895876463,-0.3110906862745098,-0.42905279981954053,-0.4547794117647059,-0.1675398284313728,0.001079858264385145,0.005967549927893169,True,True,K5,K5
GRPO,0,Q1,GRPO_LA0_Base − GRPO_LA5_Base,96,0.1104166666666667,0.11961595886997403,-0.07083333333333332,0.2979166666666667,0.3453967780760233,1.0,0.012500000000000011,0.017751633038494894,-0.12921875,0.15213541666666638,0.8440377970861012,1.0,True,False,K0,K0
GRPO,1,Q1,GRPO_LA0_I1 − GRPO_LA5_I1,96,0.004166666666666661,0.004355068168352614,-0.19374999999999998,0.19588541666666642,0.8947438770438549,1.0,0.08541666666666665,0.10757033503924636,-0.08124999999999998,0.24583333333333332,0.2928841438578086,1.0,True,False,K0,K0
GRPO,2,Q1,GRPO_LA0_I2 − GRPO_LA5_I2,96,-0.05833333333333337,-0.05545614701138159,-0.26249999999999996,0.1479166666666666,0.35581054068262663,1.0,-1.850371707708594e-17,-2.0275783382928902e-17,-0.17713541666666668,0.17713541666666638,0.9178732078785006,1.0,True,False,K5,K5
GRPO,3,Q1,GRPO_LA0_I3 − GRPO_LA5_I3,96,0.12916666666666665,0.23492684092484334,0.02078124999999997,0.23958333333333334,0.02490159297205208,0.1245079648602604,0.05416666666666666,0.08006772139702174,-0.07916666666666665,0.19166666666666665,0.29996259074607656,1.0,True,False,K0,K0
GRPO,4,Q1,GRPO_LA0_I4 − GRPO_LA5_I4,96,-0.2020833333333333,-0.35937291909176394,-0.31458333333333327,-0.0895833333333333,0.0016328540882851721,0.009797124529711033,-0.36874999999999997,-0.4508674346563233,-0.5271354166666666,-0.2041666666666667,4.0779561087935564e-05,0.00020389780543967782,True,True,K5,K5
GRPO,5,Q1,GRPO_LA0_I5 − GRPO_LA5_I5,96,-0.11875000000000002,-0.21003895038785372,-0.2395833333333334,-0.004114583333333586,0.04095511570231295,0.1638204628092518,-0.45,-0.49893131132065577,-0.6291666666666665,-0.26666666666666666,1.8270666437513163e-05,0.00010962399862507897,True,True,K5,K5
GRPO,0,Q2,GRPO_LA0_Base − GRPO_LA5_Base,96,0.09681372549019607,0.10318763880276785,-0.09197303921568627,0.2861672794117646,0.5036197732561128,1.0,0.040441176470588196,0.06542974473634908,-0.08273590686274515,0.1612132352941173,0.5977187189853694,1.0,True,False,K0,K0
GRPO,1,Q2,GRPO_LA0_I1 − GRPO_LA5_I1,96,-0.009191176470588218,-0.01017312876577734,-0.1918045343137255,0.17343749999999986,0.9193762685085668,1.0,-0.030024509803921545,-0.046849969946645816,-0.16305147058823527,0.10049019607843142,0.7068690225639023,1.0,True,False,K5,K5
