method,iteration,metric,K0_delta_primary,K0_delta_judge,K0_retention,K0_ci_lo,K0_ci_hi,K5_delta_primary,K5_delta_judge,K5_retention,K5_ci_lo,K5_ci_hi,cis_disjoint
PTO,5,Q1Q2,1.014,0.922,0.909,0.79,1.055,1.013,0.745,0.735,0.627,0.863,False
PTO,5,Q1,1.0,0.975,0.975,0.832,1.145,1.033,0.854,0.827,0.692,0.981,False
PTO,5,Q2,1.028,0.869,0.846,0.73,0.992,0.993,0.636,0.64,0.533,0.771,False
PTO,5,MITI,0.828,0.542,0.654,0.538,0.797,0.781,0.323,0.413,0.286,0.543,False
PTO,5,MICI,0.076,0.139,1.832,0.938,2.956,0.148,0.251,1.701,1.213,2.434,False
PTO,10,Q1Q2,1.259,1.036,0.823,0.72,0.947,1.303,0.833,0.639,0.551,0.738,False
PTO,10,Q1,1.217,0.967,0.795,0.687,0.93,1.279,0.921,0.72,0.614,0.837,False
PTO,10,Q2,1.302,1.106,0.849,0.746,0.977,1.328,0.746,0.562,0.476,0.652,True
PTO,10,MITI,1.141,0.513,0.45,0.357,0.548,1.109,0.297,0.268,0.181,0.354,True
PTO,10,MICI,0.278,0.461,1.657,1.303,2.151,0.086,0.21,2.442,1.496,3.843,False
GRPO,5,Q1Q2,0.905,0.626,0.691,0.543,0.86,1.078,0.963,0.893,0.784,1.023,False
GRPO,5,Q1,0.848,0.667,0.786,0.587,1.003,1.077,1.129,1.048,0.913,1.223,False
GRPO,5,Q2,0.962,0.585,0.608,0.484,0.766,1.08,0.797,0.738,0.645,0.85,False
GRPO,5,MITI,0.716,0.198,0.276,0.125,0.416,0.891,0.354,0.398,0.309,0.48,False
GRPO,5,MICI,0.066,0.245,3.713,2.183,5.057,0.131,0.32,2.44,1.759,3.802,False
