grader,contrast,metric,n,mean_delta,dz,ci_lo,ci_hi,p,p_t,n_K0_higher,n_K5_higher,note
gpt-4o-mini,ICLR best-vs-best: L0_I4 - L5_I7,Final,96,-0.12947303921568634,-0.2504619520537692,-0.2283700980392158,-0.02901348039215708,0.005854567803480549,0.015948667117441608,35,54,+ => first-named (K=0) higher
gpt-4o-mini,ICLR best-vs-best: L0_I4 - L5_I7,Q1,96,-0.14375000000000007,-0.2559063160945269,-0.2520833333333334,-0.02916666666666667,0.001114633790617231,0.01386077855129522,18,39,+ => first-named (K=0) higher
gpt-4o-mini,ICLR best-vs-best: L0_I4 - L5_I7,Q2,96,-0.11519607843137253,-0.2050895382873645,-0.22550551470588232,-0.0024509803921569117,0.05030423564886238,0.04732542695259192,35,48,+ => first-named (K=0) higher
gpt-4o-mini,own best-vs-best: LA0_I5 - LA5_I7,Final,96,-0.1290441176470589,-0.19085366055904654,-0.26639552696078445,0.0016636029411763605,0.4045791521714247,0.06456647229925092,45,48,+ => first-named (K=0) higher
gpt-4o-mini,own best-vs-best: LA0_I5 - LA5_I7,Q1,96,-0.1625000000000001,-0.23126270323250703,-0.30833333333333346,-0.024947916666666976,0.057629141963301975,0.025727460645350274,26,31,+ => first-named (K=0) higher
gpt-4o-mini,own best-vs-best: LA0_I5 - LA5_I7,Q2,96,-0.0955882352941176,-0.1310964109676094,-0.24264705882352933,0.047794117647058876,0.32900291865600717,0.2020984245084452,42,46,+ => first-named (K=0) higher
gpt-4o-mini,"mean over iters 1-7, K0 - K5",Final,96,-0.13202906162464983,-0.5431690406019702,-0.18009606967787115,-0.08409182422969193,4.514725212479133e-06,6.834752185086866e-07,31,65,+ => first-named (K=0) higher
gpt-4o-mini,"mean over iters 1-7, K0 - K5",Q1,96,-0.15,-0.5723201466510652,-0.20209077380952378,-0.09850446428571426,5.927195849107623e-07,2.0093524658369542e-07,28,65,+ => first-named (K=0) higher
gpt-4o-mini,"mean over iters 1-7, K0 - K5",Q2,96,-0.11405812324929972,-0.45472461871227887,-0.16281950280112045,-0.06424632352941173,0.00019053624790368718,2.2876890903756583e-05,30,66,+ => first-named (K=0) higher
gpt-4o-mini,ordering: min(L5 mean) - max(L0 mean),Final,7,-0.07959558823529367,,,,,,5,44,L5-minus-L0 of MEANS: + => every K=5 model above every K=0 model
gpt-3.5,ICLR best-vs-best: L0_I4 - L5_I7,Final,96,-0.2056985294117649,-0.25147772306640104,-0.37874693627450995,-0.048952205882353085,0.33079413830034654,0.01553901107763889,46,49,+ => first-named (K=0) higher
gpt-3.5,ICLR best-vs-best: L0_I4 - L5_I7,Q1,96,-0.22083333333333344,-0.1994703916167002,-0.45208333333333334,-0.008281250000000358,0.3370373519170089,0.0535938258670243,38,46,+ => first-named (K=0) higher
gpt-3.5,ICLR best-vs-best: L0_I4 - L5_I7,Q2,96,-0.19056372549019615,-0.28045848731126083,-0.3290594362745099,-0.064935661764706,0.022634024849898255,0.00717717674609699,38,51,+ => first-named (K=0) higher
gpt-3.5,own best-vs-best: LA0_I4 - LA5_I7,Final,96,-0.2056985294117649,-0.25147772306640104,-0.37874693627450995,-0.048952205882353085,0.33079413830034654,0.01553901107763889,46,49,+ => first-named (K=0) higher
gpt-3.5,own best-vs-best: LA0_I4 - LA5_I7,Q1,96,-0.22083333333333344,-0.1994703916167002,-0.45208333333333334,-0.008281250000000358,0.3370373519170089,0.0535938258670243,38,46,+ => first-named (K=0) higher
gpt-3.5,own best-vs-best: LA0_I4 - LA5_I7,Q2,96,-0.19056372549019615,-0.28045848731126083,-0.3290594362745099,-0.064935661764706,0.022634024849898255,0.00717717674609699,38,51,+ => first-named (K=0) higher
gpt-3.5,"mean over iters 1-7, K0 - K5",Final,96,-0.20645133053221287,-0.6123415419364234,-0.2713465073529412,-0.14039675245098043,2.7504211069108575e-07,3.575813052423506e-08,28,68,+ => first-named (K=0) higher
gpt-3.5,"mean over iters 1-7, K0 - K5",Q1,96,-0.2619047619047619,-0.594932744054131,-0.34821428571428575,-0.17796874999999998,2.745003645902994e-07,7.622826561624583e-08,29,65,+ => first-named (K=0) higher
gpt-3.5,"mean over iters 1-7, K0 - K5",Q2,96,-0.15099789915966397,-0.5135122171006785,-0.20772715336134467,-0.0941001400560225,1.6434887351249732e-05,2.2998155905107338e-06,31,65,+ => first-named (K=0) higher
gpt-3.5,ordering: min(L5 mean) - max(L0 mean),Final,7,-0.0663602941176471,,,,,,1,48,L5-minus-L0 of MEANS: + => every K=5 model above every K=0 model
