grader,arm,metric,iteration,model,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm,p_t,n_model_higher,n_base_higher
gpt-4o-mini,L0,Final,1,Exp1_LA0_I1,96,0.05962009803921579,0.067259190654349,-0.1208501838235293,0.2332935049019608,0.502066470627184,1.0,0.5114881666582438,51,43
gpt-4o-mini,L0,Final,2,Exp1_LA0_I2,96,0.024509803921568634,0.029314278173442527,-0.1390533088235294,0.19677389705882342,0.7432109143653307,1.0,0.7745693589611873,49,44
gpt-4o-mini,L0,Final,3,Exp1_LA0_I3,96,0.005147058823529412,0.005620767777190702,-0.16410692401960789,0.18333792892156864,0.7201622473193279,1.0,0.9561967164136096,46,48
gpt-4o-mini,L0,Final,4,Exp1_LA0_I4,96,0.17714460784313726,0.21893422905398977,0.019229473039215673,0.3414583333333332,0.09405030767067775,0.5643018460240665,0.034494414251909876,50,42
gpt-4o-mini,L0,Final,5,Exp1_LA0_I5,96,0.17757352941176477,0.1977937247468807,-0.006807598039215648,0.3602588848039215,0.03436151576575207,0.24053061036026446,0.05559552217735919,58,37
gpt-4o-mini,L0,Final,6,Exp1_LA0_I6,96,0.1491421568627452,0.16514590452858807,-0.019367340686274413,0.325811887254902,0.09911894607999663,0.5643018460240665,0.10895817855030449,53,39
gpt-4o-mini,L0,Final,7,Exp1_LA0_I7,96,0.022549019607843168,0.0234751663037775,-0.1677144607843137,0.21704350490196073,0.8902880210914684,1.0,0.8185795349697855,47,46
gpt-4o-mini,L5,Final,1,Exp1_LA5_I1,96,0.09797794117647063,0.12588474573460892,-0.05258884803921561,0.2566467524509804,0.32345924822139915,0.5817115926998118,0.22046457936686872,53,42
gpt-4o-mini,L5,Final,2,Exp1_LA5_I2,96,0.16292892156862748,0.20097141287458667,0.006502757352941146,0.3235340073529412,0.2908557963499059,0.5817115926998118,0.0518540148109163,48,42
gpt-4o-mini,L5,Final,3,Exp1_LA5_I3,96,0.21041666666666667,0.2601534554652246,0.047172181372549,0.3771063112745098,0.05613141407619,0.16839424222857002,0.012405935729917116,54,40
gpt-4o-mini,L5,Final,4,Exp1_LA5_I4,96,0.2511642156862745,0.32798554837577987,0.09888020833333332,0.3997840073529412,0.003423373626958294,0.01711686813479147,0.0017908410366550634,58,37
gpt-4o-mini,L5,Final,5,Exp1_LA5_I5,96,0.26764705882352946,0.371691183983237,0.12210631127450985,0.41338388480392146,0.001757008084785658,0.012299056593499606,0.00044084385410236057,54,36
gpt-4o-mini,L5,Final,6,Exp1_LA5_I6,96,0.2431372549019608,0.328350165011313,0.09962928921568627,0.39739736519607827,0.008024545787687926,0.032098183150751705,0.0017708748698158953,58,36
gpt-4o-mini,L5,Final,7,Exp1_LA5_I7,96,0.3066176470588237,0.39772131273460604,0.15765625000000008,0.45534466911764704,0.00210548062660848,0.012632883759650878,0.00018141948082890712,55,38
gpt-4o-mini,L0,Q1,1,Exp1_LA0_I1,96,0.050000000000000065,0.05112080073322052,-0.14999999999999997,0.2375520833333332,0.525069611566978,1.0,0.6176144706337351,35,38
gpt-4o-mini,L0,Q1,2,Exp1_LA0_I2,96,0.05208333333333335,0.05865713854301152,-0.1250520833333333,0.22921874999999978,0.5286423524354451,1.0,0.5668390605693789,36,37
