judge,arm,iteration,subscale,gain,ci_lo,ci_hi,n
gpt-4o-mini,PTO_LA0,10,Task,0.6458333333333334,0.4947916666666667,0.8072916666666666,96
gpt-4o-mini,PTO_LA0,10,Goal,0.6041666666666666,0.4453125,0.7630859374999996,96
gpt-4o-mini,PTO_LA0,10,Bond,0.7083333333333334,0.5651041666666666,0.8438151041666663,96
gpt-4o-mini,PTO_LA5,10,Task,0.8072916666666666,0.6302083333333334,0.9895833333333334,96
gpt-4o-mini,PTO_LA5,10,Goal,0.7161458333333334,0.5390625,0.9037109374999996,96
gpt-4o-mini,PTO_LA5,10,Bond,0.625,0.5052083333333334,0.7552734374999996,96
gpt-4o-mini,GRPO_LA0,10,Task,0.5390625,0.3853515625,0.7005208333333334,96
gpt-4o-mini,GRPO_LA0,10,Goal,0.4557291666666667,0.3020833333333333,0.6145833333333334,96
gpt-4o-mini,GRPO_LA0,10,Bond,0.6510416666666666,0.5416666666666666,0.7604166666666666,96
gpt-4o-mini,GRPO_LA0,5,Task,0.2786458333333333,0.1328125,0.4296875,96
gpt-4o-mini,GRPO_LA0,5,Goal,0.2734375,0.1328125,0.41412760416666633,96
gpt-4o-mini,GRPO_LA0,5,Bond,0.4036458333333333,0.2760416666666667,0.5338541666666666,96
gpt-4o-mini,GRPO_LA5,5,Task,0.6614583333333334,0.5,0.8255859374999996,96
gpt-4o-mini,GRPO_LA5,5,Goal,0.6354166666666666,0.4765625,0.7916666666666666,96
gpt-4o-mini,GRPO_LA5,5,Bond,0.5234375,0.41139322916666665,0.6328125,96
claude-haiku-4-5,PTO_LA0,10,Task,0.7317708333333334,0.5677083333333334,0.8906901041666663,96
claude-haiku-4-5,PTO_LA0,10,Goal,0.8515625,0.6822916666666666,1.0260416666666667,96
claude-haiku-4-5,PTO_LA0,10,Bond,0.9296875,0.7734375,1.0963541666666667,96
claude-haiku-4-5,PTO_LA5,10,Task,0.7864583333333334,0.6302083333333334,0.9453125,96
claude-haiku-4-5,PTO_LA5,10,Goal,0.7473958333333334,0.5572916666666666,0.9453125,96
claude-haiku-4-5,PTO_LA5,10,Bond,0.5703125,0.43743489583333334,0.7083333333333334,96
claude-haiku-4-5,GRPO_LA0,10,Task,0.3255208333333333,0.16399739583333334,0.484375,96
claude-haiku-4-5,GRPO_LA0,10,Goal,0.3072916666666667,0.1353515625,0.48183593749999964,96
claude-haiku-4-5,GRPO_LA0,10,Bond,0.7083333333333334,0.5858723958333334,0.84375,96
claude-haiku-4-5,GRPO_LA0,5,Task,0.3932291666666667,0.2682291666666667,0.5286458333333334,96
claude-haiku-4-5,GRPO_LA0,5,Goal,0.5651041666666666,0.4114583333333333,0.7213541666666666,96
claude-haiku-4-5,GRPO_LA0,5,Bond,0.4765625,0.3645833333333333,0.5989583333333334,96
claude-haiku-4-5,GRPO_LA5,5,Task,0.6848958333333334,0.53125,0.8489583333333334,96
claude-haiku-4-5,GRPO_LA5,5,Goal,0.7213541666666666,0.5546223958333334,0.8880859374999996,96
claude-haiku-4-5,GRPO_LA5,5,Bond,0.5286458333333334,0.39837239583333334,0.6640625,96
