judge,method,metric,iteration,mean_K0,mean_K5,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm
gpt-4o-mini,PTO,PCT_ChangeProp,0,0.48878516049105974,0.48141652517204614,96,0.007368635319013485,0.037965986158153935,-0.03135325408972181,0.044352915617069125,0.8922643965120693,1.0
gpt-4o-mini,PTO,PCT_ChangeProp,1,0.4593542406945225,0.48672020034112434,96,-0.027365959646601812,-0.11422101691940711,-0.07196100029069064,0.019217273898815095,0.18214358556466437,1.0
gpt-4o-mini,PTO,PCT_ChangeProp,2,0.4911348450096515,0.4946154759843619,96,-0.0034806309747103456,-0.015344943107876539,-0.048190583572866555,0.04114402667601856,0.6376052509636516,1.0
gpt-4o-mini,PTO,PCT_ChangeProp,3,0.533427963138441,0.5312949967261827,96,0.0021329664122583017,0.009607508926497619,-0.04408777830345493,0.04499779182594989,0.8643080142489131,1.0
gpt-4o-mini,PTO,PCT_ChangeProp,4,0.5376395003712778,0.5562211118006503,96,-0.01858161142937232,-0.09664617558932308,-0.054921340650956,0.01991712854513249,0.10513639133463765,1.0
gpt-4o-mini,PTO,PCT_ChangeProp,5,0.5547155619112856,0.5747556929049012,96,-0.020040130993615648,-0.10549099004056421,-0.05745441248184931,0.01774803195395739,0.7151680306708604,1.0
gpt-4o-mini,PTO,PCT_ChangeProp,6,0.5690581146221626,0.5628722827092393,96,0.0061858319129233785,0.03676768670880912,-0.02573848174607498,0.041848248507923645,0.962091363719499,1.0
gpt-4o-mini,PTO,PCT_ChangeProp,7,0.5450807819434463,0.565118462021961,96,-0.020037680078514565,-0.07961107757935917,-0.06996775796700369,0.02907034504157711,0.21411251948631005,1.0
gpt-4o-mini,PTO,PCT_ChangeProp,8,0.5726304548600408,0.5874355841687203,96,-0.01480512930867958,-0.08496130999021627,-0.049259331278266774,0.0185340580021581,0.5225092021027675,1.0
gpt-4o-mini,PTO,PCT_ChangeProp,9,0.6117501031103972,0.59401938811106,96,0.01773071499933712,0.0835815082814269,-0.02329698796255902,0.06104594617472251,0.9342371845459214,1.0
gpt-4o-mini,PTO,PCT_ChangeProp,10,0.6301370921085995,0.6377906343116583,96,-0.007653542203058877,-0.04353172037239663,-0.04328374537470121,0.028929440652177597,0.2679143352247111,1.0
gpt-4o-mini,PTO,PCT_GlobalMean,0,3.0763888888888893,3.0694444444444446,96,0.006944444444444431,0.01085456429615906,-0.11814236111111114,0.14236111111111113,0.811633023933218,1.0
gpt-4o-mini,PTO,PCT_GlobalMean,1,3.0729166666666665,3.0763888888888893,96,-0.0034722222222222285,-0.00448266512503581,-0.15972222222222218,0.14236111111111116,0.9885570907243892,1.0
gpt-4o-mini,PTO,PCT_GlobalMean,2,3.180555555555556,3.1736111111111107,96,0.006944444444444466,0.009386787201113229,-0.13897569444444444,0.14244791666666626,0.8207504526618843,1.0
gpt-4o-mini,PTO,PCT_GlobalMean,3,3.263888888888889,3.3645833333333335,96,-0.10069444444444449,-0.14362832273932477,-0.23958333333333334,0.04513888888888884,0.08467127961104376,0.7620415164993939
gpt-4o-mini,PTO,PCT_GlobalMean,4,3.3680555555555554,3.4583333333333335,96,-0.09027777777777779,-0.1542272054818108,-0.20138888888888887,0.03124999999999996,0.16827767501023083,1.0
gpt-4o-mini,PTO,PCT_GlobalMean,5,3.3402777777777772,3.4791666666666665,96,-0.13888888888888887,-0.20906819746110322,-0.2743055555555555,-0.010416666666666664,0.1458586508051853,1.0
gpt-4o-mini,PTO,PCT_GlobalMean,6,3.46875,3.4583333333333326,96,0.010416666666666676,0.016950152066741123,-0.1076388888888889,0.13888888888888887,0.9667755021741491,1.0
gpt-4o-mini,PTO,PCT_GlobalMean,7,3.3541666666666665,3.5312499999999996,96,-0.17708333333333337,-0.22409297555153826,-0.34375,-0.02083333333333338,0.01799547503306932,0.1979502253637625
gpt-4o-mini,PTO,PCT_GlobalMean,8,3.4826388888888893,3.5625,96,-0.07986111111111112,-0.13820484628131444,-0.19444444444444445,0.03124999999999996,0.17072501688584885,1.0
gpt-4o-mini,PTO,PCT_GlobalMean,9,3.5833333333333335,3.5833333333333335,96,-3.700743415417188e-17,-5.397081868123721e-17,-0.13194444444444445,0.1355034722222217,0.6440245992835751,1.0
gpt-4o-mini,PTO,PCT_GlobalMean,10,3.6041666666666665,3.7152777777777772,96,-0.11111111111111115,-0.17044643665264497,-0.2395833333333334,0.02777777777777773,0.034233884883094784,0.34233884883094784
gpt-4o-mini,PTO,PCT_Importance,0,3.4270833333333335,3.3541666666666665,96,0.07291666666666667,0.08990519662187957,-0.08333333333333333,0.22916666666666666,0.37860415446400786,1.0
gpt-4o-mini,PTO,PCT_Importance,1,3.3958333333333335,3.40625,96,-0.010416666666666666,-0.01188393115931123,-0.17708333333333334,0.15625,0.9300902415677548,1.0
gpt-4o-mini,PTO,PCT_Importance,2,3.4583333333333335,3.4479166666666665,96,0.010416666666666666,0.01188393115931123,-0.16666666666666666,0.17708333333333334,0.9132645301825998,1.0
gpt-4o-mini,PTO,PCT_Importance,3,3.4791666666666665,3.6458333333333335,96,-0.16666666666666666,-0.23128119463326668,-0.3020833333333333,-0.020833333333333332,0.028445258375584148,0.2844525837558415
gpt-4o-mini,PTO,PCT_Importance,4,3.59375,3.71875,96,-0.125,-0.17144551424996704,-0.2708333333333333,0.020833333333333332,0.09580811542453399,0.6706568079717379
gpt-4o-mini,PTO,PCT_Importance,5,3.5416666666666665,3.7291666666666665,96,-0.1875,-0.27357345809634,-0.31276041666666665,-0.052083333333333336,0.008771449278841395,0.09648594206725535
gpt-4o-mini,PTO,PCT_Importance,6,3.6875,3.6875,96,0.0,0.0,-0.14583333333333334,0.14583333333333334,0.9878531312362051,1.0
gpt-4o-mini,PTO,PCT_Importance,7,3.5625,3.75,96,-0.1875,-0.2087746820449477,-0.375,-0.020833333333333332,0.034380818468751115,0.30942736621876005
gpt-4o-mini,PTO,PCT_Importance,8,3.6875,3.71875,96,-0.03125,-0.04187533886102105,-0.17708333333333334,0.11458333333333333,0.7499322206850239,1.0
gpt-4o-mini,PTO,PCT_Importance,9,3.7604166666666665,3.84375,96,-0.08333333333333333,-0.10726967393320645,-0.23958333333333334,0.08333333333333333,0.30787082951605116,1.0
gpt-4o-mini,PTO,PCT_Importance,10,3.8020833333333335,3.9583333333333335,96,-0.15625,-0.22295997856760463,-0.3020833333333333,-0.010416666666666666,0.03468757817537252,0.30942736621876005
gpt-4o-mini,PTO,PCT_Confidence,0,2.71875,2.7083333333333335,96,0.010416666666666666,0.01954305614163772,-0.09375,0.11458333333333333,0.8473896596867143,1.0
gpt-4o-mini,PTO,PCT_Confidence,1,2.75,2.7916666666666665,96,-0.041666666666666664,-0.06981973034525699,-0.15651041666666665,0.07291666666666667,0.4927166772270878,1.0
gpt-4o-mini,PTO,PCT_Confidence,2,2.8541666666666665,2.8125,96,0.041666666666666664,0.07697823525253622,-0.07291666666666667,0.14583333333333334,0.4496917979688909,1.0
gpt-4o-mini,PTO,PCT_Confidence,3,2.90625,2.96875,96,-0.0625,-0.10206207261596577,-0.17708333333333334,0.0625,0.31731050786291415,1.0
gpt-4o-mini,PTO,PCT_Confidence,4,3.0,3.0208333333333335,96,-0.020833333333333332,-0.047916771747421684,-0.10416666666666667,0.0625,0.6373518882339371,1.0
gpt-4o-mini,PTO,PCT_Confidence,5,2.96875,3.0416666666666665,96,-0.07291666666666667,-0.10903034177979141,-0.20833333333333334,0.052083333333333336,0.3185419110445046,1.0
gpt-4o-mini,PTO,PCT_Confidence,6,3.0520833333333335,3.0625,96,-0.010416666666666666,-0.02117507803810771,-0.10416666666666667,0.09375,0.8348273291852392,1.0
gpt-4o-mini,PTO,PCT_Confidence,7,2.96875,3.1145833333333335,96,-0.14583333333333334,-0.26882085994982413,-0.2604166666666667,-0.03125,0.010587137334056945,0.1164585106746264
gpt-4o-mini,PTO,PCT_Confidence,8,3.0729166666666665,3.15625,96,-0.08333333333333333,-0.1758535730847305,-0.17708333333333334,0.010416666666666666,0.08808151166219029,0.8808151166219029
gpt-4o-mini,PTO,PCT_Confidence,9,3.15625,3.1458333333333335,96,0.010416666666666666,0.01954305614163772,-0.09375,0.11458333333333333,0.8473896596867143,1.0
gpt-4o-mini,PTO,PCT_Confidence,10,3.1770833333333335,3.2291666666666665,96,-0.052083333333333336,-0.0837516671155662,-0.17708333333333334,0.07291666666666667,0.2888443663464849,1.0
gpt-4o-mini,PTO,PCT_Readiness,0,3.0833333333333335,3.1458333333333335,96,-0.0625,-0.06914185283317557,-0.23958333333333334,0.125,0.5470169143567862,1.0
gpt-4o-mini,PTO,PCT_Readiness,1,3.0729166666666665,3.03125,96,0.041666666666666664,0.03773408156124889,-0.17708333333333334,0.25,0.802861399258521,1.0
gpt-4o-mini,PTO,PCT_Readiness,2,3.2291666666666665,3.2604166666666665,96,-0.03125,-0.030025548388463087,-0.23958333333333334,0.16666666666666666,0.878681684115222,1.0
gpt-4o-mini,PTO,PCT_Readiness,3,3.40625,3.4791666666666665,96,-0.07291666666666667,-0.06761264747340334,-0.28125,0.14583333333333334,0.5111097825894115,1.0
gpt-4o-mini,PTO,PCT_Readiness,4,3.5104166666666665,3.6354166666666665,96,-0.125,-0.14720634507111804,-0.28125,0.052083333333333336,0.16523623497352968,1.0
gpt-4o-mini,PTO,PCT_Readiness,5,3.5104166666666665,3.6666666666666665,96,-0.15625,-0.17394343561432352,-0.34375,0.020833333333333332,0.11754802673871236,1.0
gpt-4o-mini,PTO,PCT_Readiness,6,3.6666666666666665,3.625,96,0.041666666666666664,0.046032837486430334,-0.13541666666666666,0.23958333333333334,0.740460551999855,1.0
gpt-4o-mini,PTO,PCT_Readiness,7,3.53125,3.7291666666666665,96,-0.19791666666666666,-0.17519509906608624,-0.4270833333333333,0.020833333333333332,0.11115527855389942,1.0
gpt-4o-mini,PTO,PCT_Readiness,8,3.6875,3.8125,96,-0.125,-0.1494035761667992,-0.3020833333333333,0.03125,0.18975352362100384,1.0
