judge,method,measure,iteration,mean_K0,mean_K5,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm
gpt-4o-mini,PTO,bond_excess,0,0.4986979166666667,0.4973958333333333,96,0.0013020833333333333,0.0029345761532994547,-0.08987630208333333,0.08984375,0.8402795994557493,1.0
gpt-4o-mini,PTO,bond_excess,1,0.4973958333333333,0.48828125,96,0.009114583333333334,0.01770963659780978,-0.09635416666666667,0.11197916666666667,0.8616251556833416,1.0
gpt-4o-mini,PTO,bond_excess,2,0.453125,0.4895833333333333,96,-0.036458333333333336,-0.07909433112113079,-0.12893880208333333,0.052083333333333336,0.2884010136839371,1.0
gpt-4o-mini,PTO,bond_excess,3,0.4388020833333333,0.48046875,96,-0.041666666666666664,-0.08144416366101451,-0.13802083333333334,0.061197916666666664,0.4270762593474837,1.0
gpt-4o-mini,PTO,bond_excess,4,0.4739583333333333,0.4114583333333333,96,0.0625,0.11493094120309248,-0.04296875,0.17447916666666666,0.2122793892052628,1.0
gpt-4o-mini,PTO,bond_excess,5,0.5338541666666666,0.4427083333333333,96,0.09114583333333333,0.2022378581390303,0.0013020833333333333,0.17838541666666666,0.03205150558779586,0.2564120447023669
gpt-4o-mini,PTO,bond_excess,6,0.46484375,0.44140625,96,0.0234375,0.04509141464410043,-0.07685546875,0.12239583333333333,0.6048342326846136,1.0
gpt-4o-mini,PTO,bond_excess,7,0.56640625,0.4505208333333333,96,0.11588541666666667,0.22714864279390387,0.015625,0.21614583333333334,0.04352826422038631,0.3046978495427042
gpt-4o-mini,PTO,bond_excess,8,0.5703125,0.4361979166666667,96,0.13411458333333334,0.2615609397540091,0.03121744791666667,0.23307291666666666,0.013712520420350153,0.12341268378315137
gpt-4o-mini,PTO,bond_excess,9,0.61328125,0.4440104166666667,96,0.16927083333333334,0.34543289411751726,0.07161458333333333,0.26565755208333314,0.001772746295581447,0.017727462955814472
gpt-4o-mini,PTO,bond_excess,10,0.58203125,0.3606770833333333,96,0.22135416666666666,0.429761905571192,0.11458333333333333,0.31774088541666645,0.00010874058629021864,0.001196146449192405
gpt-4o-mini,PTO,Bond,0,3.1770833333333335,3.1510416666666665,96,0.026041666666666668,0.03750169748367213,-0.11197916666666667,0.16152343749999964,0.5898550420340545,1.0
gpt-4o-mini,PTO,Bond,1,3.2265625,3.25,96,-0.0234375,-0.034289102849993404,-0.15891927083333332,0.11197916666666667,0.8292412997087066,1.0
gpt-4o-mini,PTO,Bond,2,3.3151041666666665,3.3541666666666665,96,-0.0390625,-0.0617299301708098,-0.1640625,0.08333333333333333,0.6066506861790694,1.0
gpt-4o-mini,PTO,Bond,3,3.4322916666666665,3.4947916666666665,96,-0.0625,-0.08769870110877244,-0.203125,0.078125,0.4065203204089348,1.0
gpt-4o-mini,PTO,Bond,4,3.5963541666666665,3.5729166666666665,96,0.0234375,0.0402981880682935,-0.08339843749999999,0.13541666666666666,0.517299109284554,1.0
gpt-4o-mini,PTO,Bond,5,3.6197916666666665,3.65625,96,-0.036458333333333336,-0.07054689030159896,-0.13541666666666666,0.06510416666666667,0.3499936286672335,1.0
gpt-4o-mini,PTO,Bond,6,3.7161458333333335,3.6640625,96,0.052083333333333336,0.09817100932459062,-0.0546875,0.15891927083333296,0.25940260268956306,1.0
gpt-4o-mini,PTO,Bond,7,3.703125,3.6666666666666665,96,0.036458333333333336,0.0592274550945507,-0.09381510416666666,0.15364583333333334,0.4747439915201018,1.0
gpt-4o-mini,PTO,Bond,8,3.8046875,3.6901041666666665,96,0.11458333333333333,0.23884307395214266,0.020833333333333332,0.20839843749999964,0.023960107640995935,0.23960107640995934
gpt-4o-mini,PTO,Bond,9,3.9453125,3.7942708333333335,96,0.15104166666666666,0.32566595332605885,0.059895833333333336,0.24746093749999964,0.0036669430925547948,0.04033637401810274
gpt-4o-mini,PTO,Bond,10,3.8854166666666665,3.7760416666666665,96,0.109375,0.20525160617175342,0.0,0.21614583333333334,0.03391707681062853,0.3052536912956567
gpt-4o-mini,PTO,Goal,0,2.6171875,2.59375,96,0.0234375,0.030355090634016993,-0.13287760416666666,0.1875,0.671872701484717,1.0
gpt-4o-mini,PTO,Goal,1,2.703125,2.7213541666666665,96,-0.018229166666666668,-0.025504733657612546,-0.15885416666666666,0.125,0.6458670107401532,1.0
gpt-4o-mini,PTO,Goal,2,2.8151041666666665,2.8151041666666665,96,0.0,0.0,-0.13020833333333334,0.1328776041666663,0.8337924988264095,1.0
gpt-4o-mini,PTO,Goal,3,2.9296875,2.9661458333333335,96,-0.036458333333333336,-0.04671139991029112,-0.19270833333333334,0.11725260416666632,0.5433135646138196,1.0
gpt-4o-mini,PTO,Goal,4,3.0625,3.1015625,96,-0.0390625,-0.062243365682522575,-0.15885416666666666,0.08333333333333333,0.5921955511203848,1.0
gpt-4o-mini,PTO,Goal,5,3.0338541666666665,3.140625,96,-0.10677083333333333,-0.17758026280018266,-0.22395833333333334,0.0,0.12310775439076294,1.0
gpt-4o-mini,PTO,Goal,6,3.1770833333333335,3.1536458333333335,96,0.0234375,0.03813449773197369,-0.09635416666666667,0.1485026041666663,0.8415028109388646,1.0
gpt-4o-mini,PTO,Goal,7,3.0807291666666665,3.140625,96,-0.059895833333333336,-0.09024985099403632,-0.19270833333333334,0.07037760416666632,0.3012901786141512,1.0
gpt-4o-mini,PTO,Goal,8,3.1848958333333335,3.1875,96,-0.0026041666666666665,-0.004341112509368613,-0.12239583333333333,0.1171875,0.9362489104813827,1.0
gpt-4o-mini,PTO,Goal,9,3.2578125,3.2734375,96,-0.015625,-0.023264755759059983,-0.14583333333333334,0.12766927083333296,0.5259529201226107,1.0
gpt-4o-mini,PTO,Goal,10,3.2213541666666665,3.3098958333333335,96,-0.08854166666666667,-0.1453603558406383,-0.20833333333333334,0.044335937499999645,0.05688367996010364,0.6257204795611401
gpt-4o-mini,PTO,Task,0,2.7395833333333335,2.7135416666666665,96,0.026041666666666668,0.032416437805148815,-0.140625,0.19791666666666666,0.7122529250009968,1.0
gpt-4o-mini,PTO,Task,1,2.7552083333333335,2.8020833333333335,96,-0.046875,-0.0645069834287191,-0.19270833333333334,0.09381510416666632,0.3321224900945505,1.0
gpt-4o-mini,PTO,Task,2,2.9088541666666665,2.9140625,96,-0.005208333333333333,-0.007215549307136736,-0.15104166666666666,0.140625,0.7993431664613515,1.0
gpt-4o-mini,PTO,Task,3,3.0572916666666665,3.0625,96,-0.005208333333333333,-0.006623175514153138,-0.16145833333333334,0.15104166666666666,0.6022537141576507,1.0
gpt-4o-mini,PTO,Task,4,3.1822916666666665,3.2213541666666665,96,-0.0390625,-0.06203645837318314,-0.15625,0.08072916666666667,0.45815573258322073,1.0
gpt-4o-mini,PTO,Task,5,3.1380208333333335,3.2864583333333335,96,-0.1484375,-0.2469547932138806,-0.2604166666666667,-0.03125,0.018912514191662216,0.18912514191662216
gpt-4o-mini,PTO,Task,6,3.3255208333333335,3.2916666666666665,96,0.033854166666666664,0.058147267618373875,-0.0859375,0.16145833333333334,0.6166013283236544,1.0
gpt-4o-mini,PTO,Task,7,3.1927083333333335,3.2916666666666665,96,-0.09895833333333333,-0.13058022381462994,-0.25,0.0546875,0.10765739118098787,0.9689165206288908
gpt-4o-mini,PTO,Task,8,3.2838541666666665,3.3203125,96,-0.036458333333333336,-0.0629435536786439,-0.15631510416666666,0.07291666666666667,0.5630313602079311,1.0
gpt-4o-mini,PTO,Task,9,3.40625,3.4270833333333335,96,-0.020833333333333332,-0.029751254589882984,-0.15885416666666666,0.1250651041666663,0.6278325586936933,1.0
gpt-4o-mini,PTO,Task,10,3.3854166666666665,3.5208333333333335,96,-0.13541666666666666,-0.21036868512625642,-0.2604166666666667,0.005208333333333333,0.007255651625476553,0.07981216788024208
gpt-4o-mini,PTO,WAI_total,0,2.844618055555556,2.8194444444444446,96,0.0251736111111111,0.035322478950885326,-0.12065972222222221,0.1736545138888886,0.5791681895696305,1.0
gpt-4o-mini,PTO,WAI_total,1,2.8949652777777772,2.9244791666666665,96,-0.029513888888888905,-0.04520248184221183,-0.16145833333333337,0.10243055555555551,0.8611858743170703,1.0
gpt-4o-mini,PTO,WAI_total,2,3.0130208333333335,3.0277777777777772,96,-0.014756944444444439,-0.02388022089986368,-0.13543836805555556,0.1085286458333332,0.7908626737836159,1.0
gpt-4o-mini,PTO,WAI_total,3,3.139756944444444,3.1744791666666665,96,-0.03472222222222221,-0.04936027958233681,-0.1754123263888889,0.10503472222222217,0.4233492825139298,1.0
gpt-4o-mini,PTO,WAI_total,4,3.280381944444444,3.2986111111111107,96,-0.018229166666666675,-0.03346818070998699,-0.11894531250000001,0.07988281249999989,0.6477118210892753,1.0
gpt-4o-mini,PTO,WAI_total,5,3.2638888888888893,3.3611111111111107,96,-0.0972222222222222,-0.19135474477720912,-0.19444444444444442,-0.006054687500000067,0.08834478908413922,0.9717926799255314
gpt-4o-mini,PTO,WAI_total,6,3.40625,3.3697916666666665,96,0.03645833333333335,0.07302751988401272,-0.06510416666666664,0.13802083333333331,0.3964906868086262,1.0
gpt-4o-mini,PTO,WAI_total,7,3.3255208333333335,3.3663194444444446,96,-0.04079861111111106,-0.0660217871937407,-0.16753472222222218,0.07990451388888876,0.4319005431602071,1.0
