metric,iteration,n,mean_K0,mean_K5,se_K0,se_K5,mean_delta,dz,ci_lo,ci_hi,p,p_holm,sig,lower_better
MICI_Severity,0,96,2.9791666666666665,3.0208333333333335,0.11372786719963486,0.11178296510000846,-0.041666666666666664,-0.03806412354462017,-0.2604166666666667,0.17708333333333334,0.640873111128924,1.0,,True
MICI_Severity,1,96,2.90625,2.9375,0.1108956014899805,0.12722795193818837,-0.03125,-0.027037735720988183,-0.2708333333333333,0.19791666666666666,0.8122637606324477,1.0,,True
MICI_Severity,2,96,2.7708333333333335,2.84375,0.11324477319051313,0.10915155747858114,-0.07291666666666667,-0.060392089406069056,-0.3229166666666667,0.16666666666666666,0.5111402495725071,1.0,,True
MICI_Severity,3,96,2.6770833333333335,2.9479166666666665,0.07765023873771021,0.08160908057418453,-0.2708333333333333,-0.3133734612385857,-0.4375,-0.10390625000000142,0.0034909367876257663,0.01745468393812883,*,True
MICI_Severity,4,96,2.9895833333333335,2.84375,0.07622507022239704,0.06839020686280195,0.14583333333333334,0.1699412772720789,-0.020833333333333332,0.31276041666666526,0.10882407834742197,0.4352963133896879,,True
MICI_Severity,5,96,3.3125,2.9791666666666665,0.06995064049215818,0.0725161304903023,0.3333333333333333,0.4290786957328258,0.17708333333333334,0.4895833333333333,0.00012620263462920925,0.0007572158077752554,***,True
MICI_Rate,0,96,0.38373951380316845,0.32642580703073154,0.030137375531923617,0.029574403099155593,0.057313706772436905,0.14710484113392083,-0.015989436168399367,0.1333091807286561,0.14135416750208463,0.44103826913757865,,True
MICI_Rate,1,96,0.37318383796107285,0.36165610468939274,0.029032716129232878,0.03453807007520253,0.01152773327168013,0.0280419628809865,-0.07078719231770356,0.09061468998892275,0.42644484525993387,0.8528896905198677,,True
MICI_Rate,2,96,0.3090360559454019,0.3701326663557449,0.02678559469017391,0.02877013875195261,-0.06109661041034292,-0.15529244015145643,-0.1386885405466544,0.014660348725808217,0.11025956728439466,0.44103826913757865,,True
MICI_Rate,3,96,0.40745341198569257,0.51805910492443,0.019559579566425723,0.02681106814018141,-0.11060569293873741,-0.3542902838037176,-0.17172253010502608,-0.05113825891169537,0.00037417700397368684,0.002245062023842121,**,True
MICI_Rate,4,96,0.5076504374037268,0.5619382153113771,0.01979405739482857,0.02472352174432644,-0.05428777790765019,-0.17357978073213898,-0.1157337710561032,0.007546818202294121,0.04590401780615968,0.2295200890307984,,True
MICI_Rate,5,96,0.6286796194430865,0.6466568265183593,0.02376051151286039,0.025917946846934093,-0.017977207075272925,-0.052997955799543285,-0.08492444521620511,0.05044167531478211,0.6360645782349432,0.8528896905198677,,True
