metric,iteration,n,mean_K0,mean_K5,se_K0,se_K5,mean_delta,dz,ci_lo,ci_hi,p,p_holm,sig,lower_better
MICI_Severity,0,96,3.1145833333333335,3.0104166666666665,0.1255424996769867,0.13450265084672242,0.10416666666666667,0.07271427324773315,-0.17708333333333334,0.3854166666666667,0.3650267759189054,1.0,,True
MICI_Severity,1,96,2.7395833333333335,2.9583333333333335,0.1130176120286346,0.1307172073756687,-0.21875,-0.17993541265260538,-0.4583333333333333,0.020833333333333332,0.10591017850879537,0.6522148946273463,,True
MICI_Severity,2,96,2.8958333333333335,2.96875,0.11420891778046403,0.11980715956259101,-0.07291666666666667,-0.060392089406069056,-0.3229166666666667,0.1669270833333319,0.6543805274808109,1.0,,True
MICI_Severity,3,96,2.65625,2.875,0.09577491545193116,0.11398868826612395,-0.21875,-0.1852915530758367,-0.4583333333333333,0.010416666666666666,0.05684467645688093,0.45475741165504746,,True
MICI_Severity,4,96,2.4791666666666665,2.8541666666666665,0.08758350234513883,0.09931692876434153,-0.375,-0.41789035995243595,-0.5729166666666666,-0.19765625000000142,0.00017333817778532996,0.0019067199556386295,**,True
MICI_Severity,5,96,2.7395833333333335,2.9166666666666665,0.08144095868457094,0.09208437524218042,-0.17708333333333334,-0.17616816786155667,-0.3854166666666667,0.020833333333333332,0.09317355637533518,0.6522148946273463,,True
MICI_Severity,6,96,2.7395833333333335,3.0625,0.07440523182808999,0.0886206433121123,-0.3229166666666667,-0.36840186593864815,-0.4895833333333333,-0.15625,0.000726384570880445,0.00726384570880445,**,True
MICI_Severity,7,96,2.78125,2.8541666666666665,0.08533104394886723,0.08242376417384004,-0.07291666666666667,-0.07731914188640943,-0.2604166666666667,0.11458333333333333,0.44392430713917796,1.0,,True
MICI_Severity,8,96,2.8020833333333335,2.8854166666666665,0.07197068065725798,0.08360017584063324,-0.08333333333333333,-0.10726967393320645,-0.23958333333333334,0.07291666666666667,0.29308781778630744,1.0,,True
MICI_Severity,9,96,3.0208333333333335,2.9583333333333335,0.0850427738953338,0.0796327462103741,0.0625,0.06295727247541297,-0.13541666666666666,0.2604166666666667,0.5103963684532884,1.0,,True
MICI_Severity,10,96,3.1458333333333335,2.90625,0.07971875820255057,0.08644809440534702,0.23958333333333334,0.24413642502981558,0.041666666666666664,0.4375,0.018691512559887994,0.16822361303899194,,True
MICI_Rate,0,96,0.3641187791480038,0.3702658703647754,0.03177273612987858,0.033630148751543,-0.006147091216771696,-0.01377959675874855,-0.08781785381906503,0.08030107792734055,0.8990133080051678,1.0,,True
MICI_Rate,1,96,0.3600361847904418,0.3968014312727388,0.029958859796160968,0.033868041320693404,-0.03676524648229707,-0.09191588013782456,-0.11509572834523228,0.03990663347832621,0.40178384062509465,1.0,,True
MICI_Rate,2,96,0.3458378583383421,0.40784829515528037,0.02761428159057374,0.03261200134512659,-0.06201043681693836,-0.16461375548981455,-0.1361755347528253,0.014653894590656861,0.06681242396594403,0.3340621198297201,,True
MICI_Rate,3,96,0.41738379545608817,0.49708657147975405,0.031006744870043706,0.03577658114381019,-0.07970277602366588,-0.1675189228847554,-0.17345334069901117,0.019298311998896,0.038433185100632435,0.23059911060379462,,True
MICI_Rate,4,96,0.38939072297528177,0.5659474338853503,0.024417160330520306,0.03562854736566674,-0.17655671091006853,-0.4698689065382412,-0.24795589376876184,-0.10237417922292236,1.9620819048705047e-05,0.00019620819048705047,***,True
MICI_Rate,5,96,0.5030036800252551,0.6213956638432404,0.024253012579622257,0.037455672722058284,-0.1183919838179854,-0.28063143438327326,-0.20717577602111134,-0.03695588362575718,0.011396380310243792,0.09117104248195033,,True
MICI_Rate,6,96,0.5814671998824475,0.6331318740166246,0.0289005232042422,0.037604142722621005,-0.05166467413417709,-0.1258670572078443,-0.13024025084335922,0.027181840004093804,0.4833604592533103,1.0,,True
MICI_Rate,7,96,0.6179540487307452,0.5807729824015138,0.02632915471451628,0.026522318213440248,0.03718106632923146,0.10363737826174166,-0.03512892982566964,0.10639491610028494,0.24136698420702252,0.9654679368280901,,True
MICI_Rate,8,96,0.6711806921792599,0.5998329210067626,0.026556394246173995,0.02471914848252482,0.07134777117249734,0.2171318043707453,0.0056537793603323875,0.13421569203047404,0.021584800565947457,0.15109360396163218,,True
MICI_Rate,9,96,0.7465935007670206,0.6108536388219051,0.029035923021875513,0.028688062089983167,0.13573986194511545,0.34187383640726826,0.0574373849409284,0.21336830060540266,0.0004682634563738344,0.004214371107364509,**,True
