metric,iteration,n,mean_K0,mean_K5,se_K0,se_K5,mean_delta,dz,ci_lo,ci_hi,p,p_holm,sig,lower_better
MICI_Severity,0,96,3.4583333333333335,3.2395833333333335,0.12645353722226751,0.13306837022737883,0.21875,0.16052877085132222,-0.03151041666666665,0.5,0.061068307055915365,0.24427322822366146,,True
MICI_Severity,1,96,3.0,3.25,0.12121461321202305,0.13572417850765925,-0.25,-0.1926379375927805,-0.5,0.020833333333333332,0.042968835137673494,0.21484417568836747,,True
MICI_Severity,2,96,3.0,3.1875,0.11180339887498948,0.11595569707526461,-0.1875,-0.1624064769982321,-0.40651041666666665,0.052083333333333336,0.17973906235421633,0.27824197280035823,,True
MICI_Severity,3,96,2.6666666666666665,2.9375,0.09785715810206665,0.1173655445717847,-0.2708333333333333,-0.23067331023029877,-0.5104166666666666,-0.03125,0.02774213117866205,0.1664527870719723,,True
MICI_Severity,4,96,2.40625,2.8541666666666665,0.08053838166397828,0.09931692876434153,-0.4479166666666667,-0.49515129690305776,-0.625,-0.2708333333333333,2.001046376824376e-05,0.00018009417391419386,***,True
MICI_Severity,5,96,2.59375,2.875,0.08321674958973525,0.08916031293971985,-0.28125,-0.2722212177096791,-0.4791666666666667,-0.08333333333333333,0.008401609539944305,0.06721287631955444,,True
MICI_Severity,6,96,2.53125,3.0104166666666665,0.07544186358184529,0.09423606936309392,-0.4791666666666667,-0.497977712025119,-0.6666666666666666,-0.2916666666666667,1.106177236302388e-05,0.00011061772363023881,***,True
MICI_Severity,7,96,2.4791666666666665,2.71875,0.0783312336411389,0.09092980351164666,-0.23958333333333334,-0.27239900262524974,-0.40625,-0.07265625000000142,0.00875579268769865,0.06721287631955444,,True
MICI_Severity,8,96,2.3854166666666665,2.8645833333333335,0.06683606493520838,0.08713242551440534,-0.4791666666666667,-0.5933330468302631,-0.6458333333333334,-0.3229166666666667,7.349624110686571e-07,8.084586521755228e-06,***,True
MICI_Severity,9,96,2.625,2.8125,0.09625669263585251,0.09632786210408628,-0.1875,-0.17069602207438067,-0.4166666666666667,0.041666666666666664,0.09274732426678607,0.27824197280035823,,True
MICI_Severity,10,96,2.6354166666666665,2.8229166666666665,0.09610825364207101,0.08884590403469758,-0.1875,-0.1563500365950561,-0.40651041666666665,0.052083333333333336,0.12655882916105343,0.27824197280035823,,True
MICI_Rate,0,96,0.21316771503752,0.1775191236178688,0.022803283010819846,0.02039707691286887,0.0356485914196512,0.12286632938113924,-0.020321083979566834,0.09291797030953437,0.3024795316374421,1.0,,True
MICI_Rate,1,96,0.20920939915884765,0.22243718478553035,0.020649434639716354,0.023645634793403807,-0.013227785626682684,-0.04277949159169396,-0.07272224426325986,0.0491140166512409,0.9737827809486687,1.0,,True
MICI_Rate,2,96,0.2200869120881698,0.23052356517357486,0.01998798620832123,0.022472224714142643,-0.010436653085405027,-0.04219763563459453,-0.06019351263935727,0.039341892623692844,0.7928065260704735,1.0,,True
MICI_Rate,3,96,0.2523250339820643,0.24795557746045274,0.019386989091083485,0.02329406254324073,0.004369456521611502,0.014975806802287958,-0.05594974508438031,0.059652980568388324,0.5434745801825731,1.0,,True
MICI_Rate,4,96,0.21456431709164872,0.3257345343066314,0.01621484950399166,0.022761817070805747,-0.11117021721498267,-0.39980062360770086,-0.16354718573043614,-0.05588279649852251,0.0002291794081769239,0.002062614673592315,**,True
MICI_Rate,5,96,0.28896680438548666,0.3251298545156547,0.019036893071930395,0.02102369261513423,-0.03616305013016802,-0.1387353016641404,-0.08834232001406726,0.014268432423575315,0.21924237143334657,1.0,,True
MICI_Rate,6,96,0.31807976361551243,0.3204286121827282,0.021406003206792652,0.019350538592892038,-0.0023488485672157754,-0.009347836574016955,-0.05151523778381837,0.04609918883959457,0.971584079662138,1.0,,True
MICI_Rate,7,96,0.3408361227557852,0.2628899325111593,0.0211849570705523,0.018758366712323823,0.07794619024462586,0.285288516768925,0.023678822702558347,0.12930010345804105,0.00580162697623341,0.04641301580986728,*,True
MICI_Rate,8,96,0.3488856424748599,0.2901173282510882,0.022143692202877704,0.01630475657036874,0.05876831422377171,0.22821499691870215,0.009780395933873334,0.10847869358283478,0.03694939757798902,0.2586457830459231,,True
MICI_Rate,9,96,0.4710087860786874,0.26928495659218377,0.021792805936746464,0.01626621218956836,0.20172382948650366,0.8315592914015403,0.1532600224801088,0.25258663263448106,2.56099521815095e-10,2.817094739966045e-09,***,True
MICI_Rate,10,96,0.4914110575974449,0.2636857207387288,0.025301653807618264,0.019111040548054924,0.2277253368587162,0.7078745170547895,0.16379159612426653,0.2910096204434865,2.9349094122165854e-09,2.9349094122165852e-08,***,True
MICI_Confront_rate,0,96,0.00679728835978836,0.00428297397047397,0.0023487636594806778,0.0017821315802004248,0.002514314389314389,0.08890730251222459,-0.0031231164668664665,0.008229354557479557,0.4496917979688909,1.0,,True
MICI_Confront_rate,1,96,0.004173471204721204,0.003805765993265993,0.0019890957604019573,0.0018896107985490994,0.00036770521145521143,0.0154343982615481,-0.004630734427609427,0.004878606636419136,1.0,1.0,,True
MICI_Confront_rate,2,96,0.004486302096596215,0.004605800653594771,0.0020876394775408706,0.001880680126671217,-0.00011949855699855724,-0.004601592901827829,-0.005077286122782447,0.005063237416178584,0.9593007893622097,1.0,,True
MICI_Confront_rate,3,96,0.0013636363636363637,0.001217948717948718,0.0010305609959445324,0.0008992414841934044,0.00014568764568764566,0.010771218281243798,-0.002403846153846154,0.002986596736596736,0.8539232992870668,1.0,,True
MICI_Confront_rate,4,96,0.0,0.004508668414918415,0.0,0.002079956715799988,-0.004508668414918415,-0.22123731694470736,-0.008685897435897436,-0.000946969696969697,0.043114446783075355,0.4216819709715596,,True
MICI_Confront_rate,5,96,0.0034548611111111112,0.0035408023689273687,0.0018294491002807912,0.0015972005281609128,-8.594125781625761e-05,-0.003535374952922605,-0.004932615778318903,0.004848887874278497,0.9527650219907529,1.0,,True
MICI_Confront_rate,6,96,0.0,0.0027920227920227923,0.0,0.001507091468516955,-0.0027920227920227923,-0.1890791892182063,-0.006264245014245014,-0.0004166666666666667,0.06559969214707187,0.524797537176575,,True
MICI_Confront_rate,7,96,0.0,0.0052579365079365075,0.0,0.002435904255802208,-0.0052579365079365075,-0.2203025412041184,-0.010342261904761904,-0.0010416666666666667,0.04216819709715596,0.4216819709715596,,True
MICI_Confront_rate,8,96,0.0,0.003356481481481481,0.0,0.0019197103532116876,-0.003356481481481481,-0.17844851236228756,-0.007523148148148148,0.0,0.10247043485974937,0.7172930440182456,,True
MICI_Confront_rate,9,96,0.000744047619047619,0.002893518518518518,0.0007440476190476191,0.0016698701479745878,-0.0021494708994708994,-0.11919632305527858,-0.005915178571428571,0.0010747354497354497,0.14077277337135014,0.8446366402281008,,True
