judge,method,metric,n_iters,n_sig_K0_higher,n_sig_K5_higher,n_sig_K0_better,n_sig_K5_better,iters_sig_K0_higher,iters_sig_K5_higher,mean_delta_iters1toN,mean_dz_iters1toN,base_delta,base_dz,max_abs_dz,max_abs_dz_iter,max_abs_dz_delta,lower_better
claude-haiku-4-5,GRPO,%CR,6,0,0,0,0,,,-0.07514924728645543,-0.1533176454786831,0.06427174975562072,0.1283209171436695,0.2699910851065999,5,-0.1368055555555556,False
claude-haiku-4-5,GRPO,%MICO,6,2,0,2,0,"4,5",,0.06854219493332782,0.21950540105331884,-0.022082315078689543,-0.053323074704490415,0.33184728547863085,4,0.10314270524796838,False
claude-haiku-4-5,GRPO,B1_GI,6,2,0,2,0,"4,5",,0.75625,0.19139238123335386,0.03125,0.010309272583769347,0.6564759448771372,5,2.5520833333333335,False
claude-haiku-4-5,GRPO,B1_GI_per_turn,6,1,0,1,0,5,,0.0002556825921806047,0.011235177302879696,-0.017095310088331525,-0.07358662437167166,0.3007023573752844,5,0.0536532848175671,False
claude-haiku-4-5,GRPO,B2_Persuade,6,0,1,0,1,,3,-0.2145833333333334,-0.07542459335143942,0.010416666666666666,0.003125838124886009,0.3368758732713126,3,-0.8125,False
claude-haiku-4-5,GRPO,B2_Persuade_per_turn,6,0,4,0,4,,"2,3,4,5",-0.03636345982942303,-0.27053398429411535,-0.006879469010717743,-0.028154293028678515,0.5715739375059552,5,-0.058866720493558726,False
claude-haiku-4-5,GRPO,B3_Q,6,0,0,0,0,,,-0.10624999999999996,-0.015874416411556957,1.15625,0.13370326520102307,0.1597084200456601,1,-1.3333333333333333,False
claude-haiku-4-5,GRPO,B3_Q_per_turn,6,0,0,0,0,,,-0.014685637206625482,-0.05561287500363268,0.03853070410494231,0.10850586231711765,0.2056872174470241,4,-0.048313592716408116,False
claude-haiku-4-5,GRPO,B4_SR,6,1,0,1,0,5,,0.13541666666666669,0.1411255508657409,-0.4791666666666667,-0.17309923170743866,0.2820434354210258,5,0.20833333333333334,False
claude-haiku-4-5,GRPO,B4_SR_per_turn,6,0,0,0,0,,,0.006423330143013983,0.0932296815629069,-0.016740518405814458,-0.12328197578328307,0.2256253895177245,3,0.014034071565346806,False
claude-haiku-4-5,GRPO,B5_CR,6,0,0,0,0,,,-0.008333333333333335,-0.00981048353647406,0.041666666666666664,0.06134064126848857,0.10965059814426116,2,-0.11458333333333333,False
claude-haiku-4-5,GRPO,B5_CR_per_turn,6,0,0,0,0,,,-0.0030233171187139586,-0.043317735991736384,0.0011816504770742395,0.024767726967189263,0.14178656895651792,5,-0.009672622108283872,False
claude-haiku-4-5,GRPO,B6_AF,6,2,0,2,0,"4,5",,0.32291666666666663,0.30104397848907827,0.041666666666666664,0.04105888349292277,0.6346261701179459,5,0.59375,False
claude-haiku-4-5,GRPO,B6_AF_per_turn,6,3,0,3,0,"3,4,5",,0.01993515173810301,0.27286474783476666,0.0023479579577199545,0.032867529543564505,0.45168555223481766,5,0.02814007751507751,False
claude-haiku-4-5,GRPO,B7_Seek,6,0,0,0,0,,,0.17083333333333334,0.08212822403319422,-0.6354166666666666,-0.18774057567876454,0.23024637425406477,4,0.25,False
claude-haiku-4-5,GRPO,B7_Seek_per_turn,6,0,0,0,0,,,0.006135542478823456,0.06510447678585449,-0.015309135405243141,-0.07859217103656996,0.20245490010524536,4,0.009938387635756059,False
claude-haiku-4-5,GRPO,MICI_AdviseNoPermission,6,0,1,1,0,,3,0.08750000000000005,0.021155991108307137,0.40625,0.09478465161487415,0.3103004600636574,3,-0.9791666666666666,True
claude-haiku-4-5,GRPO,MICI_AdviseNoPermission_rate,6,0,1,1,0,,3,-0.02883462706499328,-0.1256174908427798,0.0037476698006168644,0.01387690279479373,0.2776478461378373,3,-0.06325251351834252,True
claude-haiku-4-5,GRPO,MICI_BehaviorTotal,6,1,1,1,1,5,3,-0.018749999999999954,-0.01680570697768735,1.53125,0.236517014826582,0.42484958837177245,3,-1.8020833333333333,True
claude-haiku-4-5,GRPO,MICI_Confront,6,0,2,2,0,,"3,5",-0.1,-0.21151510586782912,-0.0625,-0.06661526418936903,0.40003953324992303,3,-0.21875,True
claude-haiku-4-5,GRPO,MICI_Confront_rate,6,0,2,2,0,,"3,5",-0.008659689965787691,-0.2185017611137378,-0.004632947052171964,-0.07086919984709908,0.3989623222329227,3,-0.01350172107984608,True
claude-haiku-4-5,GRPO,MICI_Direct,6,0,2,2,0,,"3,4",-0.3833333333333334,-0.21291327802658694,1.0416666666666667,0.26198697474175986,0.42443583970893034,4,-0.6458333333333334,True
claude-haiku-4-5,GRPO,MICI_Direct_rate,6,0,3,3,0,,"3,4,5",-0.033371970989125886,-0.2537684814381813,0.042809515297326996,0.2061844169643543,0.4195079613511595,4,-0.05209027203052938,True
claude-haiku-4-5,GRPO,MICI_Judge,6,0,0,0,0,,,-0.02708333333333333,-0.11450177417725942,0.041666666666666664,0.07697823525253622,0.19554379980043232,3,-0.052083333333333336,True
claude-haiku-4-5,GRPO,MICI_Judge_rate,6,0,0,0,0,,,-0.0019129246441552939,-0.1123908357205444,0.00379296048953178,0.08978132084974993,0.20723258127732888,3,-0.002934027777777777,True
claude-haiku-4-5,GRPO,MICI_OverPraise,6,2,0,0,2,"4,5",,0.4395833333333333,0.27667800016515454,0.08333333333333333,0.12063455590514426,0.6897544620723508,5,1.25,True
claude-haiku-4-5,GRPO,MICI_OverPraise_rate,6,2,0,0,2,"4,5",,0.02894829716193418,0.29130899582296543,0.009009176587301588,0.13143171411767107,0.6870896805284656,5,0.08382858750046251,True
