metric,iteration,n,mean_K0,mean_K5,se_K0,se_K5,mean_delta,dz,ci_lo,ci_hi,p,p_holm,sig,lower_better
conv_len,0,96,28.770833333333332,28.291666666666668,1.521157739974077,1.49420787166401,0.4791666666666667,0.026103111580285214,-3.1666666666666665,4.177604166666663,0.931880383579687,1.0,,False
conv_len,1,96,25.791666666666668,28.125,1.3864884226703196,1.6136241491551997,-2.3333333333333335,-0.13123548503564153,-5.8023437499999995,1.15625,0.14096425824181028,0.5638570329672411,,False
conv_len,2,96,31.208333333333332,29.739583333333332,1.370260305231662,1.403179721741249,1.46875,0.0762030095811439,-2.57421875,5.145833333333333,0.41686000404487866,1.0,,False
conv_len,3,96,27.604166666666668,29.0625,1.190374329915442,1.3037406119828183,-1.4583333333333333,-0.0952019209704713,-4.40625,1.791927083333332,0.48383017655215454,1.0,,False
conv_len,4,96,30.5,25.78125,1.4418555296634448,1.1211878026520756,4.71875,0.27316943712244535,1.3854166666666667,8.323697916666662,0.009711135924095875,0.04855567962047938,*,False
conv_len,5,96,30.677083333333332,22.572916666666668,1.473932470636656,0.9627656607247479,8.104166666666666,0.5305148231163582,5.124479166666667,11.02161458333333,5.480370037431543e-06,3.288222022458926e-05,***,False
n_th_turns,0,96,14.46875,14.239583333333334,0.7581361501400147,0.7445334097087348,0.22916666666666666,0.02512253487959717,-1.55234375,2.0729166666666665,0.9182180812618735,1.0,,False
n_th_turns,1,96,13.0,14.145833333333334,0.6956947808271782,0.8064949025119613,-1.1458333333333333,-0.12928759146367683,-2.875,0.6041666666666666,0.13782710779750024,0.551308431190001,,False
n_th_turns,2,96,15.666666666666666,14.947916666666666,0.6837183339898955,0.7040561978645328,0.71875,0.07466452189797987,-1.3026041666666666,2.5520833333333335,0.42235891919758983,1.0,,False
n_th_turns,3,96,13.8125,14.5625,0.5946236647086786,0.6534007696578522,-0.75,-0.09808895964542191,-2.2083333333333335,0.8752604166666652,0.46221269134248655,1.0,,False
n_th_turns,4,96,15.270833333333334,12.895833333333334,0.7214567327646628,0.5610686792768753,2.375,0.2746754188296749,0.69765625,4.177343749999999,0.009413187365574721,0.047065936827873606,*,False
n_th_turns,5,96,15.34375,11.3125,0.7366990335332143,0.48220812006086294,4.03125,0.527660313003281,2.53125,5.510416666666667,5.607091461038284e-06,3.3642548766229704e-05,***,False
