metric,iteration,n,mean_K0,mean_K5,se_K0,se_K5,mean_delta,dz,ci_lo,ci_hi,p,p_holm,sig,lower_better
Q1Q2,0,96,1.8609681372549016,1.834497549019608,0.06616076638521007,0.0695663486871561,0.02647058823529413,0.042676550713212816,-0.0983501838235294,0.14550091911764687,0.848964240131046,1.0,,False
Q1Q2,1,96,2.073958333333333,2.046262254901961,0.07586325793096964,0.07597794295754604,0.02769607843137256,0.0417831338825315,-0.11238664215686275,0.16311887254901958,0.6470313878292033,1.0,,False
Q1Q2,2,96,2.1067401960784315,2.1416666666666666,0.07088452497039704,0.07389201956266778,-0.03492647058823529,-0.04768098718111185,-0.176922487745098,0.10626072303921563,0.5884159493222747,1.0,,False
Q1Q2,3,96,2.6365808823529413,2.5859068627450976,0.060872107138365425,0.06888513904038172,0.05067401960784316,0.10777213276151798,-0.04258578431372544,0.14393382352941173,0.3449142497560568,1.0,,False
Q1Q2,4,96,2.5504289215686273,2.7835171568627453,0.08013628821465096,0.06150219533642718,-0.23308823529411768,-0.37369185672276384,-0.35552083333333334,-0.10930300245098044,0.0009945916546488616,0.005967549927893169,**,False
Q1Q2,5,96,2.486580882352941,2.7976715686274516,0.08547917289967776,0.07894780373867383,-0.3110906862745098,-0.42905279981954053,-0.4547794117647059,-0.1675398284313728,0.001079858264385145,0.005967549927893169,**,False
Q1,0,96,1.6937499999999999,1.6812500000000001,0.07562332352788728,0.07783124598050062,0.012500000000000011,0.017751633038494894,-0.12921875,0.15213541666666638,0.8440377970861012,1.0,,False
Q1,1,96,1.9604166666666665,1.875,0.09331233120531691,0.08969979170309678,0.08541666666666665,0.10757033503924636,-0.08124999999999998,0.24583333333333332,0.2928841438578086,1.0,,False
Q1,2,96,1.9708333333333332,1.9708333333333332,0.08760853752890307,0.08830664111773859,-1.850371707708594e-17,-2.0275783382928902e-17,-0.17713541666666668,0.17713541666666638,0.9178732078785006,1.0,,False
Q1,3,96,2.5770833333333334,2.5229166666666667,0.08050660818832392,0.0866212663642694,0.05416666666666666,0.08006772139702174,-0.07916666666666665,0.19166666666666665,0.29996259074607656,1.0,,False
Q1,4,96,2.4458333333333333,2.8145833333333328,0.10249001520330782,0.08283596089941044,-0.36874999999999997,-0.4508674346563233,-0.5271354166666666,-0.2041666666666667,4.0779561087935564e-05,0.00020389780543967782,***,False
Q1,5,96,2.3604166666666666,2.8104166666666663,0.10490680039447323,0.10214239251140154,-0.45,-0.49893131132065577,-0.6291666666666665,-0.26666666666666666,1.8270666437513163e-05,0.00010962399862507897,***,False
Q2,0,96,2.0281862745098036,1.9877450980392155,0.06219674908411914,0.06723252462694543,0.040441176470588196,0.06542974473634908,-0.08273590686274515,0.1612132352941173,0.5977187189853694,1.0,,False
Q2,1,96,2.1875,2.2175245098039214,0.06800346112384603,0.06809716874566416,-0.030024509803921545,-0.046849969946645816,-0.16305147058823527,0.10049019607843142,0.7068690225639023,1.0,,False
Q2,2,96,2.2426470588235294,2.3124999999999996,0.06178221040470591,0.06451628393180542,-0.0698529411764706,-0.10085379125805456,-0.20405943627450984,0.06128982843137241,0.2667101061518331,0.8501551900009181,,False
Q2,3,96,2.6960784313725488,2.6488970588235294,0.04838861166562154,0.0569586558464932,0.04718137254901961,0.11647221888114913,-0.03125000000000002,0.1268535539215686,0.21253879750022953,0.8501551900009181,,False
Q2,4,96,2.6550245098039214,2.752450980392157,0.06348063496333627,0.04675563991886181,-0.0974264705882353,-0.17428208623072694,-0.2089460784313726,0.017156862745098013,0.09670519174644981,0.4835259587322491,,False
Q2,5,96,2.6127450980392157,2.7849264705882355,0.07204206048921814,0.06023102065478168,-0.17218137254901955,-0.25686272840020397,-0.3082261029411764,-0.037974877450980424,0.06086612268784277,0.3651967361270566,,False
WAI-SR,0,96,2.222222222222222,2.1649305555555554,0.10975275317325671,0.11133916996255168,0.057291666666666664,0.09744668467213832,-0.056423611111111084,0.175368923611111,0.5202209864845087,1.0,,False
WAI-SR,1,96,2.376736111111111,2.308159722222222,0.11292816485302846,0.11785190418552914,0.06857638888888888,0.1079759969839626,-0.054709201388888906,0.19184027777777776,0.3659195283064366,1.0,,False
WAI-SR,2,96,2.446180555555556,2.4383680555555554,0.11493983063579591,0.1128152718489738,0.007812500000000012,0.009557763258448024,-0.14759114583333333,0.16753472222222218,0.6604321233647144,1.0,,False
WAI-SR,3,96,2.857638888888889,2.771701388888889,0.10007243863489079,0.09705429936044135,0.08593750000000001,0.17771537732086268,-0.009570312499999995,0.17968750000000003,0.07290097874045567,0.43740587244273404,,False
WAI-SR,4,96,2.7795138888888893,2.8515625,0.10101202063026765,0.09160520205576157,-0.07204861111111112,-0.13041512482355275,-0.1753472222222222,0.037369791666666444,0.2037330268577333,0.8149321074309333,,False
WAI-SR,5,96,2.7005208333333335,2.8098958333333335,0.10731767856629303,0.1022164152597331,-0.109375,-0.19448516829426166,-0.21961805555555555,0.0017361111111111212,0.13764823548601435,0.6882411774300717,,False
CSQ-8,0,96,2.0872395833333335,2.0911458333333335,0.09758458627837177,0.1030224298299301,-0.00390625,-0.006975047238850942,-0.12242838541666666,0.10813802083333299,0.9047334749864148,1.0,,False
CSQ-8,1,96,2.2369791666666665,2.25,0.1015990431333225,0.1033962739835639,-0.013020833333333334,-0.018527461370733436,-0.15104166666666666,0.12503255208333316,0.9904344873112324,1.0,,False
CSQ-8,2,96,2.29296875,2.3177083333333335,0.10670420404451282,0.09557644583928097,-0.024739583333333332,-0.02805101061883134,-0.19921875,0.14192708333333334,0.9113005139971211,1.0,,False
CSQ-8,3,96,2.69921875,2.6809895833333335,0.09350439548154685,0.08811403035470033,0.018229166666666668,0.029309188460889295,-0.09638671875,0.1380533854166665,0.6922616431680846,1.0,,False
