metric,iteration,n,mean_K0,mean_K5,se_K0,se_K5,mean_delta,dz,ci_lo,ci_hi,p,p_holm,sig,lower_better
Q1Q2,0,96,3.066789215686274,2.9631740196078433,0.12368445044828764,0.12704447889417614,0.10361519607843139,0.11480487619330243,-0.07568014705882344,0.28505821078431376,0.4035347906645512,1.0,,False
Q1Q2,1,96,3.268995098039216,3.271507352941177,0.11701943264714729,0.12115717331483036,-0.0025122549019607984,-0.0028036128767903725,-0.17924938725490194,0.17654105392156855,0.8773177929162426,1.0,,False
Q1Q2,2,96,3.359375,3.435110294117647,0.11911105608429777,0.10673552087423778,-0.07573529411764708,-0.07605871532356946,-0.2734405637254902,0.11926317401960772,0.4840868482033489,1.0,,False
Q1Q2,3,96,3.9934436274509806,3.861764705882353,0.07949069529356259,0.08726665601887452,0.1316789215686274,0.28097058816314013,0.03994791666666662,0.22470741421568616,0.013930033497494762,0.06965016748747381,,False
Q1Q2,4,96,4.004411764705883,4.119852941176471,0.07421409805357677,0.06817569781436911,-0.11544117647058817,-0.24800864666276698,-0.20833486519607833,-0.020701593137254868,0.007364025307814908,0.044184151846889445,*,False
Q1Q2,5,96,3.9717524509803925,4.041544117647059,0.08327234548740935,0.0890018223582046,-0.06979166666666664,-0.1346954978083373,-0.1769653799019608,0.03617647058823523,0.12179673723969116,0.48718694895876463,,False
Q1,0,96,3.0208333333333335,2.9104166666666664,0.1323034512640327,0.13639692437709938,0.1104166666666667,0.11961595886997403,-0.07083333333333332,0.2979166666666667,0.3453967780760233,1.0,,False
Q1,1,96,3.1770833333333335,3.172916666666667,0.1297389346147515,0.13392259454778108,0.004166666666666661,0.004355068168352614,-0.19374999999999998,0.19588541666666642,0.8947438770438549,1.0,,False
Q1,2,96,3.3020833333333335,3.3604166666666657,0.13045113327416755,0.12130936931991412,-0.05833333333333337,-0.05545614701138159,-0.26249999999999996,0.1479166666666666,0.35581054068262663,1.0,,False
Q1,3,96,3.935416666666667,3.80625,0.09945001352467722,0.10334124722100554,0.12916666666666665,0.23492684092484334,0.02078124999999997,0.23958333333333334,0.02490159297205208,0.1245079648602604,,False
Q1,4,96,3.897916666666667,4.1000000000000005,0.09629062330999266,0.08397994748121346,-0.2020833333333333,-0.35937291909176394,-0.31458333333333327,-0.0895833333333333,0.0016328540882851721,0.009797124529711033,**,False
Q1,5,96,3.86875,3.9874999999999994,0.10322977797807914,0.10499843357227565,-0.11875000000000002,-0.21003895038785372,-0.2395833333333334,-0.004114583333333586,0.04095511570231295,0.1638204628092518,,False
Q2,0,96,3.112745098039216,3.0159313725490193,0.11808055668746555,0.12069541150350314,0.09681372549019607,0.10318763880276785,-0.09197303921568627,0.2861672794117646,0.5036197732561128,1.0,,False
Q2,1,96,3.360906862745098,3.370098039215686,0.10962255054246826,0.11131678161262593,-0.009191176470588218,-0.01017312876577734,-0.1918045343137255,0.17343749999999986,0.9193762685085668,1.0,,False
Q2,2,96,3.4166666666666665,3.509803921568627,0.11057726526330791,0.09467659532589397,-0.09313725490196083,-0.09378453120644002,-0.29168198529411765,0.100551470588235,0.4592100412079235,1.0,,False
Q2,3,96,4.051470588235294,3.9172794117647065,0.06175149743283145,0.07500368333596852,0.13419117647058817,0.27794882592175685,0.04044117647058821,0.22916666666666663,0.02532630916557982,0.1519578549934789,,False
Q2,4,96,4.1109068627450975,4.139705882352941,0.05475389461624641,0.05438805162026067,-0.02879901960784309,-0.06877583224838854,-0.11153492647058813,0.05393688725490194,0.487717016017001,1.0,,False
Q2,5,96,4.074754901960784,4.095588235294118,0.0664295651300955,0.07488051754609218,-0.020833333333333287,-0.03935451563837282,-0.12440257352941173,0.08887867647058814,0.35872816827002707,1.0,,False
WAI-SR,0,96,2.889756944444444,2.8567708333333335,0.11322120189030221,0.11258188976618766,0.0329861111111111,0.05093699476111698,-0.09290364583333335,0.1614583333333333,0.7864033431451183,1.0,,False
WAI-SR,1,96,2.975694444444444,2.9635416666666665,0.10710701454609432,0.11191784411624307,0.012152777777777776,0.01776210186928569,-0.12068142361111106,0.14845920138888874,0.9354974548650765,1.0,,False
WAI-SR,2,96,3.0043402777777772,3.0442708333333335,0.11207121143380626,0.11028765444515597,-0.03993055555555558,-0.04649012103995734,-0.20572916666666666,0.12586805555555555,0.4397202544521426,1.0,,False
WAI-SR,3,96,3.3012152777777772,3.3203125,0.09681176244868309,0.09013986422297819,-0.019097222222222255,-0.03951669828283403,-0.1137369791666667,0.0755208333333333,0.7675515299964133,1.0,,False
WAI-SR,4,96,3.291666666666666,3.440972222222222,0.09332465237406858,0.07883429639550378,-0.14930555555555555,-0.28842483878122493,-0.2500217013888889,-0.04769965277777801,0.017969595908905844,0.08984797954452922,,False
WAI-SR,5,96,3.2083333333333335,3.4635416666666665,0.09853180238822055,0.08686602426040325,-0.2552083333333333,-0.4458822078713585,-0.3776258680555556,-0.14409722222222224,7.22221186057721e-05,0.00043333271163463255,***,False
CSQ-8,0,96,2.3619791666666665,2.35546875,0.1266811181557286,0.12763570087888107,0.006510416666666667,0.011166516069385743,-0.10680338541666666,0.12373046874999982,0.6812379412129203,1.0,,False
CSQ-8,1,96,2.4765625,2.3958333333333335,0.12477106914555026,0.12518717711037938,0.08072916666666667,0.11539017604761453,-0.06383463541666666,0.21484375,0.2997257565355598,1.0,,False
CSQ-8,2,96,2.5143229166666665,2.58203125,0.12267394157619735,0.11737763267335519,-0.06770833333333333,-0.08571459732703775,-0.22399088541666667,0.08466796874999982,0.3692203573222558,1.0,,False
CSQ-8,3,96,2.8111979166666665,2.8307291666666665,0.1064335809482284,0.10238017116212336,-0.01953125,-0.0406636354316591,-0.1171875,0.07682291666666667,0.9822690277455621,1.0,,False
CSQ-8,4,96,2.7513020833333335,2.9205729166666665,0.10677910684140905,0.09375218914963561,-0.16927083333333334,-0.3045726807099146,-0.2747721354166667,-0.05595703125000018,0.001614124768467691,0.008070623842338455,**,False
CSQ-8,5,96,2.71484375,2.9075520833333335,0.11033341250075837,0.10233440289221017,-0.19270833333333334,-0.3614942227094556,-0.3033854166666667,-0.08203125,0.0007367198254060477,0.004420318952436286,**,False
MI-SAT,0,96,2.8576388888888893,2.8159722222222228,0.14626563258171385,0.14932595399891746,0.04166666666666665,0.052971708395700874,-0.11111111111111105,0.19791666666666666,0.5532593484754145,1.0,,False
MI-SAT,1,96,2.986111111111112,2.946180555555556,0.14273903267499347,0.14623471895948156,0.039930555555555525,0.044501708710688904,-0.1337239583333334,0.21701388888888884,0.6012085486430814,1.0,,False
MI-SAT,2,96,3.053819444444445,3.1440972222222228,0.14190070948640568,0.13397642317505115,-0.09027777777777778,-0.08647004192780444,-0.3020833333333333,0.11111111111111112,0.11033628340588379,0.44134513362353517,,False
MI-SAT,3,96,3.425347222222222,3.4895833333333335,0.12151250426160504,0.11234184518829969,-0.06423611111111106,-0.0900896755984322,-0.2118055555555555,0.07986111111111115,0.6249435659338091,1.0,,False
MI-SAT,4,96,3.409722222222222,3.6215277777777772,0.11497088014515472,0.09947716534273775,-0.21180555555555555,-0.2958452519397987,-0.3541666666666667,-0.06770833333333333,0.004823033368039229,0.024115166840196146,*,False
MI-SAT,5,96,3.321180555555556,3.559027777777778,0.1232638888888889,0.11326438301475936,-0.2378472222222222,-0.34499995735522127,-0.38546006944444444,-0.0989583333333333,0.00314376573289194,0.01886259439735164,*,False
MITI,0,96,3.2239583333333335,3.1197916666666665,0.10169069451108198,0.10098060643738475,0.10416666666666667,0.12795697317589644,-0.057291666666666664,0.2682291666666667,0.37872076323288184,1.0,,False
MITI,1,96,3.2838541666666665,3.2994791666666665,0.10317199166368915,0.09820341958525836,-0.015625,-0.01650870707673533,-0.19798177083333332,0.16927083333333334,0.72794558945305,1.0,,False
MITI,2,96,3.4947916666666665,3.5364583333333335,0.10023130914341256,0.08261581174415827,-0.041666666666666664,-0.04195284853172538,-0.23704427083333332,0.15891927083333296,0.7046920715552443,1.0,,False
MITI,3,96,3.9375,3.8645833333333335,0.05818433351570393,0.06569849337818748,0.07291666666666667,0.16698383660340657,-0.018229166666666668,0.15625,0.11580519343837445,0.6948311606302466,,False
MITI,4,96,4.0390625,4.083333333333333,0.05012704870140629,0.04864764708854337,-0.044270833333333336,-0.10663443664566226,-0.125,0.036458333333333336,0.2744758407221797,1.0,,False
MITI,5,96,3.9401041666666665,4.010416666666667,0.059895833333333336,0.06559409951979574,-0.0703125,-0.14623441532040124,-0.16927083333333334,0.028645833333333332,0.16440599243109266,0.8220299621554633,,False
PCT,0,96,0.48716028577614096,0.4707383425732757,0.03261906338060557,0.03318264550431069,0.016421943202865094,0.07141605396288182,-0.028528648695167788,0.062367440676279966,0.3209295212958708,0.9573744584654621,,False
PCT,1,96,0.4806012272855682,0.4768613745855594,0.031042112906202058,0.03297553374252737,0.0037398527000088414,0.01787688324422572,-0.036652878383885035,0.04646688263379922,0.735249483670841,0.9573744584654621,,False
PCT,2,96,0.5032057789563216,0.5148368634165953,0.02824264614431233,0.03053711852667037,-0.0116310844602737,-0.04835535427360004,-0.059942315670999016,0.035998754475552217,0.31912481948848737,0.9573744584654621,,False
PCT,3,96,0.5436435314277848,0.5795232014421593,0.02794528352493003,0.02662566044152118,-0.035879670014374386,-0.20071128210407635,-0.07148400386258096,-0.0007947252137540225,0.01764274358856231,0.07057097435424924,,False
PCT,4,96,0.551769948550618,0.6137562707800542,0.02930168277813704,0.0244043837270538,-0.06198632222943621,-0.321200033449908,-0.10098148801455732,-0.024699391151031785,0.002230042228047965,0.013380253368287789,*,False
PCT,5,96,0.5222830607215282,0.5782141979752274,0.029704816981114036,0.027729461139857452,-0.05593113725369917,-0.3093732097154723,-0.09390778998872071,-0.019493301347077004,0.0033783495791212675,0.016891747895606338,*,False
MICI,0,96,0.21132584867781182,0.20902164964664963,0.022887843749167795,0.021368951813594488,0.0023041990311622085,0.00727129241829498,-0.05523267485101965,0.06861942581369984,0.778333379130508,1.0,,True
MICI,1,96,0.22755203635839275,0.22799043862969862,0.022289815787977212,0.023883611161390855,-0.00043840227130583696,-0.0014407693063622805,-0.06327808101936122,0.059405286845520204,0.8257136946275876,1.0,,True
MICI,2,96,0.169247692642297,0.22758187168720423,0.014816407127016557,0.019818155583543818,-0.05833417904490728,-0.22249380249380488,-0.11002296904469425,-0.00718063716871235,0.07663424460123142,0.22990273380369425,,True
MICI,3,96,0.23038935956295292,0.3078285534375898,0.014476567380779888,0.020423839572468277,-0.07743919387463692,-0.31939157951725244,-0.1261975739730319,-0.028878425386959106,0.0014578713268923124,0.008747227961353875,**,True
MICI,4,96,0.25070171270006797,0.30497848760716406,0.014002696755631651,0.018247062307259684,-0.05427677490709612,-0.24536413498386483,-0.09901428245414073,-0.010974298644359655,0.018259069863518718,0.09129534931759359,,True
