iteration,PTO_LA0 · gpt-4o-mini,PTO_LA5 · gpt-4o-mini,GRPO_LA0 · gpt-4o-mini,GRPO_LA5 · gpt-4o-mini,PTO_LA0 · claude-haiku-4-5,PTO_LA5 · claude-haiku-4-5,GRPO_LA0 · claude-haiku-4-5,GRPO_LA5 · claude-haiku-4-5
0,3.0003676470588236,3.003247549019608,3.0667892156862746,2.9631740196078433,1.829718137254902,1.833700980392157,1.860968137254902,1.8344975490196076
1,3.263541666666667,3.180759803921569,3.2689950980392157,3.2715073529411764,2.0715686274509806,2.011519607843137,2.073958333333333,2.046262254901961
2,3.466299019607843,3.308026960784314,3.359375,3.435110294117647,2.199203431372549,2.063112745098039,2.1067401960784315,2.1416666666666666
3,3.814889705882353,3.674203431372549,3.9934436274509806,3.861764705882353,2.480208333333333,2.3499387254901962,2.6365808823529413,2.585906862745098
4,4.0075980392156865,3.8879901960784315,4.004411764705883,4.119852941176471,2.6804534313725488,2.5573529411764704,2.5504289215686273,2.783517156862745
5,4.014460784313726,4.016544117647059,3.9717524509803925,4.041544117647059,2.7519607843137255,2.578799019607843,2.4865808823529414,2.7976715686274507
6,4.15392156862745,3.8971200980392156,3.965563725490196,,2.8495710784313726,2.5067401960784315,2.370526960784314,
7,4.129044117647059,4.085416666666666,4.074019607843137,,2.813235294117647,2.7352941176470584,2.5651960784313723,
8,4.220649509803922,4.1438725490196076,4.082291666666667,,2.8954656862745094,2.7096813725490194,2.617156862745098,
9,4.238419117647059,4.19718137254902,3.807475490196078,,2.9210784313725493,2.733639705882353,2.0022058823529414,
10,4.2597426470588236,4.306740196078431,3.7525735294117646,,2.866053921568627,2.666973039215686,2.257169117647059,
