metric,iteration,n,mean_K0,mean_K5,se_K0,se_K5,mean_delta,dz,ci_lo,ci_hi,p,p_holm,sig,lower_better
Q1Q2,0,96,1.829718137254902,1.833700980392157,0.07053937990427969,0.06699411625426109,-0.003982843137254916,-0.005725458039515019,-0.1380821078431373,0.13672487745098022,0.9700060242656776,0.9700060242656776,,False
Q1Q2,1,96,2.0715686274509806,2.0115196078431374,0.07860542477966569,0.0797992456152365,0.0600490196078431,0.08986338539518078,-0.06783854166666667,0.1970235906862744,0.36788079911236693,0.7357615982247339,,False
Q1Q2,2,96,2.199203431372549,2.063112745098039,0.07815179885981571,0.07088112605759347,0.13609068627450985,0.19711704544167283,0.0002941176470588419,0.2695113357843137,0.049575240983465566,0.2763931642142965,,False
Q1Q2,3,96,2.480208333333333,2.3499387254901962,0.0710099908812206,0.07573853754773315,0.13026960784313726,0.19949795484356975,0.0008471200980392021,0.2565563725490196,0.04606552736904941,0.2763931642142965,,False
Q1Q2,4,96,2.6804534313725497,2.557352941176471,0.06810555432573975,0.07475998138692404,0.12310049019607842,0.21444441177914883,0.015497855392156864,0.23483302696078412,0.18561743218905968,0.5857700658639764,,False
Q1Q2,5,96,2.751960784313726,2.5787990196078434,0.07099409608345311,0.06879932843260958,0.17316176470588238,0.33011578852891504,0.07119178921568628,0.2784957107843137,0.0023766618913554035,0.021389957022198633,*,False
Q1Q2,6,96,2.8495710784313726,2.5067401960784315,0.07182475752171234,0.07868417297668594,0.3428308823529412,0.5106517551078329,0.21003063725490195,0.48034160539215676,9.019916271104345e-06,9.92190789821478e-05,***,False
Q1Q2,7,96,2.8132352941176464,2.7352941176470593,0.07330460991644885,0.07335888378476257,0.07794117647058826,0.12182517154368538,-0.052314644607843054,0.2070526960784314,0.1464425164659941,0.5857700658639764,,False
Q1Q2,8,96,2.8954656862745103,2.7096813725490194,0.07363823109530941,0.0751511043427394,0.18578431372549023,0.3366397359170162,0.07321078431372555,0.2934160539215685,0.0004708952500568808,0.0047089525005688075,**,False
Q1Q2,9,96,2.9210784313725484,2.7336397058823523,0.07248524167881044,0.07247639709851934,0.1874387254901961,0.28870352810447225,0.05739430147058821,0.3203538602941176,0.011624958575557504,0.09299966860446003,,False
Q1Q2,10,96,2.866053921568627,2.666973039215686,0.06821882692291849,0.06686667754762017,0.1990808823529412,0.30781875524334984,0.06844209558823532,0.33157322303921566,0.032362563631031745,0.22653794541722222,,False
Q1,0,96,1.6729166666666664,1.6833333333333336,0.08122525489134365,0.07675814527134613,-0.010416666666666649,-0.012397318689062228,-0.17499999999999996,0.15625000000000003,0.885330527250729,1.0,,False
Q1,1,96,1.9145833333333335,1.8625,0.0945786960761354,0.09287382971329457,0.05208333333333335,0.06368518176180539,-0.10625,0.21666666666666665,0.5174433017089224,1.0,,False
Q1,2,96,2.0791666666666666,1.90625,0.09735444225560838,0.08329577004276716,0.17291666666666664,0.2017163655985152,0.00416666666666667,0.3395833333333333,0.05020957434725652,0.5020957434725652,,False
Q1,3,96,2.3666666666666667,2.225,0.08873707796545903,0.0914431085717407,0.14166666666666664,0.16318986618959994,-0.03124999999999999,0.3104166666666666,0.11952958415163693,0.9562366732130955,,False
Q1,4,96,2.59375,2.475,0.09140487937568875,0.09357659401457409,0.11874999999999998,0.15994463734969067,-0.02291666666666668,0.2625520833333331,0.19155655315984166,1.0,,False
Q1,5,96,2.6479166666666667,2.5374999999999996,0.09108241841565498,0.08636481678870957,0.11041666666666665,0.16624162036703674,-0.018750000000000006,0.24791666666666665,0.09295331118462719,0.8365798006616447,,False
Q1,6,96,2.7604166666666665,2.4479166666666665,0.09170030283993436,0.09700537115110557,0.31250000000000006,0.3788886068520947,0.14583333333333334,0.4791666666666667,0.0005669936628485905,0.0062369302913344955,**,False
Q1,7,96,2.658333333333333,2.7083333333333335,0.09118694248373593,0.0963781235035134,-0.04999999999999998,-0.060540263104731554,-0.21875,0.10833333333333332,0.8088208019919712,1.0,,False
Q1,8,96,2.7229166666666664,2.658333333333333,0.08916620552430354,0.09318518944641226,0.06458333333333333,0.10018344896773138,-0.06671875000000001,0.1854687499999997,0.23604287119200873,1.0,,False
Q1,9,96,2.720833333333333,2.6749999999999994,0.08627166225129977,0.08999268976159296,0.04583333333333334,0.05428628416192628,-0.12499999999999996,0.22291666666666665,0.6928335979880846,1.0,,False
Q1,10,96,2.639583333333333,2.6041666666666665,0.08141402696433649,0.0836649105148747,0.03541666666666666,0.041306525594239474,-0.13541666666666666,0.2104166666666667,0.8538891470268303,1.0,,False
Q2,0,96,1.986519607843137,1.9840686274509804,0.06708316578057338,0.06366480698053069,0.0024509803921568354,0.0035790098010058894,-0.1268535539215687,0.13481924019607833,0.95106028151743,0.95106028151743,,False
Q2,1,96,2.2285539215686274,2.1605392156862746,0.0683959854786071,0.07361439447443685,0.06801470588235287,0.10649533681578156,-0.05392156862745104,0.19546568627450975,0.337286927661795,0.67457385532359,,False
Q2,2,96,2.319240196078431,2.2199754901960786,0.06508674378353795,0.06422707730092624,0.09926470588235294,0.15578795944166784,-0.026378676470588183,0.22797181372549002,0.11606910465749756,0.46427641862999025,,False
Q2,3,96,2.59375,2.474877450980392,0.060018045285395664,0.0657854217903785,0.11887254901960782,0.20925529672990592,0.008578431372549005,0.22734374999999996,0.02485533002722921,0.12427665013614606,,False
Q2,4,96,2.767156862745098,2.6397058823529407,0.05219282941710075,0.06267844676557922,0.12745098039215685,0.23321937831947,0.02326899509803919,0.23471200980392143,0.11637235711873566,0.46427641862999025,,False
