judge,method,metric,n_iters,n_sig_K0_higher,n_sig_K5_higher,n_sig_K0_better,n_sig_K5_better,iters_sig_K0_higher,iters_sig_K5_higher,mean_delta_iters1toN,mean_dz_iters1toN,base_delta,base_dz,max_abs_dz,max_abs_dz_iter,max_abs_dz_delta,lower_better
claude-haiku-4-5,GRPO,CSQ-8,6,0,1,0,1,,4,-0.07994791666666666,-0.12193584093264817,-0.00390625,-0.006975047238850942,0.3687641080802266,4,-0.24348958333333334,False
claude-haiku-4-5,GRPO,MI-SAT,6,0,2,0,2,,"4,5",-0.11180555555555556,-0.2003972496690518,0.08159722222222222,0.12263854348556671,0.4650600752188053,4,-0.2552083333333333,False
claude-haiku-4-5,GRPO,MICI,6,0,1,1,0,,3,-0.04648791101206466,-0.14162369952117396,0.057313706772436905,0.14710484113392083,0.3542902838037176,3,-0.11060569293873741,True
claude-haiku-4-5,GRPO,MITI,6,1,0,1,0,3,,-0.005208333333333331,-0.0047243577496472846,0.057291666666666664,0.1141399001343057,0.2913276037003906,3,0.1328125,False
claude-haiku-4-5,GRPO,PCT,6,0,2,0,2,,"4,5",-0.029065590694048425,-0.16320703172483747,0.019184836697950423,0.08797454454846312,0.3729990632089324,5,-0.06744086563770194,False
claude-haiku-4-5,GRPO,Q1,6,0,2,0,2,,"4,5",-0.13583333333333333,-0.1524321379081422,0.012500000000000011,0.017751633038494894,0.49893131132065577,5,-0.45,False
claude-haiku-4-5,GRPO,Q1Q2,6,0,2,0,2,,"4,5",-0.10014705882352941,-0.14017407541587334,0.02647058823529413,0.042676550713212816,0.42905279981954053,5,-0.3110906862745098,False
claude-haiku-4-5,GRPO,Q2,6,0,0,0,0,,,-0.06446078431372548,-0.09247527139089642,0.040441176470588196,0.06542974473634908,0.25686272840020397,5,-0.17218137254901955,False
claude-haiku-4-5,GRPO,WAI-SR,6,0,0,0,0,,,-0.0038194444444444448,-0.005930231110908219,0.057291666666666664,0.09744668467213832,0.19448516829426166,5,-0.109375,False
claude-haiku-4-5,PTO,CSQ-8,11,0,0,0,0,,,0.023046875,0.032345332616117696,-0.057291666666666664,-0.07927101056765573,0.13904457426457456,1,0.09375,False
