coop,arm,n_convs_mean,n_pairs,agreement [CI],agr 12-20 [CI],agr 22-34 [CI],agr 36-50 [CI],agr train_iter_1 [CI],pairs_iter1
Cooperative,PTO_LA0,7.2,7035,"0.690 [0.639, 0.734]","0.698 [0.648, 0.742]","0.633 [0.450, 0.790]","0.515 [0.157, 0.859]","0.741 [0.615, 0.844]",1567
Cooperative,PTO_LA5,10.2,7535,"0.720 [0.673, 0.769]","0.724 [0.677, 0.773]","0.691 [0.567, 0.816]","0.691 [0.358, 0.913]","0.780 [0.666, 0.868]",1490
Cooperative,GRPO_LA0,11.7,16185,"0.790 [0.753, 0.821]","0.769 [0.735, 0.803]","0.816 [0.757, 0.866]","0.877 [0.808, 0.933]","0.745 [0.577, 0.853]",1991
Cooperative,GRPO_LA5,10.6,7595,"0.745 [0.691, 0.792]","0.732 [0.681, 0.779]","0.778 [0.658, 0.868]","0.871 [0.680, 0.967]","0.706 [0.591, 0.812]",1471
Warms up,PTO_LA0,9.9,15343,"0.721 [0.682, 0.758]","0.732 [0.693, 0.767]","0.676 [0.600, 0.751]","0.701 [0.450, 0.887]","0.685 [0.541, 0.802]",2286
Warms up,PTO_LA5,14.0,22035,"0.715 [0.674, 0.755]","0.732 [0.692, 0.766]","0.670 [0.605, 0.733]","0.679 [0.515, 0.826]","0.588 [0.444, 0.740]",3280
Warms up,GRPO_LA0,17.0,33565,"0.776 [0.745, 0.804]","0.749 [0.717, 0.779]","0.813 [0.773, 0.849]","0.815 [0.750, 0.868]","0.824 [0.743, 0.889]",3201
Warms up,GRPO_LA5,16.7,16625,"0.817 [0.778, 0.850]","0.766 [0.722, 0.810]","0.874 [0.834, 0.907]","0.929 [0.868, 0.969]","0.839 [0.754, 0.903]",4186
Resistant,PTO_LA0,16.9,31643,"0.688 [0.649, 0.725]","0.704 [0.669, 0.738]","0.672 [0.619, 0.719]","0.656 [0.564, 0.737]","0.668 [0.523, 0.787]",5749
Resistant,PTO_LA5,18.7,33982,"0.681 [0.642, 0.718]","0.689 [0.655, 0.724]","0.676 [0.631, 0.720]","0.657 [0.577, 0.733]","0.629 [0.472, 0.762]",3609
Resistant,GRPO_LA0,19.2,39436,"0.791 [0.764, 0.815]","0.762 [0.736, 0.789]","0.804 [0.772, 0.835]","0.848 [0.806, 0.885]","0.853 [0.782, 0.913]",2708
Resistant,GRPO_LA5,17.0,17243,"0.760 [0.722, 0.795]","0.727 [0.686, 0.767]","0.787 [0.734, 0.831]","0.864 [0.800, 0.920]","0.738 [0.627, 0.808]",2345
