arm,train_iter,eval_iter,n_convs,n_pairs,agreement [CI],agr 12-20 [CI],agr 22-34 [CI],agr 36-50 [CI],agreement_heldout [CI]
PTO_LA0,1,0,87,26808,"0.809 [0.756, 0.855]","0.832 [0.785, 0.870]","0.780 [0.700, 0.846]","0.771 [0.654, 0.869]","0.745 [0.681, 0.802]"
PTO_LA0,2,1,84,19334,"0.809 [0.746, 0.866]","0.848 [0.800, 0.890]","0.758 [0.671, 0.835]","0.639 [0.479, 0.764]","0.763 [0.703, 0.821]"
PTO_LA0,3,2,87,20935,"0.808 [0.755, 0.855]","0.828 [0.784, 0.865]","0.758 [0.669, 0.835]","0.771 [0.580, 0.904]","0.799 [0.758, 0.835]"
PTO_LA0,4,3,76,14589,"0.821 [0.778, 0.863]","0.839 [0.799, 0.875]","0.782 [0.712, 0.851]","0.757 [0.563, 0.901]","0.787 [0.734, 0.837]"
PTO_LA0,5,4,83,14814,"0.839 [0.789, 0.878]","0.843 [0.797, 0.880]","0.823 [0.738, 0.887]","0.853 [0.707, 0.961]","0.774 [0.729, 0.816]"
PTO_LA0,6,5,84,13882,"0.868 [0.827, 0.900]","0.889 [0.861, 0.912]","0.806 [0.713, 0.879]","0.682 [0.485, 0.853]","0.796 [0.756, 0.835]"
PTO_LA0,7,6,85,11541,"0.877 [0.847, 0.904]","0.887 [0.858, 0.911]","0.827 [0.743, 0.896]","0.839 [0.563, 1.000]","0.823 [0.779, 0.860]"
PTO_LA0,8,7,84,11120,"0.869 [0.822, 0.907]","0.872 [0.829, 0.908]","0.840 [0.743, 0.919]","0.898 [0.778, 0.985]","0.803 [0.753, 0.847]"
PTO_LA0,9,8,88,9637,"0.868 [0.824, 0.903]","0.871 [0.828, 0.904]","0.844 [0.725, 0.938]","0.852 [0.529, 1.000]","0.775 [0.711, 0.833]"
PTO_LA0,10,9,82,8555,"0.877 [0.833, 0.921]","0.883 [0.840, 0.921]","0.831 [0.685, 0.937]","0.845 [0.000, 1.000]","0.816 [0.769, 0.857]"
