n_turns,PTO_LA0 (iters 1-10),PTO_LA0 (iters 1-10) pairs,PTO_LA5 (iters 1-10),PTO_LA5 (iters 1-10) pairs,GRPO_LA0 (iters 1-10),GRPO_LA0 (iters 1-10) pairs,GRPO_LA0 (iters 1-5),GRPO_LA0 (iters 1-5) pairs,GRPO_LA5 (iters 1-5),GRPO_LA5 (iters 1-5) pairs
12,"0.804 [0.789, 0.819]",33645,"0.817 [0.802, 0.831]",35656,"0.760 [0.743, 0.776]",41575,"0.784 [0.762, 0.805]",20171,"0.799 [0.777, 0.818]",19867
14,"0.804 [0.787, 0.819]",27959,"0.811 [0.795, 0.826]",31893,"0.771 [0.755, 0.787]",38779,"0.801 [0.781, 0.820]",19396,"0.813 [0.792, 0.831]",18638
16,"0.796 [0.780, 0.813]",21630,"0.798 [0.781, 0.814]",27544,"0.774 [0.758, 0.791]",32763,"0.808 [0.787, 0.827]",16599,"0.809 [0.785, 0.828]",17087
18,"0.788 [0.768, 0.808]",16168,"0.788 [0.770, 0.805]",22443,"0.756 [0.738, 0.776]",26672,"0.799 [0.777, 0.819]",13889,"0.807 [0.783, 0.828]",14340
20,"0.776 [0.750, 0.799]",12029,"0.780 [0.760, 0.800]",17555,"0.747 [0.727, 0.768]",22210,"0.798 [0.774, 0.822]",11404,"0.811 [0.785, 0.832]",11685
22,"0.771 [0.742, 0.797]",8934,"0.781 [0.759, 0.803]",13784,"0.736 [0.712, 0.760]",17622,"0.795 [0.768, 0.820]",9232,"0.809 [0.782, 0.831]",9028
24,"0.754 [0.722, 0.786]",6755,"0.779 [0.755, 0.802]",10254,"0.729 [0.702, 0.753]",14065,"0.796 [0.767, 0.823]",7324,"0.816 [0.789, 0.841]",6707
26,"0.747 [0.710, 0.781]",5185,"0.770 [0.742, 0.797]",7544,"0.728 [0.700, 0.754]",11313,"0.795 [0.766, 0.825]",5677,"0.814 [0.782, 0.841]",5172
28,"0.741 [0.699, 0.782]",3892,"0.775 [0.746, 0.804]",6069,"0.721 [0.692, 0.750]",9457,"0.788 [0.757, 0.821]",4400,"0.818 [0.787, 0.846]",4346
30,"0.717 [0.668, 0.763]",3026,"0.770 [0.735, 0.801]",5147,"0.723 [0.691, 0.753]",8499,"0.783 [0.747, 0.817]",3744,"0.813 [0.780, 0.841]",3439
32,"0.722 [0.671, 0.770]",2536,"0.783 [0.749, 0.816]",3925,"0.713 [0.679, 0.747]",6970,"0.798 [0.760, 0.835]",2826,"0.811 [0.771, 0.843]",2564
34,"0.722 [0.661, 0.774]",2055,"0.784 [0.744, 0.820]",3148,"0.714 [0.679, 0.748]",6370,"0.792 [0.754, 0.834]",2433,"0.818 [0.774, 0.854]",2030
36,"0.728 [0.665, 0.784]",1719,"0.772 [0.729, 0.811]",2632,"0.722 [0.685, 0.758]",5586,"0.775 [0.729, 0.820]",2095,"0.825 [0.782, 0.863]",1795
38,"0.729 [0.663, 0.788]",1392,"0.781 [0.736, 0.823]",2146,"0.709 [0.670, 0.745]",5203,"0.777 [0.729, 0.826]",1797,"0.826 [0.780, 0.864]",1428
40,"0.726 [0.653, 0.795]",1107,"0.775 [0.725, 0.820]",1780,"0.714 [0.674, 0.756]",4744,"0.769 [0.709, 0.828]",1499,"0.835 [0.784, 0.877]",1273
42,"0.712 [0.631, 0.785]",961,"0.778 [0.725, 0.825]",1517,"0.722 [0.683, 0.757]",4499,"0.766 [0.702, 0.824]",1348,"0.831 [0.778, 0.874]",1151
44,"0.707 [0.621, 0.789]",870,"0.768 [0.711, 0.819]",1373,"0.710 [0.667, 0.751]",4265,"0.757 [0.686, 0.819]",1290,"0.823 [0.766, 0.873]",1036
46,"0.704 [0.606, 0.789]",658,"0.786 [0.725, 0.835]",1215,"0.709 [0.668, 0.750]",3960,"0.762 [0.691, 0.827]",1076,"0.824 [0.766, 0.872]",951
48,"0.703 [0.597, 0.796]",518,"0.781 [0.717, 0.831]",1139,"0.717 [0.676, 0.757]",3810,"0.748 [0.677, 0.811]",1038,"0.823 [0.763, 0.875]",926
50,,,,,"0.719 [0.674, 0.759]",3607,"0.759 [0.686, 0.829]",938,"0.836 [0.777, 0.888]",836
12-20,"0.797 [0.782, 0.811]",111431,"0.802 [0.787, 0.816]",135091,"0.763 [0.747, 0.779]",161999,"0.797 [0.778, 0.815]",81459,"0.807 [0.786, 0.825]",81617
22-34,"0.748 [0.716, 0.779]",32383,"0.777 [0.752, 0.801]",49871,"0.726 [0.700, 0.751]",74296,"0.793 [0.767, 0.819]",35636,"0.814 [0.788, 0.836]",33286
36-50,"0.719 [0.650, 0.780]",7225,"0.777 [0.731, 0.817]",11802,"0.715 [0.678, 0.751]",35674,"0.766 [0.710, 0.817]",11081,"0.828 [0.784, 0.866]",9396
all,"0.783 [0.765, 0.800]",151039,"0.794 [0.778, 0.810]",196764,"0.747 [0.729, 0.765]",271969,"0.793 [0.773, 0.814]",128176,"0.810 [0.790, 0.828]",124299
