judge,method,train_iter,eval_iter,agr_K0,agr_K5,delta_K0_minus_K5 [CI],pairs_K0,pairs_K5
gpt-4o-mini,PTO,1,0,0.8090868397493286,0.8050364269876465,"0.004 [-0.067, 0.074]",26808,25256
gpt-4o-mini,PTO,2,1,0.8091962346125996,0.8525339304482932,"-0.043 [-0.114, 0.026]",19334,21883
gpt-4o-mini,PTO,3,2,0.8075949367088607,0.8213034337771549,"-0.014 [-0.076, 0.050]",20935,22832
gpt-4o-mini,PTO,4,3,0.8211666323942697,0.8655054069805089,"-0.044 [-0.100, 0.009]",14589,15443
gpt-4o-mini,PTO,5,4,0.839341163764007,0.8924129810876444,"-0.053 [-0.109, -0.006]",14814,13589
gpt-4o-mini,PTO,6,5,0.8678144359602363,0.8875954668637596,"-0.020 [-0.073, 0.026]",13882,16236
gpt-4o-mini,PTO,7,6,0.8774802876700459,0.8667365711834517,"0.011 [-0.035, 0.055]",11541,20981
gpt-4o-mini,PTO,8,7,0.8685251798561151,0.8994482603310437,"-0.031 [-0.084, 0.022]",11120,17762
gpt-4o-mini,PTO,9,8,0.8676974162083636,0.8791680068617991,"-0.011 [-0.076, 0.048]",9637,18654
gpt-4o-mini,PTO,10,9,0.8774985388661601,0.8952172632818743,"-0.018 [-0.076, 0.041]",8555,23773
gpt-4o-mini,GRPO,1,0,0.8949562823834197,0.8797465733570748,"0.015 [-0.023, 0.057]",24704,24149
gpt-4o-mini,GRPO,2,1,0.8868349864743011,0.8991514221141955,"-0.012 [-0.049, 0.027]",19962,23451
gpt-4o-mini,GRPO,3,2,0.8998284847285442,0.8644567353176624,"0.035 [-0.010, 0.085]",30318,27482
gpt-4o-mini,GRPO,4,3,0.9022764684626812,0.9002896000586532,"0.002 [-0.030, 0.031]",24907,27279
gpt-4o-mini,GRPO,5,4,0.8979393328049571,0.9087717698550196,"-0.011 [-0.045, 0.021]",27758,21934
claude-haiku-4-5,PTO,1,0,0.7450608197102347,0.7378920802788126,"0.007 [-0.074, 0.092]",25814,24963
claude-haiku-4-5,PTO,2,1,0.7626459143968871,0.812360594795539,"-0.050 [-0.128, 0.030]",19275,21520
claude-haiku-4-5,PTO,3,2,0.7989995235826584,0.7503737578049424,"0.049 [-0.010, 0.112]",20990,22742
claude-haiku-4-5,PTO,4,3,0.7867417560048854,0.7914441942746864,"-0.005 [-0.080, 0.069]",14738,15545
claude-haiku-4-5,PTO,5,4,0.7737934753302778,0.8088827101778006,"-0.035 [-0.099, 0.026]",14836,13667
claude-haiku-4-5,PTO,6,5,0.7962976198985062,0.8539374459142045,"-0.058 [-0.115, -0.002]",13991,16178
claude-haiku-4-5,PTO,7,6,0.8225737494655836,0.808189349112426,"0.014 [-0.042, 0.073]",11695,21125
claude-haiku-4-5,PTO,8,7,0.8029003448580776,0.8291269708618865,"-0.026 [-0.096, 0.040]",11309,17949
claude-haiku-4-5,PTO,9,8,0.7745700245700246,0.8067643142476698,"-0.032 [-0.110, 0.050]",9768,18775
claude-haiku-4-5,PTO,10,9,0.8160732923576481,0.7833333333333333,"0.033 [-0.035, 0.111]",8623,24300
claude-haiku-4-5,GRPO,1,0,0.7983749132334327,0.8128447267257228,"-0.014 [-0.077, 0.050]",24491,23932
claude-haiku-4-5,GRPO,2,1,0.8383553360878766,0.8072749109938661,"0.031 [-0.025, 0.095]",19846,23313
claude-haiku-4-5,GRPO,3,2,0.8257769892897037,0.7947401012639784,"0.031 [-0.021, 0.085]",30438,27453
claude-haiku-4-5,GRPO,4,3,0.8062179053381633,0.8305987019616422,"-0.024 [-0.086, 0.035]",25121,27426
claude-haiku-4-5,GRPO,5,4,0.7115629420084866,0.8059977452085683,"-0.094 [-0.156, -0.018]",28280,22175
