judge,method,cut,n_iters,train_iters,agr_K0,K0_lo,K0_hi,pairs_K0,agr_K5,K5_lo,K5_hi,pairs_K5,delta_pooled,dp_lo,dp_hi,delta_iter_mean,di_lo,di_hi,iters_K5_more_faithful,iters_K0_more_faithful,wilcoxon_over_iters_p
gpt-4o-mini,PTO,train_iter_1,1,1,0.8090868397493286,0.7561452549976007,0.8550585604847456,26808,0.8050364269876465,0.7525538899475183,0.8538984078211428,25256,0.004050412761682054,-0.06692139359777957,0.0736359898386937,0.004050412761682054,-0.06692139359777957,0.0736359898386937,0,1,
gpt-4o-mini,PTO,iters_1-5,5,"1,2,3,4,5",0.815257048092869,0.7923141122221858,0.8384700302430056,96480,0.840711897619264,0.8190402620241777,0.8596466780748544,99003,-0.025454849526394985,-0.05655337965825365,0.00536804143525065,-0.030081274410436464,-0.05956775114448502,-0.002521715144697931,4,1,0.125
gpt-4o-mini,PTO,matched_iters,10,"1,2,3,4,5,6,7,8,9,10",0.8356115464735642,0.8201756403008316,0.8512687608122637,151215,0.8629288881874049,0.8481867366254567,0.8761145815879509,196409,-0.027317341713840704,-0.047333566543599576,-0.005688066804807164,-0.021955608201318966,-0.03897650935978973,-0.0031921715692083265,8,2,0.009765625
gpt-4o-mini,GRPO,train_iter_1,1,1,0.8949562823834197,0.8682231011486983,0.9184034831974451,24704,0.8797465733570748,0.8485197680471167,0.9084892360434437,24149,0.015209709026344886,-0.023155278015766997,0.05718199482768974,0.015209709026344886,-0.023155278015766997,0.05718199482768974,0,1,
gpt-4o-mini,GRPO,iters_1-5,5,"1,2,3,4,5",0.896920461578234,0.8853699957873794,0.9072790728756311,127649,0.8896576692545959,0.8729663700714487,0.9032431838355668,124295,0.007262792323638134,-0.010906403575571225,0.024979839671741295,0.0058838908302595305,-0.01123104698250784,0.022870473141384393,2,3,0.625
gpt-4o-mini,GRPO,matched_iters,5,"1,2,3,4,5",0.896920461578234,0.8853699957873794,0.9072790728756311,127649,0.8896576692545959,0.8729663700714487,0.9032431838355668,124295,0.007262792323638134,-0.010906403575571225,0.024979839671741295,0.0058838908302595305,-0.01123104698250784,0.022870473141384393,2,3,0.625
claude-haiku-4-5,PTO,train_iter_1,1,1,0.7450608197102347,0.6807045339086538,0.8016842320389679,25814,0.7378920802788126,0.6826823502193847,0.8001869322083698,24963,0.007168739431422155,-0.07401449385931125,0.09160337615306044,0.007168739431422155,-0.07401449385931125,0.09160337615306044,0,1,
claude-haiku-4-5,PTO,iters_1-5,5,"1,2,3,4,5",0.7713192476974062,0.7443494925929469,0.7958653404663091,95653,0.7753690177473918,0.7504559254155869,0.7997720416074592,98437,-0.004049770049985524,-0.03904782099605716,0.031274336790607066,-0.00674236966136752,-0.037606351131213585,0.02444391394118643,3,2,0.8125
claude-haiku-4-5,PTO,matched_iters,10,"1,2,3,4,5,6,7,8,9,10",0.7827316123650183,0.7645825290832627,0.8001325683719142,151039,0.7942357341790165,0.7780439783092892,0.8096706213383826,196764,-0.01150412181399818,-0.03452444980059896,0.011171943371481037,-0.010264823062651762,-0.03091476343802924,0.010923598929172702,6,4,0.431640625
claude-haiku-4-5,GRPO,train_iter_1,1,1,0.7983749132334327,0.751235283613068,0.8459648304102648,24491,0.8128447267257228,0.7746337421932901,0.847501707104326,23932,-0.014469813492290151,-0.07713120735265848,0.049966965753420606,-0.014469813492290151,-0.07713120735265848,0.049966965753420606,1,0,
claude-haiku-4-5,GRPO,iters_1-5,5,"1,2,3,4,5",0.7934558731743853,0.7728832851784323,0.8137527646867254,128176,0.8104972686827729,0.7896853488205929,0.8277378139835869,124299,-0.01704139550838768,-0.044305363098092694,0.012479204026973932,-0.014233620039222994,-0.03954212381936616,0.015209449540214137,3,2,1.0
claude-haiku-4-5,GRPO,matched_iters,5,"1,2,3,4,5",0.7934558731743853,0.7728832851784323,0.8137527646867254,128176,0.8104972686827729,0.7896853488205929,0.8277378139835869,124299,-0.01704139550838768,-0.044305363098092694,0.012479204026973932,-0.014233620039222994,-0.03954212381936616,0.015209449540214137,3,2,1.0
