judge,metric,arm,method,K,iteration,n,mean,median,sd,iqr,share_ge4,share_ge45,share_eq5
claude-haiku-4-5,Q1,GRPO_LA0,GRPO,0,0,96,1.6937499999999999,1.6,0.7409542211869347,1.2000000000000002,0.0,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA0,GRPO,0,1,96,1.9604166666666665,1.6,0.9142703926504419,1.4,0.010416666666666666,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA0,GRPO,0,2,96,1.9708333333333332,2.0,0.8583848562291327,1.6,0.0,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA0,GRPO,0,3,96,2.577083333333333,2.6,0.7888004439342546,1.4,0.020833333333333332,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA0,GRPO,0,4,96,2.4458333333333333,2.6,1.0041929639127778,2.0,0.03125,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA0,GRPO,0,5,96,2.360416666666667,2.4,1.0278725260578576,2.0,0.0,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA0,GRPO,0,6,96,2.1791666666666667,1.8,1.086754382424703,2.4,0.0,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA0,GRPO,0,7,96,2.3895833333333334,2.4,0.9919124713789987,1.8499999999999999,0.0,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA0,GRPO,0,8,96,2.3249999999999997,2.3,0.8305990228998017,1.25,0.010416666666666666,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA0,GRPO,0,9,96,1.6937499999999999,1.1,0.9904610834832114,1.2000000000000002,0.010416666666666666,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA0,GRPO,0,10,96,1.8666666666666665,2.0,0.6070925823206639,1.0,0.0,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA5,GRPO,5,0,96,1.6812500000000001,1.4,0.7625873547890828,1.4,0.0,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA5,GRPO,5,1,96,1.875,1.6,0.8788748788260926,1.4,0.0,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA5,GRPO,5,2,96,1.9708333333333332,2.0,0.8652248465501435,1.6,0.0,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA5,GRPO,5,3,96,2.5229166666666667,2.6,0.8487116138646695,1.2000000000000002,0.020833333333333332,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA5,GRPO,5,4,96,2.8145833333333328,2.6,0.811623346226777,1.1999999999999997,0.03125,0.0,0.0
claude-haiku-4-5,Q1,GRPO_LA5,GRPO,5,5,96,2.8104166666666663,3.2,1.0007869710400454,1.6499999999999995,0.041666666666666664,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA0,PTO,0,0,96,1.6729166666666666,1.4,0.7958417148451816,1.2000000000000002,0.010416666666666666,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA0,PTO,0,1,96,1.9145833333333335,1.6,0.926678183697205,1.4,0.010416666666666666,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA0,PTO,0,2,96,2.0791666666666666,2.1,0.9538748308779597,1.6,0.0,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA0,PTO,0,3,96,2.3666666666666667,2.4,0.8694422491237721,1.6500000000000001,0.020833333333333332,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA0,PTO,0,4,96,2.59375,2.6,0.895581257884333,1.4,0.041666666666666664,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA0,PTO,0,5,96,2.6479166666666667,2.6,0.89242179862813,1.4,0.020833333333333332,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA0,PTO,0,6,96,2.7604166666666665,2.6,0.8984758048661213,1.4500000000000002,0.07291666666666667,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA0,PTO,0,7,96,2.6583333333333337,2.6,0.893445921158683,1.4500000000000002,0.052083333333333336,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA0,PTO,0,8,96,2.7229166666666664,2.6,0.873646823338713,1.6,0.041666666666666664,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA0,PTO,0,9,96,2.720833333333333,2.6,0.8452862071096539,1.6,0.020833333333333332,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA0,PTO,0,10,96,2.639583333333333,2.4,0.7976912958712611,1.4500000000000002,0.03125,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA5,PTO,5,0,96,1.6833333333333333,1.4,0.7520731580688937,1.4,0.0,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA5,PTO,5,1,96,1.8625,1.5,0.9099739730228263,1.4,0.0,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA5,PTO,5,2,96,1.90625,2.0,0.8161285373479378,1.4,0.0,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA5,PTO,5,3,96,2.225,2.4,0.8959558259787495,1.2000000000000002,0.010416666666666666,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA5,PTO,5,4,96,2.4749999999999996,2.5,0.9168596288131396,1.65,0.0,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA5,PTO,5,5,96,2.5375,2.6,0.8461989314451699,1.4,0.03125,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA5,PTO,5,6,96,2.4479166666666665,2.4,0.9504546465180331,1.7999999999999998,0.010416666666666666,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA5,PTO,5,7,96,2.7083333333333335,2.6,0.9443088998021855,1.7999999999999998,0.052083333333333336,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA5,PTO,5,8,96,2.658333333333333,2.6,0.9130246629131763,1.6,0.020833333333333332,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA5,PTO,5,9,96,2.6749999999999994,2.6,0.8817446819859626,1.2499999999999996,0.041666666666666664,0.0,0.0
claude-haiku-4-5,Q1,PTO_LA5,PTO,5,10,96,2.6041666666666665,2.4,0.819745360548232,1.4,0.03125,0.010416666666666666,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA0,GRPO,0,0,96,1.860968137254902,1.8735294117647059,0.6482404745409845,0.9823529411764707,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA0,GRPO,0,1,96,2.073958333333333,1.9970588235294118,0.7433050886240988,1.2941176470588236,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA0,GRPO,0,2,96,2.1067401960784315,2.1470588235294117,0.6945236673481824,1.1632352941176471,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA0,GRPO,0,3,96,2.6365808823529413,2.655882352941177,0.5964224082280992,1.0485294117647057,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA0,GRPO,0,4,96,2.5504289215686273,2.6235294117647063,0.785172064026016,1.4294117647058822,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA0,GRPO,0,5,96,2.486580882352941,2.4558823529411766,0.8375214289574018,1.6117647058823525,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA0,GRPO,0,6,96,2.370526960784314,2.011764705882353,0.9308714073245794,1.7529411764705882,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA0,GRPO,0,7,96,2.5651960784313723,2.6411764705882352,0.8592033032263766,1.5544117647058824,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA0,GRPO,0,8,96,2.617156862745098,2.567647058823529,0.7590904403340674,1.230882352941176,0.020833333333333332,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA0,GRPO,0,9,96,2.0022058823529414,1.5705882352941174,0.8730211382602415,1.0308823529411764,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA0,GRPO,0,10,96,2.257169117647059,2.2411764705882353,0.554079391792726,0.8235294117647061,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA5,GRPO,5,0,96,1.834497549019608,1.7441176470588233,0.6816082302082674,1.189705882352941,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA5,GRPO,5,1,96,2.046262254901961,1.9941176470588236,0.7444287678090976,1.3691176470588236,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA5,GRPO,5,2,96,2.1416666666666666,2.1676470588235297,0.7239909759691546,1.1882352941176468,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA5,GRPO,5,3,96,2.585906862745098,2.711764705882353,0.6749337660384322,1.072058823529412,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA5,GRPO,5,4,96,2.7835171568627453,2.8058823529411763,0.6025959865409031,0.9823529411764707,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,GRPO_LA5,GRPO,5,5,96,2.7976715686274507,3.011764705882353,0.7735273418925639,1.217647058823529,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,0,96,1.8297181372549016,1.7794117647058822,0.6911419501512758,1.0661764705882353,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,1,96,2.0715686274509806,1.9941176470588236,0.7701727268996229,1.325,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,2,96,2.199203431372549,2.2,0.7657281187486905,1.2705882352941176,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,3,96,2.480208333333333,2.538235294117647,0.6957529771947074,1.0352941176470585,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,4,96,2.6804534313725497,2.7411764705882353,0.6672954269898482,1.1014705882352942,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,5,96,2.751960784313725,2.7705882352941176,0.6955972406183271,1.191176470588235,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,6,96,2.8495710784313726,2.8205882352941174,0.7037360273092932,1.244117647058823,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,7,96,2.813235294117647,2.776470588235294,0.718235560356254,1.3044117647058822,0.010416666666666666,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,8,96,2.8954656862745103,2.8735294117647054,0.7215043669786306,1.4161764705882356,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,9,96,2.9210784313725493,2.8235294117647056,0.7102074239816235,1.3882352941176475,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,10,96,2.866053921568627,2.7588235294117647,0.6684052672495591,1.3205882352941174,0.010416666666666666,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA5,PTO,5,0,96,1.833700980392157,1.9117647058823528,0.6564056023665453,1.0897058823529409,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA5,PTO,5,1,96,2.011519607843137,1.9705882352941178,0.7818697344654292,1.3602941176470584,0.0,0.0,0.0
