judge,method,metric,iteration,n,mean_K0,mean_K5,sd_K0,sd_K5,sd_ratio_K5_over_K0,iqr_K0,iqr_K5,bf_W,bf_p,pm_r,pm_p,bf_p_holm,pm_p_holm
gpt-4o-mini,PTO,Q1,0,96,2.922916666666667,2.9458333333333333,1.3229535669670638,1.2557167520597585,0.9491767386353182,2.8000000000000003,2.4000000000000004,0.11937406106367175,0.7300965896655071,0.0698550421160699,0.49885153238464597,1.0,1.0
gpt-4o-mini,PTO,Q1,1,96,3.172916666666667,3.1041666666666665,1.2631188773213762,1.279795762214603,1.0132029416966617,2.4000000000000004,2.4000000000000004,0.22502247272106893,0.6357841268280499,-0.019733342762524364,0.8486569789974578,1.0,1.0
gpt-4o-mini,PTO,Q1,2,96,3.40625,3.2624999999999997,1.2415450900093463,1.2656805949452858,1.0194398939918952,2.4000000000000004,2.4000000000000004,0.0051282666458734765,0.9429860796774138,-0.028028973949540216,0.7863275664987861,1.0,1.0
gpt-4o-mini,PTO,Q1,3,96,3.702083333333334,3.6020833333333333,1.0543123642467203,1.148544082206656,1.0893774190225511,1.6500000000000004,2.05,0.8063435336162647,0.3703399815479711,-0.1325419800496444,0.1979837805630935,1.0,1.0
gpt-4o-mini,PTO,Q1,4,96,3.9000000000000004,3.835416666666667,0.9272483344197554,1.0674099657993266,1.1511586768902424,1.6,2.0,1.0039092192420436,0.3176407684584248,-0.23078472052851837,0.023683229618145334,1.0,0.23683229618145335
gpt-4o-mini,PTO,Q1,5,96,3.922916666666667,3.9791666666666665,0.9961482838959127,0.9418812827937463,0.945523169612932,1.6,1.4,0.7023508000712863,0.4030479416415063,0.10697525851509944,0.2995544026218994,1.0,1.0
gpt-4o-mini,PTO,Q1,6,96,4.04375,3.8708333333333336,0.8831537387769977,1.0799528904605216,1.2228367984446897,1.4,1.6,3.1898026524216316,0.07569373077337119,-0.32427567613826647,0.0012677320793910364,0.8326310385070831,0.013945052873301401
gpt-4o-mini,PTO,Q1,7,96,3.975,4.0249999999999995,0.9291762055996869,0.9616871140153423,1.0349889592735244,1.6,1.4500000000000002,0.03864341282351117,0.8443668959172518,-0.0476515720814073,0.6447740770266291,1.0,1.0
gpt-4o-mini,PTO,Q1,8,96,4.1000000000000005,4.091666666666667,0.8758755018476325,0.933546341608077,1.0658436497410757,1.25,1.4,0.42726021110601203,0.5141266770447145,-0.10896112426779796,0.29062031096712815,1.0,1.0
gpt-4o-mini,PTO,Q1,9,96,4.120833333333334,4.133333333333333,0.8138170836336843,0.927551010561135,1.1397536734171638,1.4,1.2000000000000002,0.0022817341179296093,0.9619517101421838,-0.19878456106425482,0.05218642064339312,1.0,0.4696777857905381
gpt-4o-mini,PTO,Q1,10,96,4.139583333333333,4.2250000000000005,0.7760194200861711,0.8188567126118426,1.055201315091979,1.4,1.0499999999999998,0.8805947561575411,0.34923019488613266,-0.07541887785648646,0.4651993634929501,1.0,1.0
gpt-4o-mini,GRPO,Q1,0,96,3.0208333333333335,2.9104166666666664,1.2963037872242487,1.3364114688355109,1.0309400327350304,2.4000000000000004,2.8000000000000003,0.24822989186787092,0.6189004554734521,-0.0463883844602594,0.6535764117591187,1.0,1.0
gpt-4o-mini,GRPO,Q1,1,96,3.1770833333333335,3.172916666666667,1.2711767583138047,1.3121680866868004,1.032246757270303,2.4000000000000004,2.4000000000000004,0.14092505244127057,0.7077818608812606,-0.04611787976171297,0.6554676180154124,1.0,1.0
gpt-4o-mini,GRPO,Q1,2,96,3.3020833333333335,3.360416666666667,1.278154851558059,1.188584223410504,0.929921927661293,2.4000000000000004,2.4000000000000004,1.7130666007049669,0.1921688169129072,0.09406532274153014,0.3619801463822029,1.0,1.0
gpt-4o-mini,GRPO,Q1,3,96,3.935416666666667,3.80625,0.9744071521933807,1.0125333002970947,1.0391275331034797,1.6,1.8499999999999996,0.6698056819429381,0.4141446123144778,-0.07214676532550669,0.48483817237535204,1.0,1.0
