judge,method,metric,n_iters,n_K5_lower_sd,n_K5_lower_iqr,median_sd_ratio_K5_over_K0,n_pm_holm_sig_K5_lower,n_pm_holm_sig_K0_lower,n_bf_holm_sig,iter0_sd_K0,iter0_sd_K5
gpt-4o-mini,PTO,Q1,10,1,4,1.0605224824165274,0,1,0,1.3229535669670638,1.2557167520597585
gpt-4o-mini,GRPO,Q1,5,2,2,1.0171331918835675,0,0,0,1.2963037872242487,1.3364114688355109
gpt-4o-mini,PTO,Q2,10,0,4,1.3313513042196936,0,6,1,1.178372913746387,1.1631272137285635
gpt-4o-mini,GRPO,Q2,5,2,3,1.0154551327420658,0,1,0,1.1569484497122977,1.182568689915303
gpt-4o-mini,PTO,Q1Q2,10,0,4,1.173663359823474,0,4,0,1.2342563272994729,1.19068712795265
gpt-4o-mini,GRPO,Q1Q2,5,2,4,1.0353594319685322,0,0,0,1.2118551708594192,1.2447765917140738
claude-haiku-4-5,PTO,Q1,10,3,4,1.0290711468070994,0,0,0,0.7958417148451816,0.7520731580688937
claude-haiku-4-5,GRPO,Q1,5,3,3,0.9736489162506445,0,0,0,0.7409542211869347,0.7625873547890828
claude-haiku-4-5,PTO,Q2,10,6,5,0.9932256452226162,0,0,0,0.657278105971752,0.6237851667003231
claude-haiku-4-5,GRPO,Q2,5,2,2,1.0013779831242335,1,0,1,0.6094011956640354,0.658741517820481
claude-haiku-4-5,PTO,Q1Q2,10,4,6,1.007963950122897,0,0,0,0.6911419501512758,0.6564056023665453
claude-haiku-4-5,GRPO,Q1Q2,5,2,2,1.001511733475522,1,0,1,0.6482404745409845,0.6816082302082674
