arm,method,K,train_iter,policy_iteration,n_groups,n_candidates,w_len,w_len_se,w_len_over_se,w_overpraise,w_overpraise_se,w_affirm,w_affirm_se,w_question,w_question_se,pool_len,pool_len_se,pool_overpraise,pool_affirm,pool_question
PTO_LA0,PTO,0,1,0,782,6244,-7.926,7.424,-1.0676185344827587,0.001,0.002,0.008,0.009,-0.077,0.043,286.89,2.421,0.002,0.044,0.668
PTO_LA0,PTO,0,2,1,618,4936,3.671,9.504,0.3862584175084175,0.005,0.003,-0.002,0.012,-0.002,0.047,318.41,2.897,0.002,0.04,0.6
PTO_LA0,PTO,0,3,2,620,4947,8.248,11.153,0.739531964493858,0.002,0.004,0.0,0.012,0.006,0.041,341.779,3.282,0.005,0.039,0.558
PTO_LA0,PTO,0,4,3,536,4283,-21.73,12.817,-1.6954045408441913,-0.007,0.005,0.017,0.013,-0.073,0.052,402.873,3.972,0.007,0.043,0.522
PTO_LA0,PTO,0,5,4,483,3856,6.623,15.764,0.42013448363359557,0.002,0.005,0.008,0.016,-0.029,0.073,547.307,5.016,0.006,0.066,0.488
PTO_LA0,PTO,0,6,5,475,3795,-6.267,15.349,-0.40830021499771973,-0.011,0.01,0.011,0.02,-0.19,0.073,598.827,5.104,0.027,0.109,0.509
PTO_LA0,PTO,0,7,6,400,3194,-11.1,15.017,-0.739162282746221,0.062,0.017,0.05,0.025,-0.043,0.061,744.489,5.013,0.07,0.199,0.328
PTO_LA0,PTO,0,8,7,379,3023,2.38,15.109,0.15752200675094313,0.034,0.021,0.103,0.029,0.013,0.067,702.847,5.453,0.111,0.26,0.341
PTO_LA0,PTO,0,9,8,361,2881,-3.125,16.603,-0.18821899656688548,0.083,0.025,0.072,0.032,-0.133,0.066,822.677,4.809,0.154,0.353,0.336
PTO_LA0,PTO,0,10,9,281,2237,23.392,14.639,1.5979233554204522,-0.039,0.033,0.039,0.038,0.011,0.052,857.15,4.082,0.318,0.571,0.272
PTO_LA5,PTO,5,1,0,832,6634,49.48,7.598,6.512240063174519,0.001,0.003,0.022,0.011,0.069,0.035,311.158,2.663,0.004,0.053,0.6
PTO_LA5,PTO,5,2,1,778,6215,45.147,8.644,5.222929199444701,0.0,0.003,0.013,0.01,-0.004,0.04,360.49,2.91,0.003,0.05,0.589
