method,metric,iteration,mean_K0,mean_K5,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm,metric_unit
PTO,conv_len,0,28.385416666666668,30.489583333333332,96,-2.1041666666666665,-0.0991022063806126,-6.344010416666666,2.3132812499999957,0.277534655053815,1.0,utterances / conversation
PTO,conv_len,1,25.895833333333332,26.322916666666668,96,-0.4270833333333333,-0.02130502845730615,-4.396875,3.5320312499999957,0.968068070443497,1.0,utterances / conversation
PTO,conv_len,2,27.6875,26.614583333333332,96,1.0729166666666667,0.060131863717780246,-2.7606770833333334,4.583333333333333,0.5046686056983936,1.0,utterances / conversation
PTO,conv_len,3,23.927083333333332,25.489583333333332,96,-1.5625,-0.08212123657646042,-5.2609375,2.375260416666665,0.5013794164040075,1.0,utterances / conversation
PTO,conv_len,4,23.854166666666668,22.84375,96,1.0104166666666667,0.06078634191677974,-2.2916666666666665,4.458333333333333,0.40966849371135694,1.0,utterances / conversation
PTO,conv_len,5,23.1875,23.71875,96,-0.53125,-0.03430264372040588,-3.8546875,2.3958333333333335,0.7993811927551457,1.0,utterances / conversation
PTO,conv_len,6,21.71875,25.260416666666668,96,-3.5416666666666665,-0.2753774762077061,-6.104166666666667,-1.1244791666666696,0.006892812819460329,0.055142502555682635,utterances / conversation
PTO,conv_len,7,22.71875,23.302083333333332,96,-0.5833333333333334,-0.03962392146941141,-3.427604166666667,2.292187499999997,0.5742903255461118,1.0,utterances / conversation
PTO,conv_len,8,20.770833333333332,25.645833333333332,96,-4.875,-0.3533712432913848,-7.541927083333333,-2.1244791666666694,6.02354589033899e-05,0.0005421191301305091,utterances / conversation
PTO,conv_len,9,19.197916666666668,27.489583333333332,96,-8.291666666666666,-0.6140187580787227,-11.147916666666667,-5.71875,9.697245318818059e-08,1.0666969850699866e-06,utterances / conversation
PTO,conv_len,10,20.385416666666668,28.697916666666668,96,-8.3125,-0.5478515111375081,-11.219270833333333,-5.259895833333337,1.5268385509654295e-06,1.5268385509654297e-05,utterances / conversation
PTO,n_th_turns,0,14.333333333333334,15.302083333333334,96,-0.96875,-0.09162914304045529,-3.0731770833333334,1.2502604166666653,0.3124928170127972,1.0,therapist turns / conversation
PTO,n_th_turns,1,13.010416666666666,13.239583333333334,96,-0.22916666666666666,-0.02290827854772424,-2.2291666666666665,1.7502604166666653,0.9502489295053203,1.0,therapist turns / conversation
PTO,n_th_turns,2,13.916666666666666,13.395833333333334,96,0.5208333333333334,0.05847008264295322,-1.37578125,2.2606770833333316,0.5162085528883795,1.0,therapist turns / conversation
PTO,n_th_turns,3,12.010416666666666,12.8125,96,-0.8020833333333334,-0.08425562371500403,-2.6252604166666664,1.1565104166666653,0.481521569310737,1.0,therapist turns / conversation
PTO,n_th_turns,4,11.947916666666666,11.458333333333334,96,0.4895833333333333,0.059142309642525356,-1.14609375,2.2083333333333335,0.42085892669113323,1.0,therapist turns / conversation
PTO,n_th_turns,5,11.604166666666666,11.895833333333334,96,-0.2916666666666667,-0.03766777473322311,-1.9479166666666667,1.1875,0.8280542577610811,1.0,therapist turns / conversation
PTO,n_th_turns,6,10.885416666666666,12.677083333333334,96,-1.7916666666666667,-0.27963787485686026,-3.052604166666667,-0.5833333333333334,0.006589238115193094,0.05271390492154475,therapist turns / conversation
PTO,n_th_turns,7,11.385416666666666,11.677083333333334,96,-0.2916666666666667,-0.03966825899646045,-1.70859375,1.1460937499999986,0.5811963502517475,1.0,therapist turns / conversation
PTO,n_th_turns,8,10.40625,12.84375,96,-2.4375,-0.35292257964946994,-3.7916666666666665,-1.0726562500000014,7.709173932730608e-05,0.0006938256539457547,therapist turns / conversation
PTO,n_th_turns,9,9.645833333333334,13.770833333333334,96,-4.125,-0.6087206509931783,-5.562760416666666,-2.8333333333333335,1.4129636487886293e-07,1.5542600136674922e-06,therapist turns / conversation
PTO,n_th_turns,10,10.229166666666666,14.385416666666666,96,-4.15625,-0.5481021795763215,-5.635416666666667,-2.655989583333335,1.4559734365811884e-06,1.4559734365811883e-05,therapist turns / conversation
PTO,mean_turn_len,0,300.5681212653481,274.88411156680417,96,25.68400969854388,0.11815416704463924,-17.02517753168464,68.64142288128835,0.07708951723980925,0.1541790344796185,chars / therapist turn
PTO,mean_turn_len,1,285.07421790233906,288.915585929268,96,-3.8413680269289627,-0.020226354232657926,-40.38241773811527,33.700901199884974,0.8232905657294747,0.8232905657294747,chars / therapist turn
PTO,mean_turn_len,2,310.381882521004,366.03054083158304,96,-55.648658310579016,-0.23020973386878812,-104.17352288816005,-9.313557213508233,0.03981627821107986,0.11944883463323958,chars / therapist turn
PTO,mean_turn_len,3,352.74811521519155,421.1286868972383,96,-68.38057168204678,-0.26720512012276165,-119.39961864604852,-17.344364151443482,0.009397931269172825,0.04698965634586412,chars / therapist turn
PTO,mean_turn_len,4,394.5135571011877,482.7459789212767,96,-88.23242182008896,-0.33920204723867137,-138.5145572442926,-36.519996220829256,0.00033435233330340896,0.002340466333123863,chars / therapist turn
PTO,mean_turn_len,5,482.771973949486,584.5405178970807,96,-101.76854394759464,-0.3489377444099297,-160.75708721994488,-42.67402045104938,0.000519319092290611,0.003115914553743666,chars / therapist turn
PTO,mean_turn_len,6,553.4944661287088,618.3445790857959,96,-64.85011295708709,-0.23568462470191825,-119.9778264131931,-9.380800129170947,0.022412653466036696,0.08965061386414679,chars / therapist turn
PTO,mean_turn_len,7,574.4053740261551,716.5945683817978,96,-142.18919435564257,-0.5446715992048646,-190.12713563107687,-90.17057648214775,6.776534603500801e-07,6.098881143150721e-06,chars / therapist turn
PTO,mean_turn_len,8,641.3157040658572,730.671964455375,96,-89.3562603895178,-0.4283740983799625,-130.20803956945196,-48.28065479438522,0.00019624810609828993,0.0015699848487863194,chars / therapist turn
PTO,mean_turn_len,9,641.7116912456755,801.897058758978,96,-160.1853675133024,-0.7249088709503639,-204.8981432733597,-115.54704020841247,2.924343688220079e-10,3.216778057042087e-09,chars / therapist turn
PTO,mean_turn_len,10,686.2022435826647,810.8754777003027,96,-124.67323411763793,-0.5548273135600681,-169.25252618890278,-79.7007270710224,1.7776238015906107e-09,1.7776238015906107e-08,chars / therapist turn
PTO,q_per_turn,0,0.9299350017404686,0.7659369452286251,96,0.1639980565118433,0.17193418751009737,-0.018604717465743256,0.36195565077196457,0.26878066992801797,1.0,'?' / therapist turn
PTO,q_per_turn,1,0.8436412836819184,0.7667521515971005,96,0.0768891320848179,0.08389818944710796,-0.09180937861375954,0.26959558540589096,0.8092524160123407,1.0,'?' / therapist turn
