arm,method,K,train_iter,row_kind,eval_convs_of,n_eval_convs,eval_conv_len_mean,eval_ended_by_patient,n_steps,n_groups_logged,log_coverage,n_groups,n_candidates,n_candidates_eval_phase,oracle_calls_train,oracle_retries,oracle_input_Mchars,eval_scoring_calls_run_eval,patient_calls_eval_convs,patient_calls_trunk,patient_calls_tail,patient_calls_total,therapist_gens_tail
PTO_LA0,PTO,0,1,iteration,model_iter_0,96,28.385416666666668,69,,949,1.0,949,7592,0,15158,10,125.189458,768,1349,949,0,2298,0
PTO_LA0,PTO,0,2,iteration,model_iter_1,96,25.895833333333332,63,,772,1.0,772,6176,0,12348,12,100.874818,768,1237,772,0,2009,0
PTO_LA0,PTO,0,3,iteration,model_iter_2,96,27.6875,73,,787,1.0,787,6296,0,12558,4,106.201858,768,1322,787,0,2109,0
PTO_LA0,PTO,0,4,iteration,model_iter_3,96,23.927083333333332,73,,647,1.0,647,5176,0,10339,3,91.82433,768,1144,647,0,1791,0
PTO_LA0,PTO,0,5,iteration,model_iter_4,96,23.854166666666668,77,,600,1.0,600,4800,0,9588,4,92.13719,768,1143,600,0,1743,0
PTO_LA0,PTO,0,6,iteration,model_iter_5,96,23.1875,82,,591,1.0,591,4728,0,9437,1,98.422028,768,1112,591,0,1703,0
PTO_LA0,PTO,0,7,iteration,model_iter_6,96,21.71875,83,,521,1.0,521,4168,0,8320,4,102.164566,768,1040,521,0,1561,0
PTO_LA0,PTO,0,8,iteration,model_iter_7,96,22.71875,82,,517,1.0,517,4136,0,8232,4,99.00814,768,1088,517,0,1605,0
PTO_LA0,PTO,0,9,iteration,model_iter_8,96,20.770833333333332,88,,446,1.0,446,3568,0,7114,2,90.234274,768,995,446,0,1441,0
PTO_LA0,PTO,0,10,iteration,model_iter_9,96,19.197916666666668,92,,410,1.0,410,3280,0,6528,6,81.042186,768,917,410,0,1327,0
PTO_LA0,PTO,0,11,final eval pass,model_iter_10,96,20.385416666666668,89,,0,1.0,0,0,0,0,0,0.0,768,975,0,0,975,0
PTO_LA5,PTO,5,1,iteration,model_iter_0,96,30.489583333333332,58,,890,1.0,890,7120,0,14199,5,136.85929,768,1458,890,19041,21389,12021
PTO_LA5,PTO,5,2,iteration,model_iter_1,96,26.322916666666668,66,,837,1.0,837,6696,0,13385,15,144.839512,768,1256,837,17999,20092,11377
PTO_LA5,PTO,5,3,iteration,model_iter_2,96,26.614583333333332,76,,816,1.0,816,6528,0,13048,4,149.353966,768,1269,816,17465,19550,11009
PTO_LA5,PTO,5,4,iteration,model_iter_3,96,25.489583333333332,72,,613,1.0,613,4904,0,9800,2,115.004642,768,1217,613,12725,14555,7856
PTO_LA5,PTO,5,5,iteration,model_iter_4,96,22.84375,77,,468,1.0,468,3744,0,8745,1654,76.184461,768,1093,468,8967,10528,5433
PTO_LA5,PTO,5,6,iteration,model_iter_5,96,23.71875,82,,663,1.0,663,5304,0,10578,0,167.4807,768,1135,663,13786,15584,8526
PTO_LA5,PTO,5,7,iteration,model_iter_6,96,25.260416666666668,81,,807,1.0,807,6456,0,12888,0,226.436414,768,1208,807,16910,18925,10524
PTO_LA5,PTO,5,8,iteration,model_iter_7,96,23.302083333333332,83,,767,1.0,767,6136,0,12234,0,250.373282,768,1116,767,16391,18274,10346
PTO_LA5,PTO,5,9,iteration,model_iter_8,96,25.645833333333332,83,,761,1.0,761,6088,0,12155,1,248.03225,768,1229,761,16355,18345,10336
PTO_LA5,PTO,5,10,iteration,model_iter_9,96,27.489583333333332,77,,926,1.0,926,7408,0,14774,0,334.598134,768,1317,926,20149,22392,12822
PTO_LA5,PTO,5,11,final eval pass,model_iter_10,96,28.697916666666668,71,,0,1.0,0,0,0,0,0,0.0,768,1374,0,0,1374,0
GRPO_LA0,GRPO,0,1,iteration,model_iter_0,96,28.770833333333332,65,108.0,1728,1.0,1728,13824,528,28720,16,243.613486,768,1373,0,0,1373,0
GRPO_LA0,GRPO,0,2,iteration,model_iter_1,96,25.791666666666668,75,94.0,752,0.5,1504,12032,288,24652,12,185.200036,768,1228,0,0,1228,0
GRPO_LA0,GRPO,0,3,iteration,model_iter_2,96,31.208333333333332,76,118.0,1888,1.0,1888,15104,928,32075,11,238.205216,768,1492,0,0,1492,0
GRPO_LA0,GRPO,0,4,iteration,model_iter_3,96,27.604166666666668,85,100.0,1600,1.0,1600,12800,640,26888,8,204.972074,768,1324,0,0,1324,0
GRPO_LA0,GRPO,0,5,iteration,model_iter_4,96,30.5,70,118.0,1888,1.0,1888,15104,496,31213,13,245.451806,768,1462,0,0,1462,0
GRPO_LA0,GRPO,0,6,iteration,model_iter_5,96,30.677083333333332,68,116.0,1376,0.7413793103448276,1856,14848,1209,32116,3,287.3533844651163,768,1472,0,0,1472,0
GRPO_LA0,GRPO,0,7,iteration,model_iter_6,96,32.291666666666664,59,128.0,2048,1.0,2048,16384,592,33954,2,277.945616,768,1547,0,0,1547,0
GRPO_LA0,GRPO,0,8,iteration,model_iter_7,96,28.84375,72,108.0,1248,0.7222222222222222,1728,13824,642,28934,1,346.80218953846156,768,1381,0,0,1381,0
GRPO_LA0,GRPO,0,9,iteration,model_iter_8,96,24.114583333333332,87,80.0,1280,1.0,1280,10240,416,21396,116,319.41338,768,1150,0,0,1150,0
GRPO_LA0,GRPO,0,10,iteration,model_iter_9,96,38.0625,45,158.0,2528,1.0,2528,20224,1072,42593,1,317.671294,768,1825,0,0,1825,0
GRPO_LA0,GRPO,0,11,final eval pass,model_iter_10,96,25.197916666666668,91,,0,1.0,0,0,0,0,0,0.0,768,1195,0,0,1195,0
GRPO_LA5,GRPO,5,1,iteration,model_iter_0,96,28.291666666666668,65,108.0,864,0.5,1728,13824,496,28648,8,275.255096,768,1349,0,38840,40189,24792
GRPO_LA5,GRPO,5,2,iteration,model_iter_1,96,28.125,63,104.0,1184,0.7115384615384616,1664,13312,1462,29549,1,308.0002162162162,768,1342,0,40334,41676,25819
GRPO_LA5,GRPO,5,3,iteration,model_iter_2,96,29.739583333333332,74,112.0,1792,1.0,1792,14336,640,29952,0,309.096922,768,1420,0,41008,42428,26187
GRPO_LA5,GRPO,5,4,iteration,model_iter_3,96,29.0625,76,106.0,1696,1.0,1696,13568,944,29024,0,327.75132,768,1392,0,39016,40408,24546
GRPO_LA5,GRPO,5,5,iteration,model_iter_4,96,25.78125,86,88.0,1408,1.0,1408,11264,768,24064,0,299.70449,768,1237,0,31301,32538,19293
GRPO_LA5,GRPO,5,6,final eval pass,model_iter_5,96,22.572916666666668,92,,0,1.0,0,0,0,0,0,0.0,768,1081,0,0,1081,0
