method,window,iters,quantity,K0_sum,K5_sum,K5_over_K0,arithmetic
PTO,iters 1-5 (matched),"1,2,3,4,5",oracle_calls_train,59991.0,59177.0,0.9864312980280375,"59,177 / 59,991"
PTO,iters 1-5 (matched),"1,2,3,4,5",oracle_input_Mchars,516.227654,622.241871,1.20536330469425,622.2 / 516.2
PTO,iters 1-5 (matched),"1,2,3,4,5",patient_calls_total,9950.0,86114.0,8.65467336683417,"86,114 / 9,950"
PTO,iters 1-5 (matched),"1,2,3,4,5",patient_calls_tail,0.0,76197.0,,"76,197 / 0"
PTO,iters 1-5 (matched),"1,2,3,4,5",n_candidates,30040.0,28992.0,0.9651131824234355,"28,992 / 30,040"
PTO,iters 1-5 (matched),"1,2,3,4,5",total_api_calls,69941.0,145291.0,2.0773366122874997,"145,291 / 69,941"
PTO,all matched iters,"1,2,3,4,5,6,7,8,9,10",oracle_calls_train,99622.0,121806.0,1.2226817369657306,"121,806 / 99,622"
PTO,all matched iters,"1,2,3,4,5,6,7,8,9,10",oracle_input_Mchars,987.0988480000001,1849.162651,1.8733307760885969,"1,849.2 / 987.1"
PTO,all matched iters,"1,2,3,4,5,6,7,8,9,10",patient_calls_total,17587.0,179634.0,10.214021720589072,"179,634 / 17,587"
PTO,all matched iters,"1,2,3,4,5,6,7,8,9,10",patient_calls_tail,0.0,159788.0,,"159,788 / 0"
PTO,all matched iters,"1,2,3,4,5,6,7,8,9,10",n_candidates,49920.0,60384.0,1.2096153846153845,"60,384 / 49,920"
PTO,all matched iters,"1,2,3,4,5,6,7,8,9,10",total_api_calls,117209.0,301440.0,2.571816157462311,"301,440 / 117,209"
PTO,all K5 iters,"1,2,3,4,5,6,7,8,9,10",patient_calls_tail_per_candidate,0.0,2.646197668256492,,"159,788 / 60,384 candidates"
GRPO,iters 1-5 (matched),"1,2,3,4,5",oracle_calls_train,143548.0,141237.0,0.983900855462981,"141,237 / 143,548"
GRPO,iters 1-5 (matched),"1,2,3,4,5",oracle_input_Mchars,1117.442618,1519.8080442162163,1.3600770363818504,"1,519.8 / 1,117.4"
GRPO,iters 1-5 (matched),"1,2,3,4,5",patient_calls_total,6879.0,197239.0,28.672626835295826,"197,239 / 6,879"
GRPO,iters 1-5 (matched),"1,2,3,4,5",patient_calls_tail,0.0,190499.0,,"190,499 / 0"
GRPO,iters 1-5 (matched),"1,2,3,4,5",n_candidates,68864.0,66304.0,0.9628252788104089,"66,304 / 68,864"
GRPO,iters 1-5 (matched),"1,2,3,4,5",total_api_calls,150427.0,338476.0,2.250101378077074,"338,476 / 150,427"
GRPO,all matched iters,"1,2,3,4,5",oracle_calls_train,143548.0,141237.0,0.983900855462981,"141,237 / 143,548"
GRPO,all matched iters,"1,2,3,4,5",oracle_input_Mchars,1117.442618,1519.8080442162163,1.3600770363818504,"1,519.8 / 1,117.4"
GRPO,all matched iters,"1,2,3,4,5",patient_calls_total,6879.0,197239.0,28.672626835295826,"197,239 / 6,879"
GRPO,all matched iters,"1,2,3,4,5",patient_calls_tail,0.0,190499.0,,"190,499 / 0"
GRPO,all matched iters,"1,2,3,4,5",n_candidates,68864.0,66304.0,0.9628252788104089,"66,304 / 68,864"
GRPO,all matched iters,"1,2,3,4,5",total_api_calls,150427.0,338476.0,2.250101378077074,"338,476 / 150,427"
GRPO,all K5 iters,"1,2,3,4,5",patient_calls_tail_per_candidate,0.0,2.873114744208494,,"190,499 / 66,304 candidates"
